Gene = Mul1
index = 1293
Annotated 5SS: [ 183  831 1097]
Annotated 3SS: [ 246  888 1363]
SMsplice 5SS: [ 183  831 1097]
SMsplice 3SS: [ 246  888 1363]
top_k =  1000
Partition function (log Z): 2.8667974006651504

Sorted 5' Splice Sites (High to Low Probability):
Position 183: 0.9802129742675973
Position 1097: 0.9526992712703181
Position 831: 0.9454771248261991
Position 385: 0.046712254966447014
Position 1073: 0.02648474620294528
Position 1310: 0.015847268519285543
Position 1557: 0.014756529028339332
Position 1523: 0.011117672755963665
Position 838: 0.006514510739189413
Position 1515: 0.005099543123861987
Position 835: 0.0046056381275870455
Position 804: 0.004250293891820824
Position 427: 0.0027607034877337924
Position 1070: 0.0027442996872826483
Position 325: 0.0023122239996122046
Position 174: 0.0018942278900659466
Position 1305: 0.0016468562304055006
Position 1521: 0.001033525326841574
Position 146: 0.0007550567095858586
Position 1902: 0.0006344855187959589
Position 187: 0.000588091023308759
Position 1263: 0.0005794791705356634
Position 1935: 0.0005742845830630284
Position 574: 0.0005208167400314813
Position 1075: 0.0002818765580158937
Position 1156: 0.000210841185170595
Position 1183: 0.00020599117071062222
Position 1446: 0.00018044495690018868
Position 673: 0.00016729514921184026
Position 468: 0.0001514397760678043
Position 524: 0.00013081452414926608
Position 1775: 0.00012412286976945584
Position 1921: 0.00010480192792055168
Position 1543: 0.00010307575700483962
Position 1436: 9.706005754627423e-05
Position 640: 7.760075268842233e-05
Position 707: 6.531308946926601e-05
Position 1268: 6.341222732151416e-05
Position 1585: 6.120714325312328e-05
Position 406: 5.357569949222655e-05
Position 571: 4.573776127355653e-05
Position 1939: 4.128264581282039e-05
Position 1315: 3.853307642974103e-05
Position 509: 3.396412177980898e-05
Position 504: 3.2798506364774614e-05
Position 383: 3.2475190388965766e-05
Position 1388: 2.818020484093056e-05
Position 340: 2.762838593883487e-05
Position 28: 2.733955028286378e-05
Position 1790: 2.3988900419401964e-05
Position 626: 2.3425262115237457e-05
Position 1038: 2.3418297906036328e-05
Position 786: 2.286893942565426e-05
Position 1443: 2.284898744393132e-05
Position 1035: 2.0355872464400283e-05
