Gene = aos
index = 1610
Annotated 5SS: [  970 11830 12071]
Annotated 3SS: [11275 11898 12138]
SMsplice 5SS: [  970 11830 12071]
SMsplice 3SS: [11275 11898 12138]
top_k =  1000
Partition function (log Z): 6.308549770580094

Sorted 5' Splice Sites (High to Low Probability):
Position 12071: 0.9991276654496252
Position 11830: 0.9988705866324874
Position 970: 0.9871339316414449
Position 11449: 0.1795752351940319
Position 12783: 0.15808559317666734
Position 14: 0.05788061281344195
Position 12935: 0.0545512972400106
Position 12329: 0.054217830856700136
Position 5512: 0.05263292183727643
Position 12759: 0.04234905552147839
Position 2985: 0.02299653204062501
Position 10215: 0.01815496617075916
Position 335: 0.014326157939607106
Position 10129: 0.009567693673776825
Position 12634: 0.009174909014188807
Position 8170: 0.008839640960519425
Position 11029: 0.007084611315767732
Position 11045: 0.007028967636022909
Position 2122: 0.00673939190894352
Position 1794: 0.006006559167394283
Position 228: 0.0050000688393086155
Position 785: 0.00440498373215774
Position 964: 0.003048443663293057
Position 11435: 0.0029395739646796977
Position 2259: 0.0028112594318232403
Position 10364: 0.0021856279276748643
Position 10534: 0.0021747208252371085
Position 13055: 0.0021662668664686434
Position 178: 0.0021104411685746523
Position 361: 0.0020989801737985544
Position 12280: 0.0020224322278423706
Position 7641: 0.0015385414962948757
Position 2162: 0.0014672548983309603
Position 12418: 0.0013146446798360293
Position 2233: 0.001110463016588521
Position 6457: 0.001097502732030504
Position 53: 0.0010504206013787901
Position 169: 0.001000222690039128
Position 12352: 0.000974338475658025
Position 4227: 0.0009338980629880458
Position 183: 0.0009083721229744659
Position 101: 0.0008105862976953909
Position 9259: 0.0008079872283833059
Position 820: 0.0007491732192792268
Position 176: 0.000707672058042747
Position 790: 0.0006526470871920725
Position 12181: 0.0005010838735001366
Position 558: 0.0004160255519850019
Position 12403: 0.0003632775643938886
Position 323: 0.00034390775285305975
Position 12909: 0.00033954652920058085
Position 720: 0.000329390998267656
Position 667: 0.0003002993130980053
Position 12479: 0.00027789606128310443
Position 12075: 0.00025913872330110045
Position 12211: 0.00025630919923905036
Position 325: 0.000246519648919833
Position 307: 0.0002388474131966868
Position 321: 0.0002320051772337575
Position 91: 0.0002053277419568278
Position 9275: 0.0002049985639131492
Position 13103: 0.00018902803743192954
Position 12700: 0.00013839611549262807
Position 13108: 0.00011774458843656304
Position 1464: 0.00011422901885353506
Position 12469: 0.0001109960436782952
Position 18: 0.0001079612863064433
Position 713: 0.00010159986404726496
Position 8588: 0.00010019412751212565
Position 11834: 9.86907506032973e-05
Position 775: 9.565363690224923e-05
Position 8576: 7.966146570008193e-05
Position 254: 7.592837671653969e-05
Position 12624: 7.321215066998974e-05
Position 12567: 7.299879277314723e-05
Position 12920: 6.629369959447055e-05
Position 4263: 6.459639589115803e-05
Position 12296: 6.190417366644262e-05
Position 7162: 5.540308455074427e-05
Position 985: 5.3412692211326896e-05
Position 946: 5.309291928293564e-05
Position 12673: 4.623986839635103e-05
Position 11807: 4.413958862057126e-05
Position 11639: 4.41119331129112e-05
Position 12680: 4.332788274449121e-05
Position 669: 4.285636963277877e-05
Position 2358: 4.005907496981959e-05
Position 448: 3.9659293119417235e-05
Position 11505: 3.893148169658744e-05
Position 12900: 3.44368787691208e-05
Position 12804: 3.133282910261867e-05
Position 2681: 3.074009294146954e-05
Position 1452: 2.6564243109447983e-05
Position 730: 2.6503053739054073e-05
Position 8570: 2.6141447371079515e-05
