Gene = lt
index = 1760
Annotated 5SS: [  131   313   536   704  1125  2971 14048 14511 14746 15040 15219]
Annotated 3SS: [  186   364   585   770  2642 13978 14108 14558 14799 15091 15277]
SMsplice 5SS: [  536   704  1125  2971 17656]
SMsplice 3SS: [  585   770  2642 17543 17713]
top_k =  1000
Partition function (log Z): -3.510088416280298

Sorted 5' Splice Sites (High to Low Probability):
Position 704: 0.9921831019612243
Position 2971: 0.9884906277213651
Position 536: 0.9827105704925515
Position 1125: 0.6872589492680475
Position 17656: 0.49901850465094094
Position 1625: 0.20804697883073225
Position 313: 0.19119544867882732
Position 15219: 0.17532766727648277
Position 2493: 0.08331965840711353
Position 15552: 0.07663032864426908
Position 6319: 0.06747046640409582
Position 1310: 0.06474352751189826
Position 6052: 0.060242309237457235
Position 131: 0.05383644378779176
Position 1325: 0.049502472595788334
Position 29: 0.03486344152214774
Position 2473: 0.02712866287593267
Position 1129: 0.022140825462552294
Position 15054: 0.02212071398604262
Position 1669: 0.01706747155575192
Position 1163: 0.012415070369458258
Position 952: 0.010466028156398825
Position 315: 0.009700367755539513
Position 23: 0.009427769793995249
Position 15383: 0.009219605864589907
Position 1153: 0.008609337316047749
Position 2406: 0.007338976186360039
Position 2669: 0.006792304965488381
Position 2267: 0.0059644622983412825
Position 1949: 0.005422783112155924
Position 1832: 0.005132155470490089
Position 2567: 0.004567466591361049
Position 959: 0.004464898725222044
Position 293: 0.00419836927087692
Position 1300: 0.004079769810387116
Position 700: 0.0040503059884147395
Position 2163: 0.003309704822020267
Position 301: 0.0032883669350025633
Position 126: 0.0031640203551306575
Position 3790: 0.0031475075755168255
Position 5148: 0.0029553580844002463
Position 1398: 0.002773813543994261
Position 708: 0.0027142702012486375
Position 2246: 0.002625340855828208
Position 505: 0.0025384892285536986
Position 1636: 0.0022107237986442496
Position 1494: 0.002092002135060645
Position 1002: 0.001885819809605697
Position 3774: 0.0017752312640270604
Position 353: 0.0017699137587219268
Position 1891: 0.0015856217060690118
Position 2561: 0.0013424733692576274
Position 1134: 0.0012750213122359251
Position 1574: 0.001254685107860456
Position 1037: 0.0006383802846569065
Position 2540: 0.0006091840370764474
Position 2261: 0.0005373108459063082
Position 1058: 0.00044817203196824336
Position 3820: 0.0003807201348782616
Position 339: 0.00036939546327885805
Position 237: 0.00036562706822626555
Position 1243: 0.0003534080603737062
Position 697: 0.000318882969651735
Position 1359: 0.0002484297402900493
Position 2918: 0.00019534369209948322
Position 1673: 0.00019518686481218475
Position 129: 0.00018578600563260114
Position 3109: 0.0001827785862762786
Position 3293: 0.00017600168237787693
Position 905: 0.00015888949254305035
Position 1115: 0.00013450514479102673
Position 1283: 0.00010771103640451665
Position 2161: 0.00010459194197651837
Position 540: 0.00010447242805701159
Position 3278: 0.00010430510977772811
Position 3749: 0.00010122756621998671
Position 112: 7.692740639845513e-05
Position 473: 7.359805014941539e-05
Position 58: 6.586426846207282e-05
Position 7: 6.533634465535588e-05
Position 90: 6.427090987645609e-05
Position 488: 6.20685922723302e-05
Position 3669: 4.802595996136136e-05
Position 2956: 2.653391753185008e-05
Position 4982: 2.469608639488659e-05
Position 66: 2.462072361822598e-05
Position 140: 2.312961927395666e-05
Position 2915: 1.956796474283211e-05
Position 220: 1.70624808518243e-05
Position 3049: 1.4779629736313521e-05
Position 3603: 1.3037179315653921e-05
Position 3054: 1.216497698550757e-05
Position 162: 1.1353707730728561e-05
Position 245: 1.1171527946120046e-05
Position 3358: 1.0474253410800419e-05
Position 586: 8.725562984214852e-06
Position 652: 7.756272697458603e-06
Position 364: 7.574826788177914e-06
Position 395: 3.943548367506019e-06
Position 69: 3.5181569617423025e-06
Position 283: 3.421114267545145e-06
Position 911: 2.8835300849147777e-06
Position 1006: 2.7105723991736937e-06
Position 56: 2.1061937800028432e-06
Position 1193: 1.858206388832394e-06
Position 176: 1.6704169675536031e-06
Position 790: 1.5518261945177693e-06
Position 399: 1.4573454706306546e-06
Position 894: 1.4450859194341133e-06
Position 726: 1.4097870143186268e-06
Position 7084: 1.334510883506567e-06
Position 655: 1.1881880217257857e-06
Position 467: 1.1829986501775605e-06
Position 1341: 1.1289064037294395e-06
Position 393: 9.955454310348677e-07
Position 851: 6.74914909906106e-07
Position 849: 3.783676062390245e-07
Position 1052: 2.919322263123161e-07
Position 1844: 2.100245466697331e-07
Position 6326: 2.0077026803421985e-07
Position 453: 1.9834778716996141e-07
Position 425: 1.4492921618728253e-07
Position 856: 1.2856079893219697e-07
Position 603: 1.0865158640117804e-07
Position 509: 6.606242510895383e-08
Position 839: 5.299288045396867e-08
Position 832: 5.124258416721639e-08
Position 1233: 2.141138258582944e-08
Position 1227: 1.648301784357071e-08
Position 824: 9.157912889542156e-09
Position 1418: 3.778373167493611e-09
Position 3757: 3.147353667048534e-09
Position 1249: 9.75161874802216e-11
