Gene = CNMa
index = 1044
Annotated 5SS: [ 879 3540 3930 4107]
Annotated 3SS: [3344 3619 4094 4172]
SMsplice 5SS: [ 879 3540 3930]
SMsplice 3SS: [3344 3619 4172]
top_k =  1000
Partition function (log Z): -4.846163653034119

Sorted 5' Splice Sites (High to Low Probability):
Position 879: 0.9851333887972585
Position 3930: 0.8835760494732227
Position 3540: 0.7182713461829888
Position 4107: 0.1590603978485609
Position 1261: 0.09885855645150297
Position 1474: 0.059167098672138194
Position 3563: 0.04642269684756779
Position 3210: 0.03319866889687527
Position 49: 0.017167723221301803
Position 2412: 0.01175408809186723
Position 1760: 0.010351380446543285
Position 3878: 0.009000727551077699
Position 617: 0.007963846750288193
Position 249: 0.007873449747222731
Position 2290: 0.0059293810493052145
Position 263: 0.0058483744324393325
Position 294: 0.005438090024449798
Position 3934: 0.004656860582422319
Position 3957: 0.004479438223592777
Position 3566: 0.00364236958316296
Position 18: 0.0035777121665602025
Position 4258: 0.0030072112485926925
Position 1722: 0.0024656664171740354
Position 1363: 0.0022825781830779998
Position 2377: 0.002065612362080741
Position 3009: 0.002047961652766579
Position 3835: 0.0018979740487857623
Position 2212: 0.0017077242009000389
Position 1119: 0.001592006123536664
Position 3162: 0.0015864726480069727
Position 46: 0.0014147397470843362
Position 2541: 0.001372566543760971
Position 32: 0.0009391962313329143
Position 3536: 0.0009040105833443889
Position 2682: 0.0006850492158248256
Position 1864: 0.0006635911370939677
Position 3928: 0.0005859725638655738
Position 3937: 0.0005469417847871591
Position 62: 0.000523035395298123
Position 2372: 0.0005201282704446728
Position 1672: 0.0004911660458803495
Position 3124: 0.0004490682301264326
Position 1006: 0.0003358432453703116
Position 749: 0.00031042513912205754
Position 4536: 0.0003083998450574589
Position 1246: 0.00025890119360288467
Position 1618: 0.00021305279706316344
Position 504: 0.00012814647894099506
Position 3576: 0.0001224630598188277
Position 1268: 0.00011684764173567384
Position 500: 9.390751473176965e-05
Position 239: 9.249747376231148e-05
Position 426: 8.199628947136942e-05
Position 1860: 7.105013104286581e-05
Position 887: 7.051386192619812e-05
Position 883: 5.431791334068434e-05
Position 4295: 5.1714553238216225e-05
Position 306: 4.450344192249421e-05
Position 1581: 4.226826730623793e-05
Position 1095: 4.161333161289007e-05
Position 741: 3.89603708333357e-05
Position 4375: 3.772870450024749e-05
Position 120: 3.709705716735349e-05
Position 1748: 3.5393307149838934e-05
Position 919: 3.481335084408989e-05
Position 543: 2.5037336402576952e-05
Position 324: 2.4441176793122736e-05
Position 767: 2.4101955237018735e-05
Position 1271: 2.3921792152162025e-05
Position 1854: 2.1287072909739896e-05
Position 994: 1.9504693402460502e-05
Position 267: 1.8032010515880382e-05
Position 243: 1.7189509863932278e-05
Position 3764: 1.4282222828688892e-05
Position 497: 1.415888395083092e-05
Position 4422: 1.3824977320776457e-05
Position 1367: 1.2414524092174122e-05
Position 760: 1.0402512337451486e-05
Position 547: 1.0182023724780024e-05
Position 489: 9.819004368961424e-06
Position 371: 9.193716570772342e-06
Position 937: 8.635535751601199e-06
Position 863: 8.153345599676e-06
Position 3422: 7.223970322163686e-06
Position 3842: 6.291366109638172e-06
Position 289: 5.6747566154286395e-06
Position 684: 4.805686921039254e-06
Position 1647: 3.6990820851745256e-06
Position 1630: 3.65547492056472e-06
Position 590: 3.5963445548520874e-06
Position 689: 3.533276039370465e-06
Position 1427: 2.3500576437769638e-06
Position 4443: 2.009922634180654e-06
Position 1794: 1.956401603599199e-06
Position 846: 1.8419253947139468e-06
Position 1519: 1.8329086647842927e-06
Position 4362: 1.8261900241085416e-06
Position 4550: 1.5996705244841332e-06
Position 507: 1.596599172497491e-06
Position 1585: 1.4494590353835973e-06
Position 521: 1.3438859339166928e-06
Position 4582: 1.3414857573754966e-06
Position 1182: 8.44461036875468e-07
Position 785: 7.85112841354159e-07
Position 778: 5.106014335567975e-07
Position 1712: 4.2625556131446405e-07
Position 1226: 3.5939080041725905e-07
Position 112: 3.498985049842898e-07
Position 1057: 3.3741027069389884e-07
Position 1180: 3.1019499188910036e-07
Position 171: 2.361987908470947e-07
Position 1241: 1.674562844453178e-07
Position 820: 1.4981947950089321e-07
Position 1017: 1.4455518580408017e-07
Position 1537: 1.4350365264222612e-07
Position 772: 1.3745492799917468e-07
Position 1564: 1.2177177995057108e-07
Position 787: 1.1691958804788576e-07
Position 188: 1.1476555994448758e-07
Position 818: 1.0736008284821351e-07
Position 840: 7.266057810893504e-08
Position 1384: 6.962949672611363e-08
Position 856: 6.774320113884236e-08
Position 179: 3.229587088567583e-08
Position 107: 2.7316202754299154e-08
Position 377: 3.163041373079373e-10
Position 951: 6.900546060959696e-11
Position 441: 2.538106252920783e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4172: 0.952915681773276
Position 3619: 0.7564636936720581
Position 3344: 0.7498088395085777
Position 4094: 0.11776769827124406
Position 959: 0.10490508626590543
Position 3622: 0.10162603678094506
Position 2583: 0.045588290137701847
Position 1172: 0.04092277387580799
Position 1023: 0.036349886065145
Position 1043: 0.02705661196791829
Position 3230: 0.023837259641405713
Position 2593: 0.022669079380244646
Position 107: 0.01873033289778051
Position 1333: 0.016093678705801
Position 4019: 0.011875934153233847
Position 3111: 0.00989538652441459
Position 937: 0.008247154037958747
Position 1777: 0.005489958662791925
Position 371: 0.005428976276623481
Position 684: 0.00434112977408057
Position 2682: 0.00400695162205809
