Gene = Grasp65
index = 1201
Annotated 5SS: [164]
Annotated 3SS: [599]
SMsplice 5SS: [164]
SMsplice 3SS: [599]
top_k =  1000
Partition function (log Z): -4.726622512222888

Sorted 5' Splice Sites (High to Low Probability):
Position 164: 0.9722831457007746
Position 441: 0.01916332007240081
Position 265: 0.009061127335155914
Position 1042: 0.007424744941210223
Position 375: 0.004050876854205559
Position 1775: 0.002993714181928538
Position 2091: 0.002991392817683168
Position 788: 0.002078014834942618
Position 201: 0.0020676900210018904
Position 1596: 0.0020309408550506676
Position 1079: 0.0017274655192875933
Position 1349: 0.0015066356207242405
Position 536: 0.0014559634694627827
Position 959: 0.0009894590782748537
Position 542: 0.0009086193782076971
Position 1529: 0.0005772366283987806
Position 1523: 0.0004023244828001465
Position 503: 0.0003039576900742361
Position 1283: 0.00021186947456126488
Position 445: 0.00021128182408491002
Position 274: 0.00019656232470408044
Position 1274: 0.00014659939310462245
Position 845: 0.00014294763331771374
Position 1916: 0.00012642028198668295
Position 470: 0.0001244554033197332
Position 1989: 0.00012440059067548366
Position 2026: 0.00011760191134728888
Position 905: 0.00011319487282163486
Position 1765: 9.307867704189234e-05
Position 168: 8.934486261003961e-05
Position 1504: 8.12869985965501e-05
Position 1266: 7.849264655640507e-05
Position 170: 7.797838395573556e-05
Position 617: 7.394695267589393e-05
Position 248: 6.672620786277422e-05
Position 2089: 5.3719045554908355e-05
Position 766: 4.880748689013836e-05
Position 2065: 3.612725267372488e-05
Position 1623: 3.6000698924307096e-05
Position 1493: 2.829840372071234e-05
Position 2036: 2.3227276928080835e-05
Position 855: 2.186534953556864e-05
Position 349: 2.0172932644681173e-05
Position 432: 1.7157586430286467e-05
Position 752: 1.3364306687939133e-05
Position 475: 1.0110159115947065e-05
Position 887: 8.182922026695896e-06
Position 506: 8.067124309371247e-06
Position 1387: 7.894116956088729e-06
Position 1508: 7.844778897299013e-06
Position 70: 7.658269301546797e-06
Position 363: 7.374999307526992e-06
Position 1762: 6.766659749984062e-06
Position 740: 4.713395918212006e-06
Position 3: 4.668051022657105e-06
Position 185: 4.341522146148939e-06
Position 1583: 3.1500209588742557e-06
Position 2053: 2.7024310283045342e-06
Position 1046: 2.0766004588637863e-06
Position 565: 1.5024184159287176e-06
Position 1746: 6.236275265357578e-07
Position 61: 4.7445868649526194e-07
Position 29: 1.2719791053829888e-07
Position 1237: 4.538006645065855e-08
Position 1757: 4.460200456813806e-08
Position 764: 2.854049688103852e-08
Position 1469: 2.610408520149876e-08
Position 1502: 1.882089244246613e-08
Position 1178: 1.328729107887953e-08
Position 50: 1.062197779227697e-08
Position 674: 6.377904765473746e-09
Position 81: 3.112120024402149e-09
Position 142: 1.9580148342728293e-09
Position 395: 8.542802792147061e-10
Position 1000: 6.068229178805764e-10
Position 1222: 2.887767800408339e-10
Position 608: 1.5820808503144322e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 599: 0.9841769651838258
Position 1657: 0.00944288958952476
Position 1168: 0.006746533543823611
Position 2162: 0.0061478134493663005
Position 1831: 0.003473668851302681
Position 307: 0.003318283376791873
Position 231: 0.0029326736326627714
Position 432: 0.002768441367062611
Position 1856: 0.0018633754444725926
Position 349: 0.0016334180748161463
Position 542: 0.0013399421604396648
Position 1702: 0.0010109688678084686
Position 506: 0.0006530702103316533
Position 2198: 0.0006232094366891058
Position 562: 0.0006126677648494991
Position 1027: 0.0006010879287237541
Position 622: 0.0005979703388833559
Position 1450: 0.0005475252378315596
Position 1596: 0.0005215588153313447
Position 1622: 0.0004775708533926781
Position 264: 0.0004761628622708152
Position 485: 0.0004162656205401684
Position 509: 0.000404675563709401
Position 2040: 0.0003792614146966477
Position 363: 0.00036415536718596806
Position 546: 0.0003525806363612699
Position 643: 0.00033104523241159005
Position 923: 0.0002531978002098167
Position 565: 0.00022646082622625803
Position 1705: 0.00018707507553498832
Position 1774: 0.00017822805034263235
Position 1381: 0.0001753145278331386
Position 616: 0.00017454242264013483
Position 774: 0.0001176025714520696
Position 1742: 0.00011159063842396592
Position 935: 9.139696037349772e-05
Position 1810: 7.419183523180877e-05
Position 1562: 6.816639174506397e-05
Position 274: 6.542354171330316e-05
Position 238: 5.720311004538392e-05
Position 683: 5.010645840580773e-05
Position 736: 4.90530398738251e-05
Position 279: 4.279878910839579e-05
Position 1172: 4.1308593027893276e-05
Position 971: 3.861790128782978e-05
Position 1642: 3.552192385385984e-05
Position 1528: 3.1623447936216946e-05
Position 1522: 2.3219945480056174e-05
Position 905: 1.3328801824257894e-05
Position 2008: 1.2147011730510739e-05
Position 2207: 1.2136210524435389e-05
Position 1868: 1.1799336653728786e-05
Position 1603: 1.0048424163354764e-05
Position 1511: 9.44221981025076e-06
Position 2213: 9.042205662912377e-06
Position 1090: 8.786720867255008e-06
Position 703: 8.057667096436031e-06
Position 1393: 7.4334761794513256e-06
Position 813: 7.1457292525227005e-06
