Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  1000
Partition function (log Z): -0.20020281219340158

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9578194465581563
Position 854: 0.9206403169419903
Position 995: 0.8675973770881605
Position 1372: 0.027166654310004985
Position 1152: 0.01792909060207817
Position 261: 0.016392860995780294
Position 374: 0.014027807911613724
Position 563: 0.01018528680655201
Position 240: 0.008602676274269255
Position 1629: 0.003425922048674137
Position 1645: 0.0031395948151769024
Position 342: 0.002572480887614252
Position 419: 0.0018924287361569987
Position 32: 0.001187675192850554
Position 1388: 0.0009076010596598157
Position 398: 0.0007420029141899008
Position 1637: 0.0005385213797721
Position 29: 0.0005246487345588019
Position 1126: 0.0004197956874116845
Position 858: 0.00031973937899349895
Position 1488: 0.000312064229099887
Position 554: 0.0002822348031177446
Position 686: 0.00027707528238082304
Position 17: 0.00019015826239472336
Position 1328: 0.00016850810674271235
Position 1383: 0.00014262916630195972
Position 156: 0.00010859020802383205
Position 1131: 8.617460802595964e-05
Position 643: 7.137828806132674e-05
Position 3: 6.771189854641287e-05
Position 34: 5.922374794255305e-05
Position 557: 4.129026209512243e-05
Position 524: 3.755523442155255e-05
Position 651: 3.4087661518910885e-05
Position 276: 3.263376239363391e-05
Position 1462: 2.9287170289422936e-05
Position 1466: 2.1846977887391682e-05
Position 1272: 1.9040564117233223e-05
Position 422: 1.0587665477317228e-05
Position 270: 1.0516382041467183e-05
Position 19: 8.881671278813304e-06
Position 696: 8.774272290448008e-06
Position 244: 7.881484422586588e-06
Position 231: 7.866528030389052e-06
Position 974: 6.833582176037308e-06
Position 1609: 5.807718024698203e-06
Position 265: 4.847763398121069e-06
Position 1431: 4.506524856903733e-06
Position 1215: 4.148745286655467e-06
Position 694: 2.648958233625949e-06
Position 771: 2.496671363905692e-06
Position 1326: 2.2782801675899436e-06
Position 1217: 2.2698545979802386e-06
Position 637: 2.1420765206273378e-06
Position 715: 1.986998238306367e-06
Position 203: 1.1865957334879235e-06
Position 142: 1.1575686619153265e-06
Position 782: 8.078204514391423e-07
Position 530: 7.943657362923746e-07
Position 1598: 3.4774242364365347e-07
