Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
top_k =  1000
Partition function (log Z): -5.078361497794034

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9998292716841403
Position 78: 0.0020748523676051337
Position 88: 0.0016902337706975622
Position 732: 0.0006516732071113535
Position 747: 0.0003203457757256545
Position 702: 0.00020707571227062722
Position 559: 6.26568882438644e-05
Position 264: 4.5104039321558664e-05
Position 665: 4.361798958750693e-05
Position 52: 3.705211453739742e-05
Position 468: 2.848867530386365e-05
Position 9: 2.50456190223211e-05
Position 382: 1.660119206913187e-05
Position 371: 1.1391106576908407e-05
Position 545: 1.08434992616899e-05
Position 267: 8.944358305345103e-06
Position 512: 7.629951575992147e-06
Position 594: 6.793536319667004e-06
Position 647: 4.654382689511806e-06
Position 821: 3.836584350720349e-06
Position 4: 3.33735928967771e-06
Position 619: 2.9363131796023355e-06
Position 57: 2.460615028645672e-06
Position 799: 1.8682042313597183e-06
Position 412: 1.725032830907417e-06
Position 835: 9.942078374331795e-07
Position 673: 9.401687158442259e-07
Position 495: 7.544179470415873e-07
Position 308: 6.276753195059537e-07
Position 718: 3.940764998367202e-07
Position 373: 1.7880298747354234e-07
Position 645: 9.838430839091825e-08
Position 106: 8.707539485862555e-08
Position 533: 7.06693331387568e-08
Position 140: 4.507070308514264e-08
Position 120: 3.1212336850355166e-08
Position 679: 1.528547100564082e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9977107983806769
Position 159: 0.003593211334043422
Position 812: 0.001028881752037228
Position 507: 0.0008306140961486075
Position 611: 0.0004655226101347142
Position 834: 0.0003348461389473966
Position 492: 0.0002590929823616378
Position 462: 0.00020778600572402768
Position 684: 0.00011690670595791751
Position 728: 0.00011009054417054349
Position 334: 9.925157845086205e-05
Position 518: 9.760973921729819e-05
Position 864: 5.8560049640212386e-05
Position 242: 4.411427166972905e-05
Position 308: 3.133227279555934e-05
Position 640: 2.0271149855271485e-05
Position 626: 1.9417610301619186e-05
Position 87: 1.5639363360198125e-05
Position 594: 1.0069935861768446e-05
Position 78: 6.8302825052058655e-06
Position 636: 6.046816460157655e-06
Position 183: 5.3999572271798665e-06
Position 881: 5.10403926348887e-06
Position 278: 4.99352644910385e-06
Position 349: 4.0535012749649454e-06
Position 654: 3.797043297299585e-06
Position 868: 3.4042718991481003e-06
Position 688: 1.3409367408086022e-06
Position 743: 1.1122594464654783e-06
Position 294: 1.0260147811999014e-06
Position 616: 9.477941762641212e-07
Position 582: 8.174621077548801e-07
Position 218: 7.844544808272738e-07
Position 382: 7.425136896186581e-07
Position 199: 5.18624984363987e-07
Position 286: 4.2937053631430367e-07
Position 759: 3.2248717573828566e-07
Position 765: 2.970215840949506e-07
Position 762: 1.8401902687372877e-07
Position 313: 1.6027166710672377e-07
Position 591: 1.172454440218208e-07
Position 891: 5.775954294556988e-08
Position 768: 4.055802311302571e-08
Position 732: 2.7813124236807508e-08
Position 192: 2.63958108965133e-08
Position 656: 2.295960450418619e-08
Position 848: 2.0561823350898144e-08
Position 248: 1.4429218150455418e-08
Position 264: 1.2133289823027097e-08
Position 403: 5.390524186359145e-09
Position 336: 1.546197188012883e-09
Position 253: 5.889189498262612e-10
Position 205: 2.538860864105066e-10
Position 364: 1.2244578108220005e-10
Position 167: 7.810367633111426e-11
Position 392: 4.556650202012341e-14
