Gene = S
index = 1460
Annotated 5SS: [  981 16582 25250 25485]
Annotated 3SS: [15601 24761 25319 25549]
SMsplice 5SS: [  981 16582 25250 25485]
SMsplice 3SS: [15601 24761 25319 25549]
top_k =  1000
Partition function (log Z): -3.052674696444561

Sorted 5' Splice Sites (High to Low Probability):
Position 25485: 0.9997702064764105
Position 25250: 0.9993447464320009
Position 981: 0.7417020321835572
Position 16582: 0.6024445409053137
Position 698: 0.1852682059527614
Position 6617: 0.05523493815533412
Position 540: 0.04549231896363094
Position 5105: 0.04504910109498956
Position 4934: 0.04456820470121237
Position 25876: 0.04384593409488257
Position 6120: 0.04306052727016704
Position 27453: 0.03919638659625499
Position 26912: 0.035146104656910995
Position 26922: 0.031904749607649587
Position 25908: 0.02194420551051949
Position 14726: 0.021710712478289616
Position 894: 0.017734111565524256
Position 26396: 0.015445464577862904
Position 25843: 0.015121828861582936
Position 25695: 0.010747195466892161
Position 27466: 0.009725932725719762
Position 26371: 0.008420781112927708
Position 5336: 0.006474507926628549
Position 14226: 0.005293531366347834
Position 26948: 0.0045266123244508075
Position 25879: 0.004512307275724862
Position 26423: 0.004303743003952359
Position 755: 0.003949371168777951
Position 751: 0.003298351028868158
Position 753: 0.0032076881945625546
Position 26928: 0.0029780296625445887
Position 25654: 0.0029626189393852313
Position 164: 0.002782586550721277
Position 26666: 0.002229780724545183
Position 26884: 0.002168073541176617
Position 5696: 0.0020487082985560954
Position 396: 0.0018819311456025733
Position 26031: 0.001743711513532846
Position 27734: 0.0016621378361395375
Position 244: 0.0016102103799682927
Position 749: 0.001583957107311031
Position 4920: 0.0013501765870059176
Position 26228: 0.0013461241094359039
Position 14187: 0.001322625029201552
Position 455: 0.0012580771554970755
Position 320: 0.0012566789810327767
Position 352: 0.0010966672750538488
Position 134: 0.0010886262105555334
Position 6629: 0.001014218633820042
Position 26893: 0.0009925984539209138
Position 316: 0.0008996547724418766
Position 5981: 0.0008651726691788616
Position 4905: 0.0008528202095973645
Position 25855: 0.000718881648790405
Position 4945: 0.0006036020298885353
Position 8327: 0.0005856583506662681
Position 5431: 0.0005051529260384818
Position 609: 0.00047076655511448304
Position 25998: 0.0004562821846464706
Position 27458: 0.00034775843183031395
Position 664: 0.0003336455683811277
Position 74: 0.0003283780748005874
Position 26054: 0.00030319319229213447
Position 27447: 0.00030154105461023377
Position 25819: 0.0002621697379418993
Position 27153: 0.0002615219417119575
Position 523: 0.00021283281189729742
Position 348: 0.00019342142824407203
Position 26478: 0.00018273802336818434
Position 6286: 0.00018109040018249108
Position 5093: 0.0001628953080413863
Position 702: 0.00015876961053289218
Position 5343: 0.00015822879458950818
Position 5435: 0.00012560983331363958
Position 3555: 0.00011957304270520325
Position 328: 0.00011027125291246784
Position 1854: 9.95544723334352e-05
Position 3950: 8.334471250846252e-05
Position 3034: 8.153718030176796e-05
Position 25429: 7.680682147111534e-05
Position 567: 7.499040164373039e-05
Position 324: 6.978635370908032e-05
Position 759: 6.895456604778075e-05
Position 27694: 6.636797217966268e-05
Position 1134: 6.32482857298366e-05
Position 2184: 6.316716021923682e-05
Position 757: 5.818695567570154e-05
Position 371: 5.772939963764344e-05
Position 5340: 5.3020194638950706e-05
Position 326: 4.9404989175317526e-05
Position 25489: 4.713234988240055e-05
Position 4432: 4.643079400903608e-05
Position 26315: 4.419441031636656e-05
Position 356: 4.062342965755715e-05
Position 346: 3.990081025024584e-05
Position 26155: 3.983315108262658e-05
Position 375: 3.976262039015495e-05
Position 811: 3.768431812713694e-05
Position 26439: 3.660744138659166e-05
Position 358: 2.808317908208955e-05
Position 63: 2.1122114312864644e-05
Position 660: 2.0954817277201518e-05
Position 239: 1.8838353025867956e-05
Position 332: 1.8550229433674814e-05
Position 781: 1.765752440260411e-05
Position 25464: 1.3869232219618305e-05
Position 79: 1.2064799756546075e-05
Position 26625: 1.1444918337552816e-05
Position 225: 9.247604732837631e-06
Position 248: 8.432035776792151e-06
Position 668: 7.80650425235304e-06
Position 258: 7.267897539420545e-06
Position 4157: 6.812115058085976e-06
Position 834: 6.2885661729336284e-06
Position 26712: 6.1705147609702625e-06
Position 795: 5.983461624705124e-06
Position 343: 5.229035191519237e-06
Position 330: 5.047020163750485e-06
Position 96: 5.012441473551838e-06
Position 489: 4.979623715101642e-06
Position 185: 4.449840171550943e-06
Position 666: 4.315098827459969e-06
Position 1184: 4.199908221875642e-06
Position 4254: 3.5578725689656077e-06
Position 25669: 3.0714614763423074e-06
Position 26010: 2.7172281930379573e-06
Position 26037: 2.435011023738911e-06
Position 3568: 1.7769599090266219e-06
Position 86: 1.699003733864964e-06
Position 646: 1.513144568245366e-06
Position 26467: 1.3931818405854635e-06
Position 1747: 9.853725555718802e-07
Position 341: 9.269928068373063e-07
Position 190: 7.20479681044195e-07
Position 26345: 6.641101095637512e-07
Position 783: 5.468897984552999e-07
Position 379: 5.371023031206882e-07
Position 1351: 4.827707558114386e-07
Position 1812: 4.6477962622172133e-07
Position 632: 4.6331590029317917e-07
Position 26166: 4.4599063126609196e-07
Position 1650: 4.436967602830548e-07
Position 544: 4.3760576197966204e-07
Position 1808: 4.111830368220682e-07
Position 304: 3.988551575868009e-07
Position 362: 3.553681323269232e-07
Position 26181: 3.5098494329209785e-07
Position 551: 3.509357432574216e-07
Position 4341: 3.2106586122368083e-07
Position 898: 3.1212796369132346e-07
Position 25952: 2.946218060451795e-07
Position 25589: 2.8488311868172936e-07
Position 1242: 2.6171325242718124e-07
Position 1462: 2.469038176585828e-07
Position 1174: 2.3017881963882088e-07
Position 1617: 2.0014174877926267e-07
Position 26147: 1.9700863958123298e-07
Position 25577: 1.900872237868145e-07
Position 360: 1.7756570506585203e-07
Position 1763: 1.4739629761204697e-07
Position 25637: 1.1784833359940072e-07
Position 3833: 9.451211773033471e-08
Position 3829: 8.885834077968451e-08
Position 1492: 6.20972180229943e-08
Position 918: 4.1796290554539354e-08
Position 882: 3.527505509274011e-08
Position 25379: 2.9843778719848205e-08
Position 1778: 2.8688558632322477e-08
Position 25376: 2.3729272144324204e-08
Position 1692: 1.610434604442616e-08
Position 909: 1.5243147620057827e-08
Position 934: 1.3655731306813828e-08
Position 26048: 1.0441591561884052e-08
