Gene = fmt
index = 1703
Annotated 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3764]
Annotated 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3937]
SMsplice 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3004 3764]
SMsplice 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3075 3952]
top_k =  1000
Partition function (log Z): 21.685719465381403

Sorted 5' Splice Sites (High to Low Probability):
Position 2533: 0.9992342353145338
Position 1899: 0.9987605111867961
Position 1524: 0.9986198335087555
Position 1149: 0.985208567939305
Position 2653: 0.9816232982293679
Position 504: 0.916639485561451
Position 3764: 0.9039908716473988
Position 1725: 0.9014401227427451
Position 770: 0.6279003016945717
Position 121: 0.5984226411543511
Position 3004: 0.4873562800273155
Position 754: 0.3098170133913797
Position 2052: 0.26766356040183015
Position 4137: 0.1822959608371318
Position 4982: 0.17540321560272157
Position 3264: 0.0887445695524842
Position 3000: 0.08290818881775165
Position 3788: 0.046363235615352924
Position 94: 0.018631610291644677
Position 2152: 0.01858567271989697
Position 281: 0.01848242240513128
Position 253: 0.016868511052668782
Position 3753: 0.015620728191632936
Position 4164: 0.01519988318721226
Position 3014: 0.012815058510662258
Position 3784: 0.010101088187560033
Position 908: 0.009353669362948416
Position 3031: 0.00853698217584461
Position 881: 0.007092932908975067
Position 2059: 0.006706148822148278
Position 203: 0.005536493619766123
Position 3432: 0.00522913512136163
Position 294: 0.004702251195312225
Position 4814: 0.004188788046216162
Position 3024: 0.004011147195577326
Position 2104: 0.003872375117947625
Position 276: 0.0032855978628975623
Position 5552: 0.0028313086341515757
Position 198: 0.0025991491079691144
Position 266: 0.0024280318677234835
Position 2844: 0.0023150343497857742
Position 431: 0.0022735078764248733
Position 3034: 0.0021431980507719303
Position 287: 0.0016549729351447754
Position 5663: 0.001536895958563474
Position 3358: 0.001366553550429336
Position 4683: 0.0013586470357929525
Position 7274: 0.001345705963321629
Position 1019: 0.0012155269168996129
Position 730: 0.001195863118177297
Position 3792: 0.0010527769552086364
Position 3382: 0.00103519463911502
Position 508: 0.0009072411684279247
Position 127: 0.0008862653581168852
Position 125: 0.0007868574384184662
Position 2951: 0.0007439901739904455
Position 5195: 0.0006572036214661783
Position 3871: 0.0005985009574003049
Position 2056: 0.000585805832211981
Position 292: 0.0005669860814550785
Position 1671: 0.0005475188590919005
Position 983: 0.0005456850597428955
Position 52: 0.000507838957624007
Position 4: 0.0004801343073792512
Position 2898: 0.0004425247258409623
Position 2216: 0.00043258989593957344
Position 55: 0.0003619666739191066
Position 2657: 0.0002927705907705983
Position 108: 0.00029161413444200076
Position 285: 0.0002888602003659012
Position 3691: 0.00027996320662977074
Position 82: 0.00025982172956438073
Position 64: 0.0002542147955034947
Position 1662: 0.0002463353539073473
Position 1120: 0.00023842897313886043
Position 4875: 0.0002215898514593463
Position 2537: 0.0002194460075408379
Position 1256: 0.00020333888715200522
Position 201: 0.00020087858019713029
Position 2347: 0.00019200307037515405
Position 359: 0.00017721317647105534
Position 2806: 0.00017414027568451936
Position 681: 0.0001697231519536009
Position 989: 0.00016954038714429794
Position 666: 0.00016194633376141992
Position 209: 0.00015708527484121937
Position 3157: 0.00015280511717755094
Position 1438: 0.00013987045139173153
Position 35: 0.00012924175484323007
Position 3768: 0.0001105069151221884
Position 4053: 0.00010279536515120121
Position 1528: 0.00010276191700219983
Position 722: 9.896018836948265e-05
Position 2830: 9.67541733415758e-05
Position 2782: 9.139427171618731e-05
Position 1903: 8.110623711796517e-05
Position 1492: 7.9139105538884e-05
Position 1489: 6.764386636341558e-05
Position 348: 6.548900082429356e-05
Position 1057: 6.042417793930776e-05
Position 2993: 5.77329831533149e-05
Position 335: 5.69704296467893e-05
Position 4497: 5.553077755909944e-05
Position 926: 5.481141135892317e-05
Position 264: 5.199244118295467e-05
Position 3370: 4.707207574041848e-05
Position 2173: 3.362467980765781e-05
Position 2432: 2.5516794419978146e-05
Position 714: 2.5048713877295237e-05
Position 2425: 2.3348144198976345e-05
Position 642: 2.24944782590149e-05
Position 2861: 2.0841673809414093e-05
Position 2166: 1.9878011374956317e-05
Position 1431: 1.6476897341648882e-05
Position 1540: 1.629234212868379e-05
Position 658: 1.4882266427592877e-05
Position 2420: 1.4639843678675035e-05
Position 2076: 1.3169487255969944e-05
Position 1698: 1.3139772991434693e-05
Position 1231: 1.2342349292176803e-05
Position 2725: 1.2324007159101556e-05
Position 1359: 1.1936046386617152e-05
Position 2272: 1.0364573955820806e-05
Position 1165: 9.678078695427336e-06
Position 435: 8.88656116181481e-06
Position 3800: 8.657863749421913e-06
Position 3533: 7.508282374570348e-06
Position 3865: 7.268727898982008e-06
Position 1843: 7.228348260738061e-06
Position 1153: 6.84931459863511e-06
Position 1001: 6.7945580164805755e-06
Position 1325: 6.784572145544802e-06
Position 3179: 6.67263405083008e-06
Position 749: 5.390403150167255e-06
Position 1650: 3.836054180097042e-06
Position 3591: 3.5916723247634353e-06
Position 3612: 3.5656121802939542e-06
Position 676: 3.448802031680978e-06
Position 460: 3.2844420706914713e-06
Position 2254: 3.2179343733143485e-06
Position 2698: 2.944293056103073e-06
Position 944: 2.8965270494543505e-06
Position 532: 2.8322449272248324e-06
Position 1974: 2.4455757084482434e-06
Position 1776: 2.2194761171442677e-06
