Gene = SmB
index = 1506
Annotated 5SS: [134]
Annotated 3SS: [502]
SMsplice 5SS: [134]
SMsplice 3SS: [502]
top_k =  1000
Partition function (log Z): -4.2960543899222285

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.9672614081413566
Position 69: 0.028746897288106626
Position 427: 0.004324015941579563
Position 418: 0.0019819357490258923
Position 86: 0.0010833932152098044
Position 74: 0.0008676039058374388
Position 138: 0.0007756638689694726
Position 671: 0.0004590218638933651
Position 379: 0.00033477438782123723
Position 172: 0.00016375305587738477
Position 376: 0.00014886887498336674
Position 585: 0.00010362064715663916
Position 707: 9.701476531119712e-05
Position 230: 7.294253613097678e-05
Position 66: 6.889524519677068e-05
Position 743: 6.425214665024797e-05
Position 1089: 3.586860264667849e-05
Position 190: 3.446983471578766e-05
Position 286: 2.982966361742344e-05
Position 177: 2.3906485662796554e-05
Position 891: 2.2194322103574195e-05
Position 884: 2.1125549242247056e-05
Position 1065: 2.07923794330147e-05
Position 548: 2.0700664096885185e-05
Position 314: 1.6309610725966936e-05
Position 731: 1.605704543730357e-05
Position 219: 1.584510492200923e-05
Position 334: 1.416717807039423e-05
Position 819: 9.950068275786222e-06
Position 187: 8.605041720875239e-06
Position 182: 7.82939383359731e-06
Position 149: 7.275336965625392e-06
Position 807: 5.314981179070905e-06
Position 573: 3.9051269254274715e-06
Position 464: 3.336167963561589e-06
Position 695: 3.050335682805136e-06
Position 1023: 1.262349313115981e-06
Position 870: 1.1990431513059676e-06
Position 960: 1.1449425039994535e-06
Position 853: 8.55416851541522e-07
Position 640: 7.456972586125541e-07
Position 860: 6.878556933106877e-07
Position 938: 1.714922682355604e-07
Position 893: 1.5257682785139748e-07
Position 879: 1.0361404163176066e-07
Position 824: 8.157603091742897e-08
Position 557: 3.332320303915937e-08
Position 782: 1.3608307360847886e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9735501682708688
Position 203: 0.023829248378956596
Position 334: 0.004211232597207239
Position 187: 0.0024418759176627622
Position 416: 0.0008896938284935352
Position 800: 0.0008056445906998045
Position 565: 0.0002804504420993713
Position 241: 0.0002115204161710591
Position 532: 0.0002025792815758266
Position 1132: 0.00015724284444636107
Position 913: 9.885871615330928e-05
Position 670: 4.490361953652476e-05
Position 596: 4.370952102107053e-05
Position 1007: 3.641770566978926e-05
Position 437: 2.3178573636797203e-05
Position 866: 9.600164274805918e-06
Position 649: 6.355712517389968e-06
Position 661: 6.347328230097512e-06
Position 731: 5.966570868930319e-06
Position 514: 5.540296878915746e-06
Position 177: 4.730243821539642e-06
Position 764: 3.912073181412146e-06
Position 637: 2.2755315616133574e-06
Position 118: 1.7141129295020744e-06
Position 156: 1.6307685562011172e-06
Position 877: 1.5598066363301883e-06
Position 356: 1.4922419457672207e-06
Position 679: 9.21431916632687e-07
Position 691: 5.840063264287922e-07
Position 640: 4.6359261510816165e-07
Position 797: 4.163357872402579e-07
Position 766: 2.8715743486397233e-07
Position 938: 1.6933701563889673e-07
Position 935: 1.3746955017816944e-07
Position 1056: 7.863930301616995e-08
Position 138: 6.181386003942055e-08
Position 782: 5.687925379940425e-08
Position 685: 1.0073204842310384e-08
Position 724: 9.72990907162054e-09
