Gene = AstC
index = 31
Annotated 5SS: [ 246 4277 4473]
Annotated 3SS: [4160 4332 4534]
SMsplice 5SS: [ 246 4277 4473]
SMsplice 3SS: [4160 4332 4534]
top_k =  1000
Partition function (log Z): 0.6187403234826365

Sorted 5' Splice Sites (High to Low Probability):
Position 4277: 0.9961358496015842
Position 4473: 0.9548259710672083
Position 246: 0.954216378758542
Position 4661: 0.4044291028852859
Position 1068: 0.08667253824956356
Position 829: 0.07653871517019252
Position 824: 0.058818090989551014
Position 2581: 0.0540213973486053
Position 1375: 0.025067228381902933
Position 3219: 0.024882533460292792
Position 1303: 0.02167344133255698
Position 1594: 0.016722108621849772
Position 2436: 0.014163543640990768
Position 1163: 0.011807490598417734
Position 882: 0.010989195076001358
Position 834: 0.009639439239208252
Position 4614: 0.008269904702374571
Position 354: 0.00823516355736751
Position 4059: 0.007426010148725442
Position 1037: 0.005634374245591264
Position 4892: 0.003177110878391854
Position 463: 0.0025095856977462396
Position 4281: 0.0015346390416079022
Position 434: 0.0015330175631271896
Position 3224: 0.0014254806163708149
Position 3116: 0.00114988747588135
Position 3764: 0.0011263693334092784
Position 1907: 0.0011144566858331743
Position 1055: 0.0011116033114120982
Position 4575: 0.0010769921355654871
Position 3879: 0.0010449923947608523
Position 2311: 0.0010374893238606167
Position 4880: 0.0009687042757283154
Position 406: 0.0009056428414265501
Position 3682: 0.0007872198347621572
Position 250: 0.0005439858121763374
Position 563: 0.0005020749686822508
Position 4676: 0.0004938816698716209
Position 2238: 0.0004931149546369734
Position 4609: 0.0004602250542701316
Position 3816: 0.00043352709289857486
Position 4708: 0.00043049502429328774
Position 567: 0.00041830874832766583
Position 1776: 0.0003932735443111062
Position 2904: 0.0003900646487047238
Position 4904: 0.00037371628263698663
Position 4388: 0.00035705887269361767
Position 2857: 0.00029571331174413937
Position 2061: 0.00029316678065306994
Position 5073: 0.00025189226515199447
Position 420: 0.00020517116803958293
Position 3693: 0.000194659019575819
Position 240: 0.00016594801768882403
Position 4260: 0.00015289056833050409
Position 5014: 0.00013788453188865366
Position 2900: 0.0001282569825683311
Position 872: 0.0001224524491685089
Position 1431: 9.063486532874296e-05
Position 1762: 7.806394769688001e-05
Position 4518: 5.618080686637038e-05
Position 760: 5.127071509629598e-05
Position 1497: 4.493323989413078e-05
Position 1743: 4.0812553490537076e-05
Position 5120: 3.9623491969566705e-05
Position 1121: 3.606153587826685e-05
Position 574: 3.415045977445028e-05
Position 5085: 2.4849220662088498e-05
Position 400: 2.4547086577016502e-05
Position 1755: 2.3558676646051514e-05
Position 4665: 1.548236992667212e-05
Position 1167: 1.3883690860860967e-05
Position 1364: 1.1902031482048868e-05
Position 788: 1.0907751397373967e-05
Position 512: 9.868961002571367e-06
Position 60: 8.795736951072904e-06
Position 717: 8.764672288669756e-06
Position 886: 6.579020026019459e-06
Position 1170: 5.9407511503294086e-06
Position 4369: 4.927309095956306e-06
Position 667: 4.893618632617668e-06
Position 1998: 4.760533991723347e-06
Position 521: 4.479711223611837e-06
Position 648: 3.5791249405026954e-06
Position 5009: 3.129232302090779e-06
Position 4299: 2.848735441711689e-06
Position 470: 1.6798108038660375e-06
Position 1144: 1.2530699505600505e-06
Position 330: 1.181056036724964e-06
Position 1179: 1.0817493664632862e-06
Position 4501: 1.052878781162968e-06
Position 623: 8.075034582257025e-07
Position 552: 6.16991726449967e-07
Position 345: 3.332560764238691e-07
Position 778: 2.9630101783964344e-07
Position 312: 1.9761050425966127e-07
Position 753: 8.859223015116246e-08
Position 4537: 4.143529121758128e-08
Position 305: 4.045205575660728e-08
Position 29: 3.0498966644986046e-08
Position 7: 1.4239193816894644e-08
Position 4558: 1.2975096974856115e-08
Position 742: 1.1510836184210467e-08
Position 4796: 1.0772732423258518e-08
Position 310: 7.758366905747461e-09
Position 735: 4.405450564290379e-09
Position 677: 2.8121221430876626e-09
Position 4628: 6.549418775262888e-10
Position 4896: 1.8852728207308703e-10
Position 4933: 7.905738696918184e-11
Position 917: 6.11016246511517e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4332: 0.9969176956618715
Position 4160: 0.8721606939802827
Position 4534: 0.6963833892691565
Position 4726: 0.3293828534160025
Position 4543: 0.17414349684960412
Position 898: 0.12458180504379071
Position 4195: 0.116439591591083
Position 305: 0.08659368394717842
Position 4537: 0.06723825641334127
Position 948: 0.035635266257314564
Position 4907: 0.03159926697872226
Position 4657: 0.025610628854433357
Position 2651: 0.020340850557063656
Position 1661: 0.0169205291857975
Position 2537: 0.016363435795581527
Position 4801: 0.014519662638994483
Position 3415: 0.012546446576903623
Position 4955: 0.010707313645204464
Position 623: 0.010320896589858084
Position 5095: 0.009853850830029121
Position 1226: 0.007838102776585159
Position 2130: 0.006459722652658373
Position 667: 0.006205324407584576
Position 487: 0.0058983246644344865
Position 1173: 0.005824811965025672
Position 1828: 0.005682419248540621
Position 5211: 0.004311691040180172
Position 353: 0.00409082098738311
Position 563: 0.0036347520805086794
Position 4770: 0.0033319744695583416
Position 1528: 0.0032030036952536
Position 677: 0.0031574607146046397
Position 3136: 0.0031464291069457605
Position 604: 0.003046552969768624
Position 467: 0.0029750046275726235
Position 1144: 0.0027439389325770364
Position 965: 0.002743646079881965
Position 537: 0.002492508823319915
Position 1500: 0.0024044349341503122
Position 648: 0.0017853569203002454
Position 5127: 0.0016837841189422068
Position 4757: 0.001616716839975961
Position 977: 0.0015563428586753904
Position 4817: 0.0015465806477786778
Position 574: 0.0015262038757105866
Position 1974: 0.0014455859260986718
Position 2292: 0.001439818957573274
Position 4242: 0.0013949070915204298
Position 4165: 0.001189088299682272
Position 4822: 0.001098487554189768
Position 2757: 0.0010310626114386726
Position 4356: 0.0009533992053693184
Position 5139: 0.0009174327477888205
Position 5103: 0.0007653829582882099
Position 1560: 0.0007312049291669385
Position 4168: 0.0007306160288129498
Position 3584: 0.0007289170910110525
Position 2707: 0.0007015314685648783
Position 434: 0.0006128190643238321
Position 723: 0.000592188274787213
Position 2361: 0.0005114089306737093
Position 1418: 0.0005030106776378287
Position 367: 0.0004845320397895566
Position 759: 0.0004638040311612035
Position 3021: 0.00032195085770419406
Position 4775: 0.0002843935878511422
Position 2464: 0.0002785982317539306
Position 585: 0.0002688948220749799
Position 3489: 0.0002616121466417687
Position 5041: 0.0002425246776951053
Position 406: 0.00024155045550401487
Position 4466: 0.00020957032012860195
Position 452: 0.00019436682000900158
Position 3142: 0.000181204521981895
Position 805: 0.0001754588208143984
Position 3926: 0.00017301801988689526
Position 1452: 0.00014997270511384213
Position 3267: 0.00014090407668725953
Position 4963: 0.0001338174154462641
Position 3972: 0.00013237361643403498
Position 823: 0.00013079286350530222
Position 5120: 0.00013056851358661599
Position 2608: 0.00012984194646927457
Position 3467: 0.0001277409489840826
Position 3276: 0.00011527536529983232
Position 2935: 9.795314762175835e-05
Position 2455: 9.493451624260098e-05
Position 788: 9.482394415619725e-05
Position 2543: 9.166517167418384e-05
Position 3562: 8.16254891994748e-05
Position 993: 6.330637178338327e-05
Position 4271: 6.136626312058634e-05
Position 1431: 5.567410448225089e-05
Position 1437: 4.295088952230976e-05
Position 1415: 4.216085851727759e-05
Position 1053: 4.176274566533663e-05
Position 1268: 4.128206832864423e-05
Position 3537: 3.860275754932069e-05
Position 1752: 2.9279728150395992e-05
Position 4446: 2.844148053449582e-05
Position 3710: 2.6184550387700116e-05
Position 4601: 2.4177277239673675e-05
Position 1672: 2.0075377530533386e-05
Position 4803: 1.9851810000148067e-05
Position 2440: 1.9784930161764106e-05
Position 753: 1.5814536224525084e-05
Position 4555: 1.217239863816486e-05
Position 4365: 1.0883650383401261e-05
Position 4676: 8.510951150886766e-06
Position 1058: 8.116735336221845e-06
Position 1003: 6.342449317954189e-06
Position 117: 5.105039045262065e-06
Position 375: 4.339139060585483e-06
Position 383: 4.1540726105444416e-06
Position 4313: 2.9399428447764162e-06
Position 232: 1.0788124640515664e-06
Position 4618: 8.693562340232534e-07
Position 4558: 7.869464696131122e-07
Position 829: 4.079124403390982e-07
Position 4614: 3.32305731842343e-07
Position 1121: 2.4718484202327515e-07
Position 4628: 2.1069390859033708e-07
Position 176: 1.2728674231845039e-07
Position 833: 1.0636658988270006e-07
Position 81: 1.4621146483927164e-08
Position 1284: 7.0487968662900265e-09
Position 75: 3.530529446641986e-09
Position 53: 1.0127202510552776e-10
Position 240: 5.794156402281484e-11
Position 60: 4.0373829689662744e-12
Position 250: 1.0875655012614436e-12
