Gene = RhoGDI
index = 1424
Annotated 5SS: [ 166 2272 2455 2635]
Annotated 3SS: [2071 2344 2519 3238]
SMsplice 5SS: [ 383 2272 2455 2635]
SMsplice 3SS: [2071 2344 2519 3238]
top_k =  1000
Partition function (log Z): -1.913878871242638

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9867375107219654
Position 2272: 0.9556322206522929
Position 2635: 0.8920302720238154
Position 3170: 0.38934760065304214
Position 383: 0.3415009019652011
Position 68: 0.3074721859007959
Position 782: 0.24675340637220658
Position 206: 0.2260258809755127
Position 166: 0.10818233850338711
Position 32: 0.07340409582501393
Position 3555: 0.033191598460428476
Position 3806: 0.018737051957176953
Position 3352: 0.01805762128163969
Position 2600: 0.01560471756480318
Position 2035: 0.012345342206676862
Position 3031: 0.011491113496458759
Position 389: 0.010869619723412157
Position 387: 0.0096089079385776
Position 399: 0.00960752202999053
Position 492: 0.009406644026597254
Position 2268: 0.009239743478689146
Position 1062: 0.008973739588690634
Position 407: 0.008827906344815185
Position 1621: 0.008325078486208698
Position 2815: 0.007857361938108546
Position 2999: 0.007848240983761221
Position 1263: 0.007548050541958597
Position 391: 0.006935531902371951
Position 1570: 0.006540183217170535
Position 395: 0.006178909853914162
Position 393: 0.005838534892544966
Position 2282: 0.0053428173596588606
Position 3607: 0.0047973123275088765
Position 196: 0.004783192778745815
Position 3794: 0.004548972155572831
Position 2931: 0.004003487729922078
Position 641: 0.003059832944029708
Position 3166: 0.002745817194054832
Position 3577: 0.002741259708281769
Position 1606: 0.002676279559210785
Position 202: 0.00256029387697354
Position 200: 0.002261201907120549
Position 891: 0.002160021365781831
Position 2553: 0.0021500540688100473
Position 3526: 0.0020863609887389802
Position 198: 0.0019023637108215772
Position 3640: 0.0016849645136285895
Position 1113: 0.0012630106885935047
Position 719: 0.0011269432107308144
Position 3592: 0.0010621889233028686
Position 215: 0.001032449496922176
Position 298: 0.0008482814591592311
Position 3645: 0.0006638161471988512
Position 3629: 0.000653859811985918
Position 3798: 0.0005906801948908756
Position 1674: 0.0005523338832057017
Position 3396: 0.0005161789413057947
Position 22: 0.00040041736079428277
Position 3178: 0.0003635635431565176
Position 3149: 0.00035603414280819325
Position 3778: 0.00035297309873547246
Position 82: 0.0002785699788653709
Position 3774: 0.00022993804512090517
Position 1464: 0.00019470881344249878
Position 60: 0.00016551337594865865
Position 2242: 0.00012591400903018003
Position 2301: 0.00012045855011039354
Position 3163: 0.00011357335799617457
Position 2308: 9.968872950291161e-05
Position 104: 9.414692093636115e-05
Position 2658: 8.458814318784756e-05
Position 2810: 7.619444060955025e-05
Position 2935: 7.467579081937713e-05
Position 3638: 7.379351293027826e-05
Position 3575: 6.0129019625925186e-05
Position 210: 5.5238838384154305e-05
Position 3770: 5.0627380269762824e-05
Position 72: 3.8697907025929305e-05
Position 409: 3.2069996193048735e-05
Position 2438: 2.1785020753773804e-05
Position 2628: 2.168351329912676e-05
Position 2639: 2.1489866123637187e-05
Position 204: 2.0382760348664644e-05
Position 2626: 1.5782035211721735e-05
Position 115: 1.3863945517783134e-05
Position 85: 1.0875519018286243e-05
Position 3095: 9.993178297605862e-06
Position 397: 8.048991918012835e-06
Position 2429: 7.876725913558414e-06
Position 413: 6.966736126033022e-06
Position 3093: 6.484568483164644e-06
Position 381: 5.401199997099407e-06
Position 2578: 4.808060175651632e-06
Position 431: 4.6314978334179e-06
Position 3009: 3.4841054489279357e-06
Position 3553: 2.98433019722118e-06
Position 540: 2.7231878364470436e-06
Position 3109: 2.6986865775410796e-06
Position 3088: 2.5390694088608357e-06
Position 3361: 2.088839656398649e-06
Position 2539: 1.8781733010353519e-06
Position 694: 1.479146144319933e-06
Position 411: 1.3468498695586565e-06
Position 170: 1.1790539017105207e-06
Position 302: 9.053271202171897e-07
Position 716: 7.241732629901972e-07
Position 2965: 4.924749501196532e-07
Position 2975: 4.4172614936443336e-07
Position 310: 3.7089474317468303e-07
Position 6: 3.655089032627377e-07
Position 2604: 2.1901152273461795e-07
Position 685: 1.0329893244383835e-07
Position 2586: 9.511500782812303e-08
Position 2901: 7.575819276322758e-08
Position 176: 4.682906129227823e-08
Position 2546: 2.4203426884386397e-08
Position 179: 2.3431039449507315e-08
Position 135: 1.6439517253601362e-08
Position 3534: 1.0589753244876492e-08
Position 305: 6.188993802024577e-09
Position 2571: 4.133595527149958e-09
Position 496: 1.3522814633525648e-09
Position 484: 1.0313622736550735e-09
Position 357: 1.3969177017952977e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2519: 0.9646881890430269
Position 2344: 0.9530709712537339
Position 3238: 0.6958915876816175
Position 2071: 0.6257462023662326
Position 2863: 0.42802185371098
Position 2077: 0.24697290858933862
Position 129: 0.2433931680697392
Position 2729: 0.08912742871541812
Position 3698: 0.08112973442493919
Position 115: 0.06390990004760728
Position 2100: 0.04161675791688244
Position 165: 0.02851377936856806
Position 3861: 0.025417565104598486
Position 2992: 0.02539403146297547
Position 636: 0.022224069491188995
Position 1783: 0.02162407011573143
Position 279: 0.021566985918383512
Position 1684: 0.0190463561771111
Position 2900: 0.018826246838165913
Position 3638: 0.01848035925864673
Position 1719: 0.01634362258603685
Position 2365: 0.014516486482439377
Position 319: 0.013885503484392145
Position 305: 0.012873781574203737
Position 104: 0.010471575752790377
Position 2156: 0.009435649827367165
Position 3163: 0.00847231784201598
Position 1452: 0.006588848063646448
Position 292: 0.005685254142915117
Position 2802: 0.005300264235071925
Position 3044: 0.005114011772923542
Position 578: 0.0048936717266354025
Position 3088: 0.004786902209499855
Position 2082: 0.004060909999000183
Position 2674: 0.0037931433153303084
Position 3650: 0.0037897417662177764
Position 2576: 0.0036221395237706574
Position 1761: 0.0031135077074172395
Position 2376: 0.0031008484229878793
Position 1024: 0.002989105661081824
