Gene = snRNP-U1-70K
index = 1883
Annotated 5SS: [149]
Annotated 3SS: [227]
SMsplice 5SS: [149]
SMsplice 3SS: [227]
top_k =  1000
Partition function (log Z): -6.310277212643549

Sorted 5' Splice Sites (High to Low Probability):
Position 149: 0.9903451685556948
Position 693: 0.2762297943292281
Position 2276: 0.209176163827751
Position 633: 0.13919593123697313
Position 1671: 0.08816763317108997
Position 2413: 0.08540464657629418
Position 768: 0.06779248819249818
Position 2032: 0.03299944705143669
Position 1896: 0.030025728056574236
Position 1837: 0.02663753704129912
Position 522: 0.02380203474901
Position 1644: 0.016622561853245548
Position 248: 0.011296960619223575
Position 2521: 0.007327434329633656
Position 2035: 0.0060047752991108545
Position 2016: 0.004748724368173957
Position 1614: 0.004261311719537401
Position 2474: 0.0030249623607647067
Position 2726: 0.0026733976695864996
Position 1763: 0.002355608108141653
Position 1168: 0.0022857386662200395
Position 2531: 0.0018299308702310624
Position 1233: 0.0017635760117358122
Position 2460: 0.0014577735743554888
Position 1943: 0.0014049491172371386
Position 1605: 0.00135967820171845
Position 2769: 0.0012730969310527675
Position 721: 0.0012701033441812164
Position 1371: 0.001258483363489602
Position 2645: 0.0011441002849253907
Position 1029: 0.0010832381471189844
Position 1835: 0.000892829162075218
Position 1618: 0.000890835544852695
Position 2760: 0.000855125870493366
Position 535: 0.0007250966784242988
Position 2816: 0.0006318087355121241
Position 1785: 0.0006090083033768377
Position 1867: 0.000570638462234177
Position 95: 0.000531703118868196
Position 2737: 0.0005223934679982849
Position 1455: 0.0005144891600810247
Position 2789: 0.00042437465932565184
Position 2744: 0.0003977064533685558
Position 1660: 0.0003523827423504192
Position 2554: 0.000349362677365926
Position 400: 0.00031691584033146595
Position 449: 0.0003084927404945072
Position 957: 0.00024330975854130476
Position 183: 0.0001582104528602881
Position 503: 0.00014037132721634015
Position 108: 0.00013180392267489406
Position 153: 0.00011364197850838106
Position 373: 6.923742709955294e-05
Position 2006: 6.679442139019082e-05
Position 1841: 5.9620647792150584e-05
Position 1609: 5.2811128225211366e-05
Position 1483: 3.8736762604270216e-05
Position 637: 3.5513842136350567e-05
