Gene = DCX-EMAP
index = 1122
Annotated 5SS: [ 1176 28115 35323 35992 36202 36491 36648 37111 37613 38099]
Annotated 3SS: [27919 35205 35602 36051 36318 36551 36711 37194 37701 38219]
SMsplice 5SS: [ 1176 35323 36202 36491 36648 37111 37613 38099]
SMsplice 3SS: [35205 35602 36318 36551 36711 37194 37701 38219]
top_k =  1000
Partition function (log Z): 30.873599095001367

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 0.9999703090546478
Position 36202: 0.9993712909317434
Position 37111: 0.9993294256810105
Position 36648: 0.9978578929761412
Position 38099: 0.9976704826601291
Position 36491: 0.9969493971926191
Position 35323: 0.945815074074925
Position 37613: 0.9102404266582129
Position 28115: 0.507860322731162
Position 35992: 0.48849251271822786
Position 27425: 0.09394692144887799
Position 37573: 0.0658645522344901
Position 27421: 0.03802447398868851
Position 38840: 0.02781566299388351
Position 35346: 0.017898216021236975
Position 37634: 0.015326010093021272
Position 37857: 0.012643329516079044
Position 38585: 0.011270411433176038
Position 38506: 0.010557922896483229
Position 35996: 0.010180638184909154
Position 38409: 0.006680527944567931
Position 35815: 0.006007213437481336
Position 35894: 0.005249123775270632
Position 38477: 0.00494901588350522
Position 35765: 0.003651094815423882
Position 37640: 0.003547471692192826
Position 38350: 0.0033976644183860674
Position 37324: 0.0029076722048294477
Position 37626: 0.002752571818525531
Position 38154: 0.002173936161203768
Position 39002: 0.001983972088130917
Position 38496: 0.0016707691529663368
Position 8184: 0.0012007145899457581
Position 37785: 0.0011219904528174385
Position 15721: 0.0009800461678787697
Position 38578: 0.0008981892906672482
Position 867: 0.000736704208545408
Position 37327: 0.0006887837733347602
Position 38767: 0.0005645962885003754
Position 37464: 0.000523221891114257
Position 36464: 0.00047672384753734155
Position 15236: 0.00044381848792390317
Position 38731: 0.00043330560844199035
Position 1527: 0.0003927639882846047
Position 8050: 0.0003672323768540027
Position 36199: 0.00034989435642452727
Position 31828: 0.00033702236369480607
Position 38420: 0.0003349577449369354
Position 38323: 0.0003238667525621684
Position 36447: 0.000282733264102588
Position 38352: 0.00027838887729929784
Position 38485: 0.00022845406556476348
Position 36652: 0.00022528580319769966
Position 37457: 0.00020504574719791986
Position 38805: 0.00019612464930570268
Position 37848: 0.00018705912942437698
Position 36898: 0.00016208428420955566
Position 37350: 0.00014262664480477283
Position 36459: 0.00013096562467879256
Position 38947: 0.00012654055650179952
Position 38573: 0.00011131405724447346
Position 38455: 0.00011057481360868914
Position 674: 9.595835353671145e-05
Position 36206: 8.70935169590011e-05
Position 38298: 8.690337965967019e-05
Position 36245: 6.659952314635324e-05
