Gene = HP4
index = 1205
Annotated 5SS: [393]
Annotated 3SS: [466]
SMsplice 5SS: [393]
SMsplice 3SS: [466]
top_k =  1000
Partition function (log Z): -4.101473956169612

Sorted 5' Splice Sites (High to Low Probability):
Position 393: 0.9654031845104653
Position 61: 0.12726796627959064
Position 397: 0.024638396785814413
Position 404: 0.004438134229217486
Position 47: 0.003852517044798185
Position 209: 0.0031802327761118747
Position 305: 0.002276899160556281
Position 224: 0.0014011128851965644
Position 585: 0.0004635369851434703
Position 197: 0.00043545116125073586
Position 613: 0.00034352685535346447
Position 11: 0.0001874121266585761
Position 576: 0.00018011661157575203
Position 4: 0.00016289373832527028
Position 23: 9.894318512972794e-05
Position 244: 3.683225286471122e-05
Position 217: 2.833191644569051e-05
Position 247: 2.042196818907804e-05
Position 202: 1.0880219913450142e-05
Position 486: 5.004220050204438e-06
Position 309: 4.42116646575462e-06
Position 185: 3.620262465516733e-06
Position 363: 2.3546712119121994e-06
Position 112: 2.242424252751981e-06
Position 277: 2.1189596231117666e-06
Position 591: 2.0621413092498073e-06
Position 329: 1.8469944466765064e-06
Position 350: 1.347641262643865e-06
Position 566: 1.0048425159240162e-06
Position 219: 6.078735966798101e-07
Position 167: 4.065698339732722e-07
Position 137: 2.836633507245094e-07
Position 311: 2.6488396397489273e-07
Position 470: 1.279244327587532e-07
Position 454: 4.95244126605102e-08
Position 267: 1.7778232128367132e-08
Position 507: 1.7411286351967274e-08
Position 504: 1.0215729880865026e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 466: 0.9979074150718178
Position 172: 0.09210422150743701
Position 121: 0.03437513057550953
Position 142: 0.004694478885941111
Position 289: 0.001976440564531295
Position 314: 0.0006334971955777303
Position 363: 0.000595833285817344
Position 470: 0.0005878926879924245
Position 680: 0.0005159919485668191
Position 650: 0.0003966257085153342
Position 504: 0.0003461068624322675
Position 521: 9.930144503031385e-05
Position 663: 9.644966696927897e-05
Position 295: 3.840533899398827e-05
Position 440: 3.2817238728561626e-05
Position 539: 1.8194158868772035e-05
Position 196: 1.6050283211005534e-05
Position 339: 6.117664004412561e-06
Position 610: 4.142698240905096e-06
Position 79: 1.6340659264088948e-06
Position 208: 1.3395390577688175e-06
Position 476: 1.3340790602083738e-06
Position 583: 9.085960993160178e-07
Position 523: 8.337365092347746e-07
Position 297: 7.533604589221183e-07
Position 244: 5.789838176864298e-07
Position 428: 5.338865245042867e-07
Position 566: 4.716559324253304e-07
Position 576: 3.321223342367383e-07
Position 60: 2.0384941522945517e-07
Position 217: 1.1703742629439355e-07
Position 396: 8.289725571292106e-08
Position 597: 7.90561912118858e-08
Position 483: 6.467032831951555e-08
Position 412: 4.852403896575251e-08
Position 190: 4.605236730718244e-08
Position 334: 3.6491764939070844e-08
Position 81: 3.62594538167827e-08
Position 202: 2.961111896030447e-08
Position 235: 1.0463834619504177e-08
Position 486: 1.0051481056175627e-08
Position 391: 8.201182192682921e-10
Position 56: 7.305478870570542e-10
Position 393: 3.312651985898922e-10
Position 343: 1.7576032873067048e-10
Position 183: 2.476874547804199e-11
