Gene = fln
index = 1701
Annotated 5SS: [  72  850 1072]
Annotated 3SS: [ 585  915 1133]
SMsplice 5SS: [369 850]
SMsplice 3SS: [585 915]
top_k =  1000
Partition function (log Z): -4.668226896379682

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9833945293412691
Position 369: 0.5162730093916136
Position 1072: 0.2985315139673366
Position 72: 0.16692485253738645
Position 1089: 0.09281714514372733
Position 534: 0.0759718577847808
Position 1248: 0.05864131321210896
Position 204: 0.0425584108954977
Position 244: 0.0364379929707083
Position 192: 0.018445650317195344
Position 398: 0.010681264331269891
Position 201: 0.01059467019131428
Position 1266: 0.007351752974831846
Position 457: 0.005781411285729372
Position 1095: 0.0036325866928698996
Position 132: 0.0035650234529592743
Position 767: 0.0030584252257072355
Position 305: 0.0028881840550739877
Position 66: 0.0027928061221930544
Position 471: 0.0026128942655979804
Position 1472: 0.00236101853719699
Position 481: 0.002184950958286311
Position 864: 0.0021664871181767673
Position 1319: 0.0021078017366335986
Position 1077: 0.0019575771106732486
Position 1574: 0.001839212697794175
Position 1334: 0.001450888463911657
Position 1492: 0.0011395882582540147
Position 1563: 0.0010052011106497104
Position 411: 0.0008857208966009424
Position 258: 0.0006056141089903707
Position 52: 0.0006044251978248979
Position 32: 0.0005459177853724766
Position 173: 0.000545063493529024
Position 421: 0.0005333022566070193
Position 1104: 0.0005025263022081338
Position 1519: 0.0004381460108807175
Position 1386: 0.000405825162021229
Position 889: 0.0003968926119790297
Position 845: 0.00036238333340959114
Position 19: 0.0003494950057038436
Position 974: 0.00030783744541454974
Position 869: 0.0002683791465916185
Position 465: 0.0002656598281216171
Position 159: 0.00026211085088935184
Position 879: 0.00022213612759055138
Position 435: 0.00021208986976745635
Position 884: 0.00020503649280023532
Position 1322: 0.00017763645132106066
Position 1378: 0.0001326422584110508
Position 1501: 0.00013072413884894027
Position 854: 0.00011314648941692734
Position 147: 9.515348774904824e-05
Position 1036: 8.746821746505616e-05
Position 509: 7.855382179725102e-05
Position 372: 6.741716662882547e-05
Position 810: 6.703527332667595e-05
Position 109: 4.518717229294041e-05
Position 1282: 4.2554497166682585e-05
Position 6: 4.000720247818072e-05
Position 1444: 3.6203235275942756e-05
Position 77: 2.9980534182454683e-05
Position 1363: 2.6393887794467637e-05
Position 1382: 2.6186304120940107e-05
Position 1296: 1.8524898554400347e-05
Position 401: 1.7907942136583907e-05
Position 824: 1.1913771349673893e-05
Position 330: 5.806069895913659e-06
Position 92: 4.248614032462816e-06
Position 542: 3.958278492612982e-06
Position 403: 3.6849358887094018e-06
Position 103: 2.8019215553470186e-06
Position 1047: 2.2976740821816075e-06
Position 943: 9.246088493098688e-07
Position 1110: 7.640923091264424e-07
Position 1107: 4.825007249878843e-07
Position 922: 3.558158724228747e-07
Position 693: 3.3911090322706356e-07
Position 289: 3.254332283679794e-07
Position 1049: 2.223733545899344e-07
Position 1152: 1.8936546679270274e-07
Position 722: 9.931409241132079e-08
Position 1093: 9.578008074144394e-08
Position 585: 9.94539546012569e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 915: 0.955537518766669
Position 585: 0.6559360935785897
