Gene = Syx8
index = 1536
Annotated 5SS: [617]
Annotated 3SS: [669]
SMsplice 5SS: [617]
SMsplice 3SS: [669]
top_k =  1000
Partition function (log Z): -5.831822948817458

Sorted 5' Splice Sites (High to Low Probability):
Position 617: 0.9418885827268794
Position 601: 0.04688992059594738
Position 621: 0.009031887275967895
Position 151: 0.002920263351934819
Position 544: 0.0012188016164382226
Position 375: 0.0011653374654019017
Position 195: 0.0008297055463184564
Position 265: 0.0005078463974193798
Position 797: 0.00032595776317863176
Position 449: 0.00011225331876175944
Position 747: 0.00010909686975575396
Position 14: 7.14361138692162e-05
Position 386: 6.831945717669953e-05
Position 849: 6.527536104431839e-05
Position 8: 4.3546911766520424e-05
Position 114: 3.16356944425445e-05
Position 852: 2.1647022572163137e-05
Position 268: 1.7737697066740653e-05
Position 819: 1.588885829431759e-05
Position 763: 1.0139469917340626e-05
Position 484: 6.708345270475328e-06
Position 715: 5.2514385956507015e-06
Position 35: 4.15967318147349e-06
Position 825: 3.842493309269249e-06
Position 666: 2.9111998811266683e-06
Position 886: 2.759039361628163e-06
Position 416: 1.6021727322605652e-06
Position 88: 9.384419960775088e-07
Position 783: 8.871986828228901e-07
Position 816: 6.861752719191921e-07
Position 199: 6.627759625148466e-07
Position 879: 6.413739072282182e-07
Position 703: 2.3767064009096883e-07
Position 801: 2.0486025906095946e-07
Position 813: 1.5594291667808952e-07
Position 561: 1.1057212482403152e-07
Position 894: 9.003155788171422e-08
Position 717: 6.844475906364702e-08
Position 400: 4.9061477317857506e-08
Position 38: 3.87405614338498e-08
Position 631: 1.2572267346815914e-08
Position 705: 1.4022536474911167e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 669: 0.9984211618488702
Position 429: 0.0030756414462732593
Position 746: 0.0013162307391115994
Position 215: 0.0011231081788613802
Position 849: 0.0003116207688778536
Position 435: 0.0002616518917648075
Position 905: 0.00020586771184835645
Position 65: 0.00010966052449701639
Position 354: 8.665163081053293e-05
Position 566: 8.179842301616774e-05
Position 722: 6.254700505292209e-05
Position 264: 5.6710543526238466e-05
Position 830: 5.60048434737784e-05
Position 501: 2.7239230090892233e-05
Position 792: 2.6516062831354674e-05
Position 935: 2.517667137872947e-05
Position 734: 1.8150282420976383e-05
Position 938: 1.2755660202509328e-05
Position 528: 1.0214879843633576e-05
Position 341: 9.929609952503581e-06
Position 588: 7.609938712618947e-06
Position 507: 7.0384040390052696e-06
Position 212: 6.12301961246503e-06
Position 763: 5.704635098383866e-06
Position 255: 5.218730891009241e-06
Position 455: 4.866075108578965e-06
Position 222: 4.637233880014079e-06
Position 489: 4.3291117700606915e-06
Position 232: 4.110080439450028e-06
Position 165: 3.9765163283432354e-06
Position 553: 3.5616731396832615e-06
Position 237: 3.5400401535349948e-06
Position 71: 2.522640156842539e-06
Position 448: 2.4094130467764813e-06
Position 74: 2.3256012322325504e-06
Position 389: 2.1666467487651396e-06
Position 525: 1.7244104412146797e-06
Position 570: 1.6720213351600052e-06
Position 386: 1.2617585106102987e-06
Position 171: 1.0651811089391406e-06
Position 631: 8.255813115347138e-07
Position 375: 4.410056900223671e-07
Position 294: 3.5426787869251464e-07
Position 498: 3.5347635334864635e-07
Position 246: 2.3800600827878742e-07
Position 174: 1.6010907635120194e-07
Position 312: 1.1702319437570312e-07
Position 513: 9.133041167328997e-08
Position 612: 8.831075387260784e-08
Position 195: 2.5501931901296184e-08
Position 144: 2.1556621800708554e-08
Position 114: 2.12580038741976e-08
Position 321: 1.8448287436330838e-08
Position 234: 1.7323096684768298e-08
Position 363: 6.9542798757808635e-09
Position 543: 6.522920210593024e-09
Position 600: 4.084179377197283e-09
Position 306: 2.869449448662363e-09
Position 120: 1.6009358210719802e-09
Position 372: 1.1356677775521839e-09
Position 535: 7.313673319362843e-10
Position 309: 4.804460806592502e-10
Position 185: 1.8031364160168978e-10
Position 76: 1.5951584320958414e-10
Position 606: 8.328137484501327e-11
Position 299: 5.568414773571129e-11
Position 191: 2.5235937065953984e-15
Position 129: 1.842617686232889e-15
