Gene = ChLD3
index = 1068
Annotated 5SS: [ 345 2455 3039]
Annotated 3SS: [1721 2515 3096]
SMsplice 5SS: [ 984 2455]
SMsplice 3SS: [1721 2515]
top_k =  1000
Partition function (log Z): -5.841346769690684

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.98445255374565
Position 984: 0.5684392520009431
Position 3039: 0.38905129721662984
Position 345: 0.36315265127271273
Position 3277: 0.22887162265696923
Position 999: 0.04669463323003044
Position 2796: 0.03731073745134542
Position 3377: 0.025747127194644254
Position 1027: 0.025660685324719313
Position 2708: 0.02422565647303102
Position 2616: 0.023316972897595597
Position 1613: 0.022168195630587462
Position 1881: 0.01997985279694715
Position 3453: 0.01912523358567578
Position 3005: 0.013590171890021147
Position 770: 0.012451302152254061
Position 2987: 0.011251385971102578
Position 1649: 0.010176688519025551
Position 766: 0.008252922418490304
Position 380: 0.007887410111226281
Position 3015: 0.006129005030764124
Position 1466: 0.00583086558006689
Position 3482: 0.005260504548547051
Position 491: 0.004968493916873402
Position 2315: 0.004726656948718649
Position 1664: 0.004478419369714765
Position 1928: 0.004249964081463616
Position 2924: 0.003986260019327359
Position 2724: 0.0035690545507384166
Position 1070: 0.0034344538469005086
Position 1430: 0.0033800179967211426
Position 338: 0.003016819090107618
Position 501: 0.0029292014366220816
Position 3435: 0.00240926077877102
Position 774: 0.0023790664864793737
Position 803: 0.0023345933377027844
Position 279: 0.0015853644438252464
Position 299: 0.0013758653795910094
Position 3250: 0.0013556532746130771
Position 2580: 0.0012316896385861052
Position 2125: 0.001220396598771281
Position 1040: 0.0011222176758038714
Position 1861: 0.0011122258349167335
Position 1633: 0.0010144791030651155
Position 1299: 0.0009839048163447282
Position 1340: 0.0006449066192451774
Position 2450: 0.0006199012763249745
Position 2870: 0.0005728110174057394
Position 2862: 0.0005600845885138736
Position 25: 0.0005258550822855976
Position 1357: 0.0005247144144504539
Position 887: 0.0005203562978685973
Position 1546: 0.0005055426983706986
Position 988: 0.00037604666311463525
Position 2678: 0.0003266971541658073
Position 2567: 0.0002947517573871865
