Gene = BHD
index = 43
Annotated 5SS: [1252 1444]
Annotated 3SS: [1340 1501]
SMsplice 5SS: [1252 1444]
SMsplice 3SS: [1340 1501]
top_k =  1000
Partition function (log Z): -3.955840264793366

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9784424163966521
Position 1444: 0.9524925825202861
Position 8: 0.08770828660809296
Position 373: 0.06539103791427235
Position 453: 0.019592597384717764
Position 817: 0.005533125666152243
Position 984: 0.0035585148997230643
Position 398: 0.0033337070807768813
Position 28: 0.0024244653463316064
Position 1003: 0.0024206319324785244
Position 960: 0.001783245610686014
Position 1560: 0.001098571939173892
Position 996: 0.0008923027410197788
Position 1032: 0.0006936968218579133
Position 1421: 0.0006311729733204705
Position 518: 0.0005405779156810017
Position 1448: 0.0002515185825840808
Position 643: 0.000199412785096624
Position 361: 0.00019133819544702514
Position 354: 0.00017291456852192128
Position 1115: 0.00016295356058586112
Position 1272: 0.00012353200520047537
Position 1024: 0.00012264230196879435
Position 309: 9.572738727153666e-05
Position 1217: 8.95022532560021e-05
Position 970: 7.528808333066596e-05
Position 993: 7.403942868950256e-05
Position 1215: 6.683169990690049e-05
Position 19: 6.0374750958732436e-05
Position 623: 5.185272406832782e-05
Position 327: 4.9736167187801776e-05
Position 427: 4.6594057267809955e-05
Position 1435: 3.9614513622536535e-05
Position 950: 3.526475526779681e-05
Position 567: 2.9823836595300867e-05
Position 1569: 2.6980674859528994e-05
Position 1221: 2.3096783171007176e-05
Position 936: 2.2431121127837882e-05
Position 780: 2.1203771547772344e-05
Position 339: 1.9028282723630533e-05
Position 856: 1.8389035609271428e-05
Position 404: 1.2843475775958392e-05
Position 136: 9.16548387230405e-06
Position 82: 7.301050694663312e-06
Position 1298: 6.186894260971496e-06
Position 102: 5.111987390692821e-06
Position 1162: 4.167447910798119e-06
Position 439: 3.425857856184933e-06
Position 1454: 3.4045838717156726e-06
Position 1355: 3.342802541399357e-06
Position 800: 3.220395421036329e-06
Position 402: 2.6636406135425378e-06
Position 820: 2.5958143859747636e-06
Position 931: 2.390697929985795e-06
Position 501: 2.1157194886676486e-06
Position 191: 1.9335230834457475e-06
Position 1200: 1.850271102430188e-06
Position 659: 1.2672329309851698e-06
Position 334: 1.2126833397944518e-06
Position 315: 1.2016823418016937e-06
