Gene = G6P
index = 1173
Annotated 5SS: [ 157  381  954 1123]
Annotated 3SS: [ 215  454 1003 1170]
SMsplice 5SS: [ 381  954 1123]
SMsplice 3SS: [ 454 1003 1170]
top_k =  1000
Partition function (log Z): 0.6044284567498015

Sorted 5' Splice Sites (High to Low Probability):
Position 954: 0.9911555874897049
Position 381: 0.9350172149590728
Position 1123: 0.8076350146091661
Position 157: 0.44121402465722603
Position 1333: 0.16848168857348675
Position 1322: 0.011034550628730594
Position 183: 0.0070991240880606005
Position 945: 0.004109447255582306
Position 385: 0.002666242726879619
Position 941: 0.0023316790629654962
Position 800: 0.001180658736866916
Position 1225: 0.0006013914738388015
Position 724: 0.0005900853135427532
Position 1307: 0.0003142130733804781
Position 720: 0.00030327899904237306
Position 302: 0.0003029681170875968
Position 1255: 0.00023423997743995075
Position 958: 0.00014284263797206598
Position 1277: 0.0001345477919281372
Position 1269: 0.00012312273891795398
Position 1264: 0.00010651148493207624
Position 1127: 0.00010384071821004173
Position 571: 7.961823035855621e-05
Position 1337: 7.427565183902582e-05
Position 1294: 6.476218639604869e-05
Position 695: 6.255234646472939e-05
Position 608: 4.3216929821437186e-05
Position 896: 3.253268195730135e-05
Position 1046: 3.131102399417587e-05
Position 299: 2.3234393777724527e-05
Position 253: 2.259102223584833e-05
Position 606: 1.8038094448645325e-05
Position 902: 1.776770393942987e-05
Position 1217: 1.5596268503188244e-05
Position 398: 1.217548245722286e-05
Position 717: 9.944518396962823e-06
Position 1015: 9.265149228442244e-06
Position 825: 7.983052274683657e-06
Position 784: 6.924373513257332e-06
Position 909: 6.802062127767162e-06
Position 1067: 6.4632316744802115e-06
Position 516: 5.447668741926559e-06
Position 758: 5.2289402154560645e-06
Position 42: 4.890518510149641e-06
Position 510: 4.862043068502659e-06
Position 962: 4.336506591117888e-06
Position 1229: 4.270345279326039e-06
Position 311: 3.991144764809536e-06
Position 221: 3.462494601858755e-06
Position 830: 2.7102223698630894e-06
Position 83: 2.6434055536876214e-06
Position 639: 2.277164502807795e-06
Position 482: 2.022672364078331e-06
Position 103: 1.844749984110213e-06
Position 513: 1.7425876636220545e-06
Position 612: 1.4332704555693253e-06
Position 276: 1.1731750489027077e-06
Position 544: 9.195798784455951e-07
Position 736: 6.073332787997094e-07
Position 497: 5.594575823051976e-07
Position 1050: 5.03620288821475e-07
Position 325: 4.885771204775278e-07
Position 76: 4.610806130459445e-07
Position 479: 4.3387222843813e-07
Position 770: 2.0415587976971147e-07
Position 861: 1.7067183840863628e-07
Position 1017: 1.1052659744909974e-07
Position 900: 7.266154107764593e-08
Position 629: 6.070435851941904e-08
Position 850: 5.449254525815623e-08
Position 665: 4.915121854635258e-08
Position 531: 1.3733328301947868e-08
Position 728: 1.171826860348204e-08
Position 1038: 3.699673915013606e-09
Position 472: 6.698068147800173e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1003: 0.9610865463992486
Position 454: 0.9116562369276066
Position 1170: 0.7487311212817208
Position 215: 0.3755360115225078
Position 1381: 0.24193795726507966
Position 251: 0.061068214723031505
Position 1022: 0.019048746785759654
Position 497: 0.013297206590589365
Position 1071: 0.011996731079913666
Position 521: 0.005437821104613801
Position 311: 0.005264413086343844
Position 221: 0.005129435740729991
Position 867: 0.004192780849139809
Position 1322: 0.0016437016360204794
Position 770: 0.0013935059057042652
Position 551: 0.0013560840490697132
Position 1046: 0.0009628950556537597
Position 799: 0.0009180958213815091
Position 315: 0.0007505316824514152
Position 1264: 0.0006368382345288423
Position 1388: 0.0006073872530412816
Position 1261: 0.0005353575398306835
Position 1354: 0.0004925995278583404
Position 818: 0.0004843338380370474
Position 356: 0.00044653659327920434
Position 492: 0.00036689744717591444
Position 1359: 8.282048902686063e-05
Position 230: 5.82258392465107e-05
Position 1225: 5.454271148963407e-05
Position 544: 4.8291187811528864e-05
Position 1120: 3.7398151834369144e-05
Position 900: 3.3185179075659705e-05
Position 830: 2.5810096519790097e-05
Position 1073: 2.5369248875446548e-05
Position 467: 2.2370600945883578e-05
Position 914: 2.054911551321685e-05
Position 1418: 1.9400723681865617e-05
Position 885: 1.8046009837082666e-05
Position 1302: 1.7635935539955475e-05
Position 784: 1.6951879740272557e-05
Position 1333: 1.3636695610576228e-05
Position 264: 4.429343747696496e-06
Position 388: 2.7468797007452462e-06
Position 556: 1.5985010943085842e-06
Position 1361: 9.447871297198385e-07
Position 1217: 9.218206790151807e-07
Position 736: 5.013160086401495e-07
Position 494: 3.5460351753053433e-07
Position 385: 3.2663374414919674e-07
Position 1294: 2.1894959031892633e-07
Position 190: 7.893460292055083e-08
Position 200: 3.2379253388404774e-08
Position 151: 1.5476972432356786e-08
Position 198: 6.52473859711525e-11
Position 563: 2.777774312999051e-11
Position 127: 3.2880464978696152e-12
Position 393: 2.9400938457302076e-12
Position 398: 1.8710223100070304e-14
