Gene = Strip
index = 1528
Annotated 5SS: [ 173 4172 5962]
Annotated 3SS: [3269 4234 6028]
SMsplice 5SS: [ 173 4172]
SMsplice 3SS: [3269 4234]
top_k =  1000
Partition function (log Z): -6.253472021494957

Sorted 5' Splice Sites (High to Low Probability):
Position 4172: 0.9340660626939449
Position 173: 0.9329216605499507
Position 5962: 0.39938710077847434
Position 4509: 0.35390862783563
Position 2985: 0.04974874557526344
Position 6385: 0.03978844921759132
Position 240: 0.03371507056100608
Position 211: 0.027881124011660176
Position 4053: 0.025594836840529482
Position 2932: 0.02383886230407103
Position 2715: 0.020365265597248355
Position 5152: 0.013109556062157598
Position 1045: 0.012431086427828591
Position 2138: 0.011293849472629593
Position 2960: 0.010267493576790158
Position 6404: 0.010265752862100469
Position 5346: 0.010038736742872157
Position 5463: 0.009534231213420848
Position 5369: 0.008821419557594945
Position 4473: 0.006451486947310649
Position 4950: 0.006061704917396919
Position 4749: 0.0055264087133841434
Position 5096: 0.005490243393230509
Position 1605: 0.004452498918975119
Position 251: 0.003728877055064706
Position 6392: 0.0036460349153625885
Position 6007: 0.0035834677420626105
Position 6076: 0.003543116720875329
Position 1723: 0.003223378349276377
Position 6082: 0.0032126805629863627
Position 1991: 0.00315636182152704
Position 6481: 0.0029633148790651977
Position 6252: 0.0027642742505104255
Position 4565: 0.0023011039333767406
Position 4930: 0.00226597993224978
Position 1126: 0.0020228972859472004
Position 4649: 0.001918049025729228
Position 2558: 0.0018370325772393058
Position 1028: 0.001756867994148756
Position 5839: 0.0017516038554767196
Position 2151: 0.0017111283550380633
Position 4306: 0.0016092051909539636
Position 1784: 0.0010998730708495705
Position 6408: 0.0010490969260359415
Position 3483: 0.0010408720161044225
Position 5402: 0.0009463315522732519
Position 3320: 0.0008486927360619052
Position 299: 0.000823088991574251
Position 2744: 0.0006561861171106261
Position 2774: 0.0005888650917495019
Position 1034: 0.0005874113070136057
Position 2264: 0.0005158237066284308
Position 579: 0.0005138959777983299
Position 2606: 0.0004473407592917526
Position 2147: 0.0004419802313466557
Position 5770: 0.0004086272535148016
Position 4367: 0.00038754274965903244
Position 5542: 0.00035949249117677996
Position 2957: 0.0003296856599515441
Position 2376: 0.00026828919112220585
Position 3057: 0.00025662726312087485
Position 6608: 0.00021822411460446642
Position 4751: 0.00021005505917005
Position 5843: 0.00017499461116445014
Position 4754: 0.00015330265140858288
Position 1870: 0.00013296769518504107
Position 4579: 9.214191071118535e-05
