Gene = dsx-c73A
index = 1679
Annotated 5SS: [ 1812 25192 25382 27791]
Annotated 3SS: [25042 25302 27639 27858]
SMsplice 5SS: [  450  1812 25192 25382 27791]
SMsplice 3SS: [ 1580 25042 25256 27639 27858]
top_k =  1000
Partition function (log Z): 2.6913232187065104

Sorted 5' Splice Sites (High to Low Probability):
Position 27791: 0.9998133563047532
Position 1812: 0.9908405626205782
Position 25192: 0.9524975826466593
Position 25382: 0.92113958100932
Position 18024: 0.501312218054212
Position 450: 0.444868000067091
Position 13055: 0.2736591985943163
Position 25813: 0.1877657502654162
Position 147: 0.16867037595347406
Position 228: 0.1622114681925388
Position 13499: 0.15183680483814047
Position 28026: 0.1314786088627009
Position 13297: 0.12788134646214233
Position 1308: 0.08672477888394917
Position 17932: 0.049686622549108814
Position 18043: 0.048025823611675234
Position 25722: 0.042089551325280944
Position 26017: 0.025881654187679327
Position 206: 0.0178646233715623
Position 26400: 0.016521037843263253
Position 5742: 0.015041377526278502
Position 28702: 0.014808801474891284
Position 114: 0.014006198236794727
Position 108: 0.013363612263677556
Position 6448: 0.012910986368027863
Position 27980: 0.012737803171885588
Position 523: 0.01141226884937655
Position 577: 0.011072960214794682
Position 110: 0.009778107163501252
Position 6753: 0.00936413787475962
Position 28718: 0.00918863588322834
Position 6010: 0.008833814287355446
Position 26631: 0.008368716777610835
Position 27926: 0.006699941818735455
Position 25991: 0.005869061544071942
Position 1291: 0.005593644702542958
Position 28147: 0.004584858314088756
Position 7946: 0.004518920693623807
Position 25981: 0.00430021298623339
Position 28740: 0.00398282913827896
Position 28730: 0.00384174352577286
Position 6454: 0.0036954422196875925
Position 13397: 0.003547482789357968
Position 14625: 0.003478040125526872
Position 2121: 0.0029134398952414854
Position 5544: 0.0027791345191909545
Position 27948: 0.002638768039857787
Position 399: 0.0025256629754707876
Position 28014: 0.002482743789050892
Position 13800: 0.002179528935333147
Position 13848: 0.0021447369459888076
Position 28180: 0.0020607104937492935
Position 6604: 0.0019223511621532768
Position 996: 0.0017129238273026082
Position 118: 0.0016962978684526508
Position 6001: 0.0016335372086551168
Position 28735: 0.0015999708707277439
Position 5103: 0.0014872140676872054
Position 25640: 0.0014609772996113956
Position 126: 0.0014088696383131633
Position 736: 0.0012708639048651252
Position 2692: 0.0011424947442117293
Position 395: 0.001141530404097941
Position 348: 0.0011222137731755923
Position 13610: 0.0011034940170669943
Position 7591: 0.0010828685341091279
Position 10221: 0.001059165215148361
Position 1480: 0.0009948670341303565
Position 13240: 0.0009431117499332717
Position 28707: 0.0009239834700766116
Position 28144: 0.0008572532312351045
Position 6971: 0.0008340669319220176
Position 21: 0.0008039773826838167
Position 5167: 0.0007873810428608561
Position 454: 0.0007705630868606655
Position 28182: 0.0006413296383284127
Position 1458: 0.0006251623203844988
Position 28723: 0.0005639705231925775
Position 141: 0.0005226660107227003
Position 739: 0.00045648459142602144
Position 6007: 0.0004057517967106106
Position 3860: 0.00039362891416088233
Position 17937: 0.000382329302670328
Position 6425: 0.00037725831496559565
Position 4107: 0.000361289565552455
Position 973: 0.0003476592777940046
Position 6433: 0.0003439819254184631
Position 1063: 0.00033855430210605596
Position 1195: 0.0003036869282745694
Position 561: 0.0002896849203630645
Position 2492: 0.00027321307527575136
Position 28151: 0.00026324650006204697
Position 353: 0.00020884213311892755
Position 27795: 0.00018280347408132646
Position 28157: 0.00018178296368386398
Position 28066: 0.00017496448963555685
Position 28526: 0.0001692754926624032
Position 286: 0.0001675884507548375
Position 1477: 0.00016046677917782556
Position 173: 0.00015255612264339453
Position 4552: 0.00014737971150801543
Position 28713: 0.00012121979190811532
Position 1562: 0.00011458072175354951
Position 28943: 0.00011196523702894816
Position 5595: 0.00010351263160900932
Position 742: 8.463029279336707e-05
Position 358: 8.071645819846755e-05
Position 1327: 8.064035982325534e-05
Position 4388: 7.857929985868536e-05
Position 11: 7.634266994456626e-05
Position 1266: 6.874049210100552e-05
Position 1297: 6.84710483924153e-05
Position 28: 6.55247984899307e-05
Position 4411: 6.532013897023409e-05
Position 1957: 5.172922069454348e-05
Position 6437: 4.4376318645000356e-05
Position 124: 4.260802274398756e-05
Position 112: 4.005440323582291e-05
Position 219: 3.6847604670326215e-05
Position 151: 3.3986634400615126e-05
Position 2366: 3.390405216378474e-05
Position 1312: 3.331574486426193e-05
Position 599: 3.1778266661725646e-05
Position 436: 2.810215154695552e-05
Position 6346: 2.5396890050510387e-05
Position 13844: 2.2821368460198256e-05
Position 1496: 2.1492387231754176e-05
Position 2341: 2.092373213023615e-05
Position 1303: 2.0263509588150857e-05
Position 1107: 1.8998277522850786e-05
Position 4432: 1.7608063427323447e-05
Position 28601: 1.6711157946319347e-05
Position 3478: 1.4387020434094315e-05
Position 5122: 1.2415583005864768e-05
Position 7042: 1.2017257573882857e-05
Position 4348: 8.355882946516535e-06
Position 1704: 7.868460864456894e-06
Position 2508: 6.60718493685127e-06
