Gene = Ostgamma
index = 1350
Annotated 5SS: [ 210 1046 1287]
Annotated 3SS: [ 318 1123 1351]
SMsplice 5SS: [ 210 1046 1287]
SMsplice 3SS: [ 318 1123 1351]
top_k =  1000
Partition function (log Z): 1.2029450952381473

Sorted 5' Splice Sites (High to Low Probability):
Position 1046: 0.9967243096719057
Position 1287: 0.9431935918660044
Position 210: 0.7702656686642898
Position 817: 0.09328941375452689
Position 411: 0.012582122207404794
Position 162: 0.006002839668867518
Position 214: 0.0014942235447112275
Position 66: 0.0011870786725106702
Position 491: 0.0007405968975050205
Position 1274: 0.0007242999019130484
Position 824: 0.0005812337461684083
Position 237: 0.0003931249634622413
Position 577: 0.00033678386325683863
Position 601: 0.00030848554370094147
Position 1248: 0.00030827945824773425
Position 1057: 0.00030469461512779424
Position 75: 0.0002624720610068079
Position 154: 0.0002535840897315742
Position 1064: 0.00024232505544435735
Position 1291: 0.00023445719452302538
Position 402: 0.0002329357064121841
Position 91: 0.000209415893966373
Position 1211: 0.00018088135952628594
Position 415: 0.00016463600501211622
Position 448: 0.0001584400628241863
Position 808: 0.0001350364711201922
Position 1015: 9.344773557391202e-05
Position 1259: 9.106752506344262e-05
Position 1018: 6.821366874512946e-05
Position 94: 6.535247073898445e-05
Position 343: 6.293608476247634e-05
Position 170: 5.971359306655937e-05
Position 301: 5.7644733821031805e-05
Position 1050: 4.1690687058966315e-05
Position 226: 3.9424502217502774e-05
Position 1216: 2.9925966556942494e-05
Position 1038: 2.991272756404422e-05
Position 1252: 2.4978688314340065e-05
Position 1033: 2.2053973175239867e-05
Position 102: 2.1822541969311774e-05
Position 510: 1.9505916845787144e-05
Position 1228: 1.7159437805562494e-05
Position 422: 1.3802722468020634e-05
Position 7: 1.2416547695619171e-05
Position 1076: 9.983087854083664e-06
Position 520: 7.009901087976407e-06
Position 697: 6.8243403473421056e-06
Position 290: 4.533468141400008e-06
Position 974: 4.371491408081838e-06
Position 165: 4.314484919520744e-06
Position 730: 4.267562734781492e-06
Position 1230: 3.8192652869015426e-06
Position 861: 3.573479850595219e-06
Position 920: 3.0794831272531364e-06
Position 1245: 2.462190897253645e-06
Position 85: 2.3954305956226557e-06
Position 790: 2.2579720678189905e-06
Position 218: 2.064703827244416e-06
Position 892: 1.7441135393090443e-06
Position 634: 1.636778277288257e-06
Position 355: 1.6205562406734546e-06
Position 927: 1.469186709137722e-06
Position 876: 1.3949595746978407e-06
Position 881: 1.3209558110965042e-06
Position 767: 9.326356381083766e-07
Position 963: 9.197867041601203e-07
Position 1358: 7.119589546886749e-07
Position 333: 5.674932770641726e-07
Position 955: 5.059493943372341e-07
Position 1351: 4.690302745832414e-07
Position 1329: 3.599592262462778e-07
Position 636: 3.1617749143089616e-07
Position 1081: 1.216159451415873e-07
Position 855: 1.1438045729840289e-07
Position 1135: 2.9351522525831056e-08
Position 979: 2.7928521386107873e-08
Position 941: 1.6220253215294826e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1123: 0.9996264308568873
Position 1351: 0.9356660752392315
Position 318: 0.740302763841969
Position 892: 0.11640654455388573
Position 262: 0.014353030492130216
Position 1367: 0.0073691321683912805
Position 870: 0.0029202123821865807
Position 1005: 0.0021247060634044606
Position 657: 0.001797092351664658
Position 266: 0.001447935546510564
Position 121: 0.0014236713495153178
Position 343: 0.0013746045339879534
Position 486: 0.0013543948959763071
Position 476: 0.0010360354825084915
Position 1419: 0.0010345615734582234
Position 494: 0.0009705054136335662
Position 402: 0.0005329438088311274
Position 1329: 0.0004062301931548601
Position 1379: 0.0002831788971936512
Position 963: 0.0002516596910319564
Position 286: 0.00014377252181176572
Position 375: 8.749933245066777e-05
Position 1176: 8.178947459427268e-05
Position 1390: 7.094888443289563e-05
Position 249: 4.9803823114355095e-05
Position 274: 4.20221631058043e-05
Position 663: 3.891030431352021e-05
Position 1266: 3.690097647362663e-05
Position 1272: 3.40082180697915e-05
Position 824: 1.2392597500117865e-05
Position 209: 1.0508058189343162e-05
Position 1193: 1.0507218224455112e-05
Position 1432: 8.069897595758718e-06
Position 600: 7.5804395975072786e-06
Position 669: 7.045968256472951e-06
Position 189: 6.519128404890028e-06
Position 420: 4.1862092542755175e-06
Position 1011: 3.907646608627032e-06
Position 1188: 3.692919118687254e-06
Position 1286: 2.956671977861199e-06
Position 1309: 2.8104248244625635e-06
Position 140: 2.2858487772441018e-06
Position 151: 2.1839962596299586e-06
Position 276: 1.416224984902177e-06
Position 855: 1.226456472764211e-06
Position 1396: 1.0181981983258066e-06
Position 411: 5.673539198659659e-07
Position 510: 2.1969090344447246e-07
Position 165: 2.1950875283250783e-07
Position 1076: 1.5546092485893522e-07
Position 94: 1.330902342595208e-07
Position 91: 1.1739596496277706e-07
Position 1291: 1.0058063909000103e-07
Position 127: 2.7454334089185574e-08
Position 1064: 4.208525523110499e-09
Position 1436: 2.3334397624396455e-09
Position 673: 1.2739660177230156e-10
Position 98: 7.403781658010623e-13
Position 422: 2.449369990193177e-16
