Gene = Uvrag
index = 1590
Annotated 5SS: [ 537 1465 1851 2314]
Annotated 3SS: [ 596 1527 1902 2398]
SMsplice 5SS: [ 537 1465 1851 2314]
SMsplice 3SS: [ 596 1527 1902 2398]
top_k =  1000
Partition function (log Z): 3.2310669126709217

Sorted 5' Splice Sites (High to Low Probability):
Position 537: 0.974109362209075
Position 1465: 0.9709797041687995
Position 1851: 0.9129739217915152
Position 2314: 0.7213055945495391
Position 2270: 0.2549848385718548
Position 1705: 0.06769644524827799
Position 42: 0.06634587947757878
Position 1836: 0.007188025941898468
Position 2274: 0.006940254823567865
Position 2268: 0.003894127266388042
Position 508: 0.0032941088256768693
Position 1033: 0.002921591569863841
Position 460: 0.0014058556183926733
Position 813: 0.0014025259269453106
Position 1881: 0.0013542405463511775
Position 871: 0.0006914362573189392
Position 1788: 0.0003197507298417147
Position 444: 0.00030348069631268494
Position 1830: 0.00023744118603034935
Position 905: 0.00019721785834652563
Position 2302: 0.00019561656625249787
Position 2008: 0.0001761092408610282
Position 448: 0.00014696823601098396
Position 36: 0.00014658973629696063
Position 2667: 0.00012063739220780496
Position 2605: 0.00011769604737260915
Position 393: 0.000104473666344074
Position 1690: 9.357606533464301e-05
Position 1746: 8.138379106068164e-05
Position 724: 7.577133032652402e-05
Position 2621: 7.39694119702701e-05
Position 407: 7.20166384114638e-05
Position 1948: 7.010248747059387e-05
Position 2642: 6.983453451059015e-05
Position 1588: 6.246641051835893e-05
Position 189: 5.5525221553599856e-05
Position 4: 5.4426550631039974e-05
Position 1658: 5.387529178971759e-05
Position 2649: 4.999355892372592e-05
Position 2152: 4.63573271156834e-05
Position 1067: 4.44901168614756e-05
Position 90: 4.313517616405802e-05
Position 658: 4.230888953124577e-05
Position 1709: 4.1933678394064794e-05
Position 64: 4.139641521894275e-05
Position 2090: 3.42708248376256e-05
Position 1738: 3.33556441024721e-05
Position 1019: 2.7918580203296645e-05
Position 2654: 2.601858675477576e-05
Position 1721: 2.5969953726982953e-05
Position 1781: 2.413956062142815e-05
Position 645: 2.3318667314552702e-05
Position 1595: 2.1755587598257602e-05
Position 1497: 1.8785241277655547e-05
Position 1060: 1.7478935015863093e-05
Position 705: 1.5112944000400089e-05
Position 2530: 1.443093880611636e-05
Position 930: 1.4265085963699746e-05
Position 57: 1.336855113030315e-05
Position 1813: 1.3352479859572088e-05
Position 2597: 1.2710648184646656e-05
Position 529: 1.2122343000059799e-05
Position 1165: 1.1553279859399917e-05
Position 1607: 1.0002579353387984e-05
Position 2222: 7.725000839112252e-06
Position 878: 6.9918680222295605e-06
Position 276: 5.976843359830771e-06
Position 2616: 5.647203011827408e-06
Position 2127: 4.970844313882243e-06
Position 1394: 4.914835884918005e-06
Position 1912: 4.148432363720633e-06
Position 2189: 4.117449422630284e-06
Position 304: 3.7426640087211457e-06
Position 1167: 3.69545459130471e-06
Position 2114: 3.692322017511757e-06
Position 881: 3.154608725478192e-06
Position 2713: 2.9910757315234674e-06
Position 2532: 2.8194130897550126e-06
Position 2231: 1.8059717614143362e-06
Position 2412: 1.7235432938804485e-06
Position 129: 1.6644865477156496e-06
Position 93: 1.5149752663270597e-06
Position 1137: 1.4954017831024748e-06
Position 2695: 1.4746528892706462e-06
Position 981: 1.4186743263109696e-06
Position 2204: 1.2578101920763477e-06
Position 446: 1.2234023120103617e-06
Position 2660: 1.220377993114884e-06
Position 989: 1.2055546855312351e-06
Position 2574: 1.084644364867987e-06
Position 70: 1.068730199094574e-06
Position 1891: 9.348288608483244e-07
Position 1069: 8.109138105321622e-07
Position 1976: 7.839267425985035e-07
Position 155: 6.622342743958826e-07
Position 1987: 5.710432891311416e-07
Position 1653: 5.341555575880005e-07
Position 1528: 5.328914645599652e-07
Position 2441: 5.313128411932844e-07
Position 875: 4.0853677186938325e-07
Position 377: 3.649228421822941e-07
Position 348: 3.5720550223850685e-07
Position 452: 3.236907005425191e-07
Position 462: 3.083820639077609e-07
Position 101: 2.3448724925578153e-07
Position 2546: 2.2765270694759995e-07
Position 1058: 1.8910397750292345e-07
Position 684: 1.7888453676356665e-07
Position 2417: 1.7026418493238912e-07
Position 759: 1.4040399886692177e-07
Position 454: 1.3003073340291835e-07
Position 2698: 1.1561639695496178e-07
Position 2170: 8.025271407999549e-08
Position 258: 6.091204749772098e-08
Position 2670: 3.807628509837937e-08
Position 1250: 9.713402060003384e-09
Position 99: 8.97518222168091e-09
Position 887: 5.684847961226252e-09
Position 1113: 4.475244464291876e-09
Position 1933: 4.245052241430192e-10
Position 606: 1.3700430300419156e-10
Position 2384: 3.12779490359896e-11
Position 1552: 9.502032303642438e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2398: 0.9941258136127069
Position 1527: 0.9748879708025546
Position 1902: 0.8865030059616024
Position 596: 0.70802115966916
Position 599: 0.2651281591158782
Position 1939: 0.07898747010379509
Position 93: 0.03208677568815754
Position 99: 0.027824866482821575
Position 1972: 0.013140434695000484
Position 139: 0.006018277922425952
Position 1775: 0.0011854222384598445
Position 564: 0.0011703040028492816
Position 1984: 0.0010887489217126425
Position 1323: 0.000749034586314953
Position 1137: 0.0006069630936499094
Position 2082: 0.000599223748460156
Position 620: 0.0005920302462041744
Position 924: 0.0005487721079249452
Position 2427: 0.000517640764307982
Position 1743: 0.0004957444950227562
Position 2114: 0.0004677019846673662
Position 875: 0.0004500357800680501
Position 1221: 0.0004100574774149026
Position 1750: 0.00035070062995409763
Position 2338: 0.00029942503214422497
Position 1076: 0.00026586997684177355
Position 650: 0.00025887041821437114
Position 813: 0.0002500823125140813
Position 1808: 0.00023345598740776808
Position 2695: 0.00023176554719707564
Position 1270: 0.00022927020972401878
Position 1011: 0.00022162981375969948
Position 1948: 0.00021713275963123366
Position 2544: 0.0001860680028698455
Position 617: 0.00018308619590431794
Position 1638: 0.00017267407347048335
Position 2748: 0.00015948662631372207
Position 705: 0.00015175478275790625
Position 1095: 0.00013847024339822635
Position 1705: 0.00012963705708459694
Position 881: 0.00012856961438730677
Position 606: 0.00012474213754375834
Position 1326: 0.00010920906773253557
Position 1218: 0.00010824939369159168
Position 1584: 9.72703723370328e-05
Position 236: 8.397521934320725e-05
