Gene = Cpr64Ab
index = 1095
Annotated 5SS: [83]
Annotated 3SS: [191]
SMsplice 5SS: [83]
SMsplice 3SS: [191]
top_k =  1000
Partition function (log Z): -1.81053879566964

Sorted 5' Splice Sites (High to Low Probability):
Position 83: 0.988818460251989
Position 112: 0.009895511730042
Position 282: 0.0014710522508233998
Position 507: 0.0011845230681357764
Position 360: 0.0009824872583551285
Position 258: 0.0006042369861049702
Position 145: 0.0004912073047789462
Position 143: 0.00046485071680452686
Position 299: 0.00033746448245849773
Position 87: 0.0002546228080297995
Position 489: 0.00021681292697561162
Position 573: 0.00012805995982356964
Position 102: 0.00012592413735879187
Position 412: 0.00011925662030663726
Position 516: 8.276343733382286e-05
Position 396: 6.720201394908444e-05
Position 468: 4.9565949312156307e-05
Position 264: 4.8997227934400804e-05
Position 454: 3.089512028042295e-05
Position 483: 2.938782036207607e-05
Position 399: 2.0986910107887533e-05
Position 465: 1.2765703159520667e-05
Position 375: 9.563716541002571e-06
Position 230: 7.840944628530138e-06
Position 378: 7.454894249181854e-06
Position 318: 4.406465828364095e-06
Position 305: 4.321980424185739e-06
Position 3: 4.026980161205636e-06
Position 65: 2.449158132376766e-06
Position 426: 1.7676808030940731e-06
Position 252: 7.784978121207557e-07
Position 599: 4.55851367679102e-07
Position 17: 1.751940380323176e-07
Position 611: 1.111788697386248e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 191: 0.9977249762399738
Position 611: 0.003074593072629022
Position 343: 0.0012313555671812422
Position 323: 0.001118826529162148
Position 131: 0.0006381314845390508
Position 555: 0.0006155820995995455
Position 246: 0.0002482004415118229
Position 473: 0.0001647133599082742
Position 299: 0.00016465483820101535
Position 654: 0.00014083428910941322
Position 581: 9.569053702851584e-05
Position 258: 9.379088806849332e-05
Position 623: 9.099281168427997e-05
Position 143: 3.9553756724785975e-05
Position 359: 1.2753222135468402e-05
Position 347: 8.436860610384438e-06
Position 627: 6.611768930610058e-06
Position 264: 3.23231734030631e-06
Position 56: 3.186507179587754e-06
Position 230: 2.534414256646498e-06
Position 516: 8.022976081386898e-07
Position 281: 3.6795509656689355e-07
Position 383: 1.5996091726091932e-07
Position 65: 1.581323003107842e-07
Position 356: 1.4338428766434172e-07
Position 349: 7.073208335035499e-08
Position 353: 2.6828258591390668e-08
Position 483: 6.693194788814742e-09
Position 82: 2.2267039188402828e-10
Position 107: 1.3217953818820867e-11
Position 87: 1.2186240856877449e-12
Position 372: 3.862869737858569e-13
Position 477: 2.456966840486389e-13
Position 92: 2.1422684907320157e-14
