Gene = saturn
index = 1864
Annotated 5SS: [330]
Annotated 3SS: [388]
SMsplice 5SS: [330]
SMsplice 3SS: [388]
top_k =  1000
Partition function (log Z): -4.367100018686292

Sorted 5' Splice Sites (High to Low Probability):
Position 330: 0.987258788683658
Position 522: 0.3218372633679759
Position 150: 0.31186551611302993
Position 32: 0.07003114023428988
Position 479: 0.033457928472283106
Position 47: 0.02050951262637628
Position 550: 0.004158374970561704
Position 258: 0.0027613612047122584
Position 231: 0.0018669765032486023
Position 719: 0.0010965694192734737
Position 132: 0.00041492603002592514
Position 99: 0.00026054028096251174
Position 190: 0.00022774662922934522
Position 704: 0.00015565038386441317
Position 297: 0.00014421552077248544
Position 840: 9.583943406649003e-05
Position 430: 7.910544085580115e-05
Position 707: 7.646804446648848e-05
Position 51: 5.861300308851488e-05
Position 334: 5.4613627950297006e-05
Position 194: 5.372434843817197e-05
Position 164: 5.2032998541812224e-05
Position 434: 5.1068954426576434e-05
Position 124: 4.9821132258716047e-05
Position 815: 4.4207534015836615e-05
Position 644: 3.785929290727997e-05
Position 58: 3.42725508755566e-05
Position 671: 2.550330463225167e-05
Position 847: 1.729819007669828e-05
Position 425: 1.618631172923696e-05
Position 282: 1.3751336901949739e-05
Position 113: 1.1444220940997772e-05
Position 353: 5.515169005718867e-06
Position 627: 5.18608322163223e-06
Position 423: 3.200603982119248e-06
Position 218: 1.9019035837192046e-06
Position 389: 1.7458125973290307e-06
Position 358: 9.770850321984658e-07
Position 273: 3.487646131121739e-07
Position 821: 9.970068315247463e-08
Position 377: 2.2857522438259617e-09
Position 397: 8.646894029307968e-10
Position 409: 5.457969284626313e-10
Position 382: 9.149091573421278e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 388: 0.9877405209886821
Position 207: 0.3179166007373064
Position 578: 0.18070075582818543
Position 611: 0.18027704593656196
Position 81: 0.0678159343375959
Position 103: 0.006791143315910897
Position 128: 0.0031719610581564276
Position 99: 0.0028576200990272425
Position 961: 0.0019464388803447032
Position 307: 0.0015940687331315222
Position 85: 0.0012486213011567288
Position 680: 0.0009635778671852626
Position 548: 0.0007090253404765796
Position 932: 0.000435874775271249
Position 627: 0.0004180771135822451
Position 587: 0.0004164297629329055
Position 737: 0.000399060898596839
Position 782: 0.0003063749023551613
Position 803: 0.00022934510646555707
Position 831: 0.00017613180391089605
Position 796: 0.00016543081018904944
Position 241: 0.00011140046205272617
Position 638: 0.00010840292459719131
Position 717: 9.409004239176867e-05
Position 155: 6.317813610643412e-05
Position 898: 3.966195899554968e-05
Position 653: 2.4760412534361957e-05
Position 707: 2.384815297629248e-05
Position 644: 1.7308916115363475e-05
Position 519: 1.606848605506564e-05
Position 442: 1.489948510285212e-05
Position 742: 8.707177395584506e-06
Position 430: 8.01781297971569e-06
Position 490: 6.580268958271022e-06
Position 132: 4.971409625562487e-06
Position 650: 2.6223663467442194e-06
Position 500: 2.5889285874413295e-06
Position 698: 2.5364889139617764e-06
Position 550: 2.024446389355132e-06
Position 375: 1.393937942467943e-06
Position 522: 1.165852798235716e-06
Position 340: 8.745674074727657e-07
Position 758: 7.616052492815871e-07
Position 409: 4.4495844199523305e-07
Position 464: 3.450407895993067e-07
Position 403: 3.220157732825888e-07
Position 364: 9.464557555773015e-08
Position 886: 8.845796504825493e-08
Position 361: 6.319792744626599e-08
Position 334: 2.110306106306117e-08
Position 358: 1.1167601718871044e-08
Position 461: 3.762623973699105e-09
Position 417: 1.2905776402302291e-09
