Gene = Aatf
index = 5
Annotated 5SS: [1450]
Annotated 3SS: [1511]
SMsplice 5SS: [1450]
SMsplice 3SS: [1511]
top_k =  1000
Partition function (log Z): -4.77272825956887

Sorted 5' Splice Sites (High to Low Probability):
Position 1450: 0.9920011256482587
Position 686: 0.12169255318848439
Position 39: 0.029643670556534444
Position 501: 0.021570441241198588
Position 1618: 0.012241322675616347
Position 1084: 0.00784139152137502
Position 232: 0.005809113670260072
Position 1464: 0.004003302022039516
Position 1018: 0.0039603681917517826
Position 1060: 0.0038463214707325907
Position 967: 0.0034805490119111304
Position 36: 0.0027767555584437245
Position 621: 0.002655790553861282
Position 1454: 0.0024874304259267454
Position 492: 0.0020594302467520234
Position 868: 0.002021049289012235
Position 131: 0.0018372050683408902
Position 1605: 0.0017785565868131473
Position 48: 0.0011943400667226366
Position 374: 0.0011215367561751707
Position 1095: 0.0010708265582763678
Position 872: 0.0007548829246872855
Position 562: 0.0005587380303379415
Position 971: 0.0004359136182930809
Position 1584: 0.000399848448312845
Position 300: 0.00032268596443116104
Position 1638: 0.00030896351974427007
Position 1593: 0.0002636984435818933
Position 541: 0.0002538723750275087
Position 278: 0.00023865020641701727
Position 1002: 0.0002294785424381553
Position 8: 0.00017951143966069873
Position 1415: 0.00015878528634546933
Position 1023: 0.00015126538207976774
Position 1590: 0.00014971095768301316
Position 691: 0.0001463577994310408
Position 793: 0.0001395171593490823
Position 376: 0.0001130816314664182
Position 1010: 7.537332631652264e-05
Position 1073: 7.023671451412523e-05
Position 1078: 5.075638409257915e-05
Position 430: 4.5885102693303634e-05
Position 84: 3.5799184648024295e-05
Position 931: 3.143378441897273e-05
Position 337: 2.7986806831508782e-05
Position 212: 2.2166364326536138e-05
Position 1676: 1.4912985547021595e-05
Position 1028: 1.3726109904620534e-05
Position 30: 1.2337463756875747e-05
Position 1609: 8.237156141952892e-06
Position 762: 7.188331898529866e-06
Position 894: 5.650452521480734e-06
Position 1559: 5.09327727181187e-06
Position 1372: 3.1642521116530852e-06
Position 207: 2.420770745038913e-06
Position 1327: 6.815467325702002e-07
Position 97: 4.3740320871338526e-07
Position 1210: 1.0305374698917954e-07
Position 119: 4.74675113676731e-08
Position 1376: 4.373520541656977e-08
Position 1202: 4.2572141887006756e-08
Position 1667: 2.3236058648638097e-08
Position 327: 1.5336924626118634e-08
Position 55: 6.040525379945334e-09
Position 734: 1.8953660770479067e-09
Position 191: 1.0253932383057524e-09
Position 1124: 5.396848313327429e-10
Position 1135: 1.1336290560161672e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1511: 0.9994636344420716
Position 745: 0.12353529102984816
Position 1144: 0.032269718164264063
Position 84: 0.01682778554332845
Position 1694: 0.010311003827063634
Position 81: 0.007448921896199179
Position 1309: 0.006646707900148904
Position 1306: 0.006327173531480602
Position 931: 0.004512057830444277
Position 1708: 0.0028273092363350068
Position 1036: 0.0027644251224997122
Position 109: 0.0017183216925734397
Position 1084: 0.0014501345333243789
Position 725: 0.0011947430932104618
Position 427: 0.0010685376062223952
Position 115: 0.0009993304300303966
Position 1744: 0.0009202403165734012
Position 793: 0.0008917624144327515
Position 1264: 0.0008493494701271138
Position 1705: 0.0006961035207402267
Position 103: 0.0006251735554647417
Position 935: 0.0005950974577840025
Position 1168: 0.0005719262621012592
Position 577: 0.0004642963674447859
Position 200: 0.0004623143671795246
Position 1648: 0.00039754260154501207
Position 1147: 0.000366182171934077
Position 298: 0.00035805356710935714
Position 1290: 0.0002903956545409768
Position 777: 0.00028690962840873836
Position 710: 0.00027256127274119
Position 1135: 0.00023283362301931254
Position 1073: 0.00021604452746654316
Position 801: 0.0001988480756573417
Position 1118: 0.00019646835192837944
Position 1176: 0.00019457327083871278
Position 562: 0.00016218658241962043
Position 580: 0.00015150594060614562
Position 97: 0.00014110138724233746
Position 541: 0.00013179154715476835
Position 527: 0.0001248209458239998
Position 1372: 0.00012217544895604007
Position 913: 0.00010079771627792046
Position 1225: 9.062717937780516e-05
Position 160: 7.764797457419627e-05
Position 772: 7.543544799752604e-05
Position 946: 7.467797964995061e-05
Position 130: 6.15278256517252e-05
Position 967: 5.5930459112832456e-05
