Gene = Aps
index = 24
Annotated 5SS: [ 388 1146 2345 2655]
Annotated 3SS: [ 678 2245 2498 2713]
SMsplice 5SS: [1146 2345 2655]
SMsplice 3SS: [2245 2498 2713]
top_k =  1000
Partition function (log Z): 1.6353206176896302

Sorted 5' Splice Sites (High to Low Probability):
Position 2655: 0.9992464558949131
Position 2345: 0.9931970440634167
Position 1146: 0.7270634783522881
Position 2164: 0.4931275709782256
Position 2189: 0.08826199768709816
Position 400: 0.07216992163456949
Position 272: 0.059515220896849505
Position 2043: 0.05872387243707753
Position 524: 0.055694338100564476
Position 3029: 0.05303157706381545
Position 73: 0.04622416054505604
Position 388: 0.04574885282058561
Position 472: 0.03476708629241301
Position 1503: 0.03017895862302467
Position 1226: 0.026228133835944765
Position 1441: 0.021777319517009244
Position 768: 0.021326497088205127
Position 83: 0.020952436027899157
Position 27: 0.012066586350045462
Position 1210: 0.011078753648255495
Position 1499: 0.009419996849067419
Position 3385: 0.005357281771838427
Position 3252: 0.004179915918075978
Position 42: 0.00393594467805157
Position 369: 0.0037642243611312894
Position 1760: 0.0036906606585492266
Position 3402: 0.002123414462874418
Position 1342: 0.0020407481075615406
Position 1615: 0.0019428603565417942
Position 2407: 0.0018961888612632869
Position 1206: 0.0015289905327382097
Position 527: 0.0015216143580921786
Position 1238: 0.0014804549106936773
Position 264: 0.0014175648903704651
Position 801: 0.0013597350654578288
Position 615: 0.001257535200003639
Position 3306: 0.0010572570828910862
Position 1411: 0.0007999209506587171
Position 2924: 0.0007007990549057499
Position 1170: 0.0006911525786950877
Position 600: 0.0006805428328320095
Position 110: 0.0006527959454569704
Position 763: 0.0006331415899106074
Position 2815: 0.0006275363182888608
Position 1808: 0.0006209362004371235
Position 783: 0.0006151914422702527
Position 1463: 0.0006053497564571418
Position 2373: 0.0005509028333976169
Position 761: 0.0004947030348299565
Position 841: 0.00047978704253327927
Position 1979: 0.00040250588462185976
Position 1696: 0.0003892118219036044
Position 87: 0.0003742926760429394
Position 2776: 0.0003417361777865956
Position 1250: 0.0003132879495619365
Position 3895: 0.00030137719437756057
Position 123: 0.00029107379184957895
Position 1940: 0.0002818991122779647
Position 81: 0.00027839549265574266
Position 3162: 0.0002698377084910743
Position 1903: 0.0002591767862410146
Position 756: 0.00025570199833985653
Position 197: 0.00023915710645458656
Position 2799: 0.00023769879904219263
Position 1452: 0.00023532652707245396
Position 3166: 0.00023331994691005553
Position 574: 0.00022311837942956222
Position 314: 0.00022095271357962625
Position 2812: 0.00021517019351763127
Position 2445: 0.00021369256992726985
Position 3978: 0.00020242291022339384
Position 1093: 0.00018284277517707206
Position 2349: 0.00016243590058465855
Position 3975: 0.00015704613709730474
Position 132: 0.00014540862478004115
Position 266: 0.00014349265492670589
Position 3227: 0.0001382998466532815
Position 2659: 0.00013673917259618597
Position 2644: 0.00011898972310878007
Position 1445: 0.00011446862558777489
Position 1213: 9.171564980326766e-05
Position 597: 9.147862122519048e-05
Position 2921: 8.787864819818634e-05
Position 1642: 8.446447267439502e-05
Position 1408: 7.269937792783093e-05
Position 621: 7.248767563543166e-05
Position 238: 5.8340108213470866e-05
Position 274: 5.5541523593606476e-05
Position 3221: 5.544578987211681e-05
Position 3567: 5.2700364827339386e-05
Position 788: 4.5541168991884895e-05
Position 1537: 4.411755122020096e-05
Position 1435: 4.013387380530785e-05
Position 785: 3.801600661014746e-05
Position 2646: 3.775914477091679e-05
Position 2313: 3.74860767902211e-05
Position 11: 2.9700386490508654e-05
Position 3215: 2.9454308436706595e-05
Position 1332: 2.5699304770563444e-05
Position 4068: 2.4323089149182537e-05
Position 2063: 2.3357150639042845e-05
Position 545: 2.206223902823763e-05
Position 1543: 2.08114325024023e-05
Position 470: 2.0064474027444772e-05
Position 1577: 2.0045723900544724e-05
Position 276: 1.9992217194215305e-05
Position 805: 1.929381525209786e-05
Position 2619: 1.6362581237788284e-05
Position 829: 1.633807117447837e-05
Position 583: 1.5434005874091396e-05
Position 167: 1.5131348876491992e-05
Position 1856: 1.4643055796453077e-05
Position 689: 1.1852969303740978e-05
Position 1458: 1.1571534529861598e-05
Position 2499: 1.1568889297801682e-05
Position 175: 9.208130412865881e-06
Position 2947: 8.62608583059566e-06
Position 3884: 8.579364363410595e-06
Position 94: 7.490644867191426e-06
Position 199: 6.2281603518790895e-06
Position 162: 5.6968655508019075e-06
Position 2616: 4.855580738753754e-06
Position 3148: 4.6832780937712e-06
Position 873: 4.418471523293507e-06
Position 2321: 3.552792639037166e-06
Position 2367: 2.41238978286397e-06
Position 2383: 2.237079083967111e-06
Position 1312: 1.6718262632736258e-06
Position 836: 1.245588578034445e-06
Position 1489: 1.1265482389237265e-06
Position 1531: 1.0731289146390574e-06
Position 1370: 6.90267529897355e-07
Position 1324: 6.753764488906905e-07
Position 170: 6.684862017599564e-07
Position 678: 5.641809719678114e-07
Position 2508: 3.114358635566665e-07
Position 2756: 2.6811330663615987e-07
Position 2632: 1.686098372057684e-07
Position 3: 1.5929807724178377e-07
Position 3235: 1.4905785296978383e-07
Position 2743: 1.2929811424491014e-07
Position 2741: 9.093838936045126e-08
Position 2668: 5.4770343537052955e-08
Position 2580: 3.6529723253586356e-08
Position 2635: 2.8868494834311273e-08
Position 2589: 2.1903339658161097e-08
Position 2747: 2.026320967126826e-08
Position 2675: 8.610561481875741e-09
Position 2598: 7.536515948582373e-09
Position 2638: 4.1300597576868226e-10
Position 1259: 1.6365957492740187e-10
Position 2573: 3.274389070325254e-12
Position 2531: 3.7385862641505857e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2713: 0.9858815507196119
Position 2498: 0.9596452723473409
Position 2245: 0.9516287571985482
Position 1028: 0.3255603761798882
Position 1572: 0.2479113112660271
Position 1860: 0.058040787523588495
Position 1635: 0.04985908257508249
Position 1594: 0.04636226346844841
Position 1751: 0.03826914444701237
Position 1897: 0.03313694441447116
Position 1884: 0.03227579822834802
Position 2454: 0.023301977805379407
Position 3988: 0.020196014719730475
Position 1393: 0.017981672133413177
Position 3289: 0.015814288337903326
Position 2406: 0.010292080293151628
Position 1435: 0.009222476805286407
Position 4035: 0.008997411366267782
Position 191: 0.008407299286540897
Position 3548: 0.0067896828159259215
Position 1315: 0.00546505252352475
Position 3704: 0.005086620187841592
Position 1696: 0.004743907098974262
Position 2547: 0.004310561280974685
Position 3832: 0.0041435554876491695
Position 1462: 0.003908034125395522
Position 1600: 0.0035894666687611844
Position 3140: 0.003588593158203315
Position 3252: 0.0034635290011052447
Position 678: 0.003334218040508441
Position 1705: 0.0027915119387440695
Position 1903: 0.0025739510223896397
Position 3598: 0.0023525729755026073
Position 1673: 0.002289195013071573
Position 1543: 0.002107877403963013
Position 194: 0.0019339457256907179
Position 1342: 0.0018828267858533678
Position 3204: 0.001739598178081225
Position 1199: 0.001658789818472659
Position 228: 0.001547622932781622
Position 3864: 0.0014989469576454173
Position 1529: 0.0014327770176184964
Position 1370: 0.0013589598190937692
Position 3221: 0.0013444045202423444
Position 1373: 0.0012712845592166692
Position 2550: 0.0012394612929140588
Position 1642: 0.001108475849964047
Position 4241: 0.0010767692032150732
Position 2842: 0.0007642312506998515
Position 2177: 0.0007230588571339693
Position 2112: 0.0007095934597417027
Position 4148: 0.000644698035025398
Position 3496: 0.0006139679453820014
Position 2092: 0.0005416232797311786
Position 2042: 0.0005275861935746384
Position 3574: 0.00045042776316683305
Position 3423: 0.00044626191364329973
Position 4177: 0.00043889976843058053
Position 4039: 0.00042105075667229526
Position 2764: 0.0004033930464399292
Position 1213: 0.0003777476730527977
Position 851: 0.0003700667529623925
Position 2432: 0.0003460113834135236
Position 3144: 0.00027984560824204557
Position 3514: 0.00027609587413727685
Position 3912: 0.00027537973898752045
Position 3473: 0.0002715416207344556
Position 4077: 0.0002664175900479773
Position 1531: 0.0002150422512555909
