Gene = Shab
index = 1499
Annotated 5SS: [ 1771  2413 28907 30460 46608 52997 53876 57091 60830 61089 61420]
Annotated 3SS: [ 2226 28538 29057 45763 52784 53461 56976 59667 60894 61148 62313]
SMsplice 5SS: [   43 28907 30460 46608 52997 53876 57091 60830 61089 61420]
SMsplice 3SS: [28538 29057 45763 52859 53461 56976 59667 60894 61148 62313]
top_k =  1000
Partition function (log Z): -60.65258885486651

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.41396617592420043
Position 268: 0.37694413479729993
Position 154: 0.20896499559310625
Position 12716: 9.772374648473962e-05
Position 871: 9.413725152051403e-05
Position 3223: 7.96541768523338e-05
Position 13173: 5.052910999299391e-05
Position 12961: 4.991283495378536e-05
Position 1081: 1.5599748363659156e-05
Position 166: 3.6438124083030543e-06
Position 270: 3.0897958424243656e-06
Position 2413: 2.02948792742444e-06
Position 78: 2.003985273669245e-06
Position 272: 1.4650478210367048e-06
Position 623: 1.1369452663127118e-06
Position 502: 2.0822889993945103e-07
Position 146: 1.9960595849147417e-07
Position 2294: 1.8647038812325344e-07
Position 81: 1.8100659117636724e-07
Position 1771: 1.6463794714914018e-07
Position 1970: 1.5909166294286871e-07
Position 1611: 1.2488221292373553e-07
Position 1112: 9.863083305075676e-08
Position 276: 9.030788435491564e-08
Position 347: 5.7832597459133176e-08
Position 95: 4.8597470216774954e-08
Position 1827: 3.491117762205998e-08
Position 1775: 1.1058113854303665e-08
Position 1573: 6.907764168245527e-09
Position 12072: 5.977061298646627e-09
Position 14023: 2.5403645989476843e-09
Position 711: 2.295495461794711e-09
Position 1413: 1.8520709045142405e-09
Position 287: 1.4262233202490841e-09
Position 982: 1.4019423095718163e-09
Position 274: 1.0639148500836395e-09
Position 1378: 1.0367812621655394e-09
Position 1370: 9.878585592822446e-10
Position 444: 9.456300983050798e-10
Position 881: 8.721866841393951e-10
Position 308: 8.062859893613562e-10
Position 47: 7.40291815965501e-10
Position 875: 5.675036255400444e-10
Position 994: 4.896507946349291e-10
Position 524: 4.5596598182930683e-10
Position 794: 3.7463682846652275e-10
Position 3286: 1.6408411326396676e-10
Position 11103: 1.186771366674053e-10
Position 349: 1.164459992708519e-10
Position 170: 7.501575030880731e-11
Position 186: 7.37986236445021e-11
Position 150: 5.37426926816079e-11
Position 9473: 4.446411668449058e-11
Position 3017: 1.572346933190307e-11
Position 7517: 8.168176775711636e-12
Position 5260: 1.225846937601661e-12
Position 6094: 8.878748491568651e-13
Position 7566: 6.380457307281166e-13
Position 2200: 5.378163464813658e-13
Position 3565: 5.113273593665613e-13
Position 3039: 4.3077654237816844e-13
Position 2289: 4.2720185108799923e-13
Position 5311: 3.344631171969534e-13
Position 4672: 2.8373822089699973e-13
Position 4353: 2.713476005065932e-13
Position 2012: 2.0352183297872243e-13
Position 2195: 1.8860960282877457e-13
Position 2165: 1.1568830829568055e-13
Position 3313: 7.825760452389393e-14
Position 2417: 7.320181613312872e-14
Position 3796: 6.467718668428888e-14
Position 3552: 6.27343952441785e-14
Position 2112: 3.4319645661552267e-14
Position 2163: 3.399521451976803e-14
Position 1895: 2.286767528841117e-14
Position 3305: 1.1030905547807193e-14
Position 2037: 7.396108844172978e-15
Position 1727: 6.970004462298305e-15
Position 722: 5.921970220309498e-15
Position 748: 5.76882719085262e-15
Position 757: 5.068007342797903e-15
Position 693: 3.95910658065064e-15
Position 123: 3.7271633427593966e-15
Position 887: 3.323214453943164e-15
Position 1513: 2.8918892588018827e-15
Position 1463: 2.713122629066397e-15
Position 899: 2.6980371969853713e-15
Position 467: 2.6566218446435278e-15
Position 429: 2.6456725587594004e-15
Position 38: 2.268542850234812e-15
Position 404: 2.1290755857017548e-15
Position 3208: 1.4830454745399499e-15
