Gene = Cdk5alpha
index = 1063
Annotated 5SS: [ 413 1585 2144 2409]
Annotated 3SS: [ 646 2005 2202 2480]
SMsplice 5SS: [ 413 1585 2144 2409]
SMsplice 3SS: [ 646 2005 2202 2480]
top_k =  1000
Partition function (log Z): -6.213858563462255

Sorted 5' Splice Sites (High to Low Probability):
Position 2409: 0.8990499953664168
Position 413: 0.8230048554254619
Position 1585: 0.8053385442815995
Position 2144: 0.4882266865516844
Position 1403: 0.11288191579848561
Position 884: 0.05248036256942861
Position 394: 0.03411884779105772
Position 526: 0.021414764089735312
Position 1623: 0.010402022969361432
Position 865: 0.009837727696951718
Position 241: 0.006686600125576325
Position 1607: 0.005848491144495083
Position 1363: 0.004671626716110515
Position 169: 0.0035633857260836486
Position 1825: 0.0035631561917809176
Position 429: 0.0025081276639020494
Position 188: 0.0023405104955863502
Position 299: 0.0018445034738669552
Position 150: 0.0013935586929443421
Position 479: 0.0013362722050142566
Position 2149: 0.0009772573288632182
Position 134: 0.000883169878366461
Position 2315: 0.000721898442284159
Position 1444: 0.000660376385920753
Position 2319: 0.0006262890967150471
Position 444: 0.0005820585130957602
Position 289: 0.0004413256921447845
Position 81: 0.0004135267717764361
Position 234: 0.00038415366731002373
Position 1394: 0.00035661643968266753
Position 75: 0.00033230676280110395
Position 600: 0.00021493859387094024
Position 2334: 0.00021032090385138266
Position 543: 0.00020814897660635204
Position 481: 0.00019300009875871017
Position 2703: 0.00017885365368846412
Position 2708: 0.00016541369257520546
Position 837: 0.00014785477589640423
Position 10: 0.0001407957498717267
Position 2425: 0.00013630592814143448
Position 1594: 0.00013612791986276424
Position 1137: 9.550069431377083e-05
Position 661: 9.190114231564718e-05
Position 2397: 8.043032135295763e-05
Position 274: 5.246058665475326e-05
Position 881: 4.3406812588146114e-05
Position 186: 3.8774675077455855e-05
Position 297: 3.610691609956907e-05
Position 1837: 3.603914961515314e-05
Position 2325: 3.091589633394977e-05
Position 1589: 2.729713984703746e-05
Position 2377: 2.6678375754981835e-05
Position 2263: 1.722635659045508e-05
Position 2554: 1.70006535539973e-05
Position 1101: 1.6693015675758527e-05
Position 663: 1.668032575343876e-05
Position 1384: 7.0057529749020365e-06
Position 220: 5.08126315269341e-06
Position 64: 4.944599150802208e-06
Position 1035: 4.449275282969874e-06
Position 207: 4.047236361432389e-06
Position 313: 3.4320872115269528e-06
Position 56: 3.385830712232506e-06
Position 251: 3.2598868951797488e-06
Position 612: 3.1699074904448077e-06
Position 470: 3.0630288212498844e-06
Position 888: 1.5400778323629872e-06
Position 898: 1.1480007485308468e-06
Position 1012: 8.287142518318997e-07
Position 985: 3.896180010353347e-07
Position 1182: 3.2309801475505986e-07
Position 702: 6.750527958790333e-08
Position 606: 4.7569574419376665e-08
Position 2507: 2.326150736771746e-09
Position 1188: 2.08366766449038e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2480: 0.9067024162630701
Position 646: 0.8462019546057636
Position 2202: 0.3977029412915433
Position 2005: 0.3628875523675764
Position 1973: 0.27094992257428746
Position 2062: 0.09634129976196414
Position 2224: 0.0756936097720426
Position 2251: 0.05450379453576479
Position 1479: 0.03420717396628971
Position 1649: 0.030908715357177357
Position 1772: 0.026091826785125203
Position 1953: 0.022212135611945873
Position 1938: 0.01767008719660673
Position 1900: 0.013281001508119016
Position 804: 0.012803522122487
Position 2554: 0.009941583926367343
Position 1425: 0.0088405281433032
Position 915: 0.008103367228217553
Position 1874: 0.00784372939443059
Position 589: 0.006706447872115214
Position 1508: 0.006082920300753351
Position 1296: 0.006068222333186918
Position 1837: 0.0057973849201372225
Position 465: 0.005459380392639765
Position 1669: 0.004601461430276598
Position 1700: 0.004376476079780114
Position 1494: 0.0037267715119404074
Position 1413: 0.0034569659171822566
Position 2029: 0.0034303243955249433
Position 1924: 0.00329728821629738
Position 292: 0.003136879985844495
Position 2383: 0.0030818156490933124
Position 526: 0.002850269511187966
Position 708: 0.0026470365112842855
Position 1455: 0.0022892951218807574
Position 1167: 0.0022478030096678312
Position 1542: 0.00214943281303544
Position 1928: 0.0021459154939751663
Position 927: 0.0020761557367119394
Position 1842: 0.0018577895025139483
Position 1748: 0.0014500236229609438
Position 969: 0.0012690702032039645
Position 2614: 0.0012504361006948227
Position 1862: 0.0010273854415852534
Position 772: 0.0010056074937845156
Position 1684: 0.0009710491779952519
Position 2502: 0.0008480224356488556
Position 1560: 0.0008202973881873167
Position 1619: 0.0007754201800565291
Position 1488: 0.0007076336934021178
Position 1113: 0.0006426639613041732
Position 1443: 0.0006317139795838121
Position 310: 0.0005883721578034868
Position 1727: 0.0005817893805081288
Position 1020: 0.0005617470100174053
Position 1224: 0.0004871752001141361
Position 2788: 0.0004312935183712031
Position 2183: 0.00038631995537127784
Position 1089: 0.00037156855144366045
Position 1092: 0.0003594186311025001
Position 2106: 0.0003054168007290329
Position 1889: 0.00024663192645733606
Position 2135: 0.0002291272727378154
Position 2740: 0.00020884530594227307
Position 2298: 0.00020500924053304327
Position 2143: 0.00019115738833260434
Position 1302: 0.00018622808832518186
Position 2507: 0.00014695045200460925
Position 1260: 0.0001181993981598062
Position 377: 0.00010969258950593839
Position 234: 0.00010488786439156748
Position 2408: 9.663712124006392e-05
Position 612: 9.60141636313675e-05
Position 2793: 9.534633874831953e-05
Position 1209: 9.228340796190308e-05
Position 203: 8.801316527535112e-05
Position 2676: 8.476994949879673e-05
Position 1634: 7.96662093848788e-05
Position 182: 7.263751861458257e-05
Position 444: 7.14439994498997e-05
Position 1368: 6.493080692879641e-05
Position 1116: 6.340136425590918e-05
Position 536: 6.006716144849156e-05
Position 1044: 5.296570673744441e-05
Position 1314: 4.7867344261396416e-05
Position 1173: 4.691161156495555e-05
Position 1518: 4.671539417813417e-05
Position 2111: 4.28875096874492e-05
Position 450: 4.080724228135831e-05
Position 1362: 4.049262932452583e-05
Position 470: 3.220938081734757e-05
Position 1432: 3.0866882781067083e-05
Position 758: 2.388494865402291e-05
Position 1119: 2.335228414052533e-05
Position 68: 2.2894979286599946e-05
Position 1320: 2.2803614121005448e-05
Position 1308: 2.182941191768595e-05
Position 1350: 1.924156604255935e-05
Position 1257: 1.7047401866778537e-05
Position 2064: 1.5628034667678986e-05
Position 861: 1.5411218204057726e-05
Position 1527: 1.5341647776337844e-05
Position 1029: 1.4212740922702515e-05
Position 801: 1.3818452032523182e-05
Position 1056: 1.3688661254163024e-05
Position 834: 1.3648343385415406e-05
Position 297: 1.1943054159791525e-05
Position 1356: 1.018485644401899e-05
Position 240: 1.0060561344578304e-05
Position 876: 9.60965931498248e-06
Position 819: 9.306563196884876e-06
Position 217: 8.717663255694366e-06
Position 1137: 8.57999819307024e-06
Position 1380: 6.021932362881819e-06
Position 1272: 4.778177037236113e-06
Position 1344: 4.424759608110752e-06
Position 251: 4.053481009099964e-06
Position 1053: 2.8277975787074023e-06
Position 1131: 2.8013181402699277e-06
Position 543: 1.8787680161093233e-06
Position 598: 1.861883600534455e-06
Position 114: 1.6440223149554014e-06
Position 750: 1.4213637270623106e-06
Position 134: 1.1832365990359735e-06
Position 828: 6.323474702337745e-07
Position 75: 5.552587770265884e-07
Position 347: 2.8848274207389123e-07
Position 1125: 2.2169828579695438e-07
Position 81: 2.0471092019058793e-07
Position 1005: 1.5538701279405178e-07
Position 128: 1.0625338411171144e-07
Position 335: 9.938132122479498e-08
Position 1572: 8.643285027116437e-08
Position 1326: 7.387507458444794e-08
Position 412: 6.438780633029516e-08
Position 1584: 5.933248493249024e-08
Position 1332: 3.1831659305632156e-08
Position 394: 2.1781844050765582e-08
Position 837: 1.5862593699936586e-09
Position 530: 3.1028351310631255e-10
Position 668: 2.769357741434342e-10
Position 105: 1.1858021408868183e-16
