Gene = SuUR
index = 1532
Annotated 5SS: [ 732 1039 1284]
Annotated 3SS: [ 838 1104 1369]
SMsplice 5SS: [ 732 1039 1284]
SMsplice 3SS: [ 838 1104 1369]
top_k =  1000
Partition function (log Z): 1.532909598195658

Sorted 5' Splice Sites (High to Low Probability):
Position 732: 0.9770560542743628
Position 1284: 0.8726610238887396
Position 1006: 0.5065380124661003
Position 1039: 0.4885452007739113
Position 2140: 0.1366840157047667
Position 1288: 0.05501055487580777
Position 3283: 0.03867270204546213
Position 305: 0.017724745798668198
Position 1223: 0.017665402668970504
Position 1689: 0.013049730036533449
Position 2061: 0.011791048978334705
Position 776: 0.010806971734211796
Position 21: 0.010071330435392633
Position 581: 0.009912588986158731
Position 68: 0.0087423166685314
Position 292: 0.007985311329600592
Position 2076: 0.00533685421614138
Position 707: 0.004817209093911853
Position 1714: 0.003947226647390383
Position 1216: 0.0034641174490902997
Position 1460: 0.0017920216148125808
Position 1503: 0.0015019856366484312
Position 3804: 0.0014767821442198763
Position 725: 0.0014627881231943584
Position 179: 0.0014220527879975212
Position 60: 0.0014218032155808847
Position 2889: 0.0013714341309367518
Position 1333: 0.0011180446832972585
Position 1275: 0.0010692755348592905
Position 1580: 0.0010235172617266742
Position 709: 0.0009107256106501557
Position 934: 0.0008928112073714221
Position 2919: 0.0008653474552985638
Position 345: 0.0007617558919694452
Position 1306: 0.0007520185817873112
Position 320: 0.0007427523422478865
Position 1012: 0.0007249059473199709
Position 1662: 0.0006604256686345034
Position 590: 0.0006188501638710217
Position 1938: 0.0006088807172506825
Position 1722: 0.0005718225012915265
Position 14: 0.0005700748538924995
Position 222: 0.0005296490581169789
Position 437: 0.00046408568626534656
Position 669: 0.00043860579152131605
Position 266: 0.0004381461071521612
Position 2209: 0.00039152498409170355
Position 918: 0.00037864947226706286
Position 12: 0.0003568718870948652
Position 309: 0.00033208395485142937
Position 3751: 0.00032027238769635324
Position 770: 0.00027138657373541224
Position 1314: 0.00025765016354710636
Position 3197: 0.0002533253070765557
Position 2431: 0.0002483430750011272
Position 3429: 0.00022443812275735006
Position 3548: 0.00020138485038137313
Position 1894: 0.00015924875277904208
Position 1137: 0.00011595565144180859
Position 2589: 9.735975617572134e-05
Position 1735: 7.940575224781341e-05
Position 509: 7.248985089897598e-05
Position 1505: 6.36896556050026e-05
Position 225: 5.9919797849020825e-05
Position 7: 5.4860518730949796e-05
Position 3821: 5.156415567272864e-05
Position 2723: 4.671230541032806e-05
Position 1640: 3.069827000150796e-05
Position 635: 2.6903954468920997e-05
Position 1033: 2.5639557146814594e-05
Position 481: 2.5388222253268573e-05
Position 1027: 2.480290702917559e-05
Position 1631: 2.4748871275515854e-05
Position 1596: 2.292062784047099e-05
Position 167: 2.273830166137603e-05
Position 473: 2.1999320006426574e-05
Position 758: 2.150785706947653e-05
Position 606: 1.6980109019711004e-05
Position 1025: 1.5416581434460877e-05
Position 406: 1.5031281231637806e-05
Position 638: 1.236803450336767e-05
Position 518: 1.1297605086610529e-05
Position 416: 1.0901436307239623e-05
Position 2335: 7.648368863747645e-06
Position 2755: 5.891272772729542e-06
Position 567: 5.340440988555737e-06
Position 1905: 5.006106817218755e-06
Position 2737: 4.903920903929676e-06
Position 908: 3.004400820474544e-06
Position 1161: 2.4621092900695026e-06
Position 139: 2.1845325453156996e-06
Position 1695: 2.1590493197506633e-06
Position 1116: 2.061844400763531e-06
Position 1063: 1.952979093706751e-06
