Gene = Phf5a
index = 1378
Annotated 5SS: [138 405 556]
Annotated 3SS: [213 469 620]
SMsplice 5SS: [405 556]
SMsplice 3SS: [469 620]
top_k =  1000
Partition function (log Z): -2.1363507837170896

Sorted 5' Splice Sites (High to Low Probability):
Position 405: 0.9722830911358863
Position 556: 0.9141139827531941
Position 138: 0.3503037975390795
Position 332: 0.01533914921639777
Position 606: 0.01344372159992514
Position 134: 0.0012667129684820922
Position 560: 0.00043455129983061865
Position 417: 0.00031003044631319635
Position 442: 0.00024149173323758164
Position 409: 0.00021823195171424058
Position 6: 0.00021416182487961084
Position 248: 0.00013188059976457003
Position 12: 8.253543434613059e-05
Position 491: 5.0440300473125715e-05
Position 270: 1.5999817035192232e-05
Position 430: 1.55312723295043e-05
Position 575: 1.4882547693568504e-05
Position 439: 1.0805977937851274e-05
Position 288: 9.812766034960603e-06
Position 380: 8.710162927512007e-06
Position 49: 7.725421176842144e-06
Position 359: 7.641734910730402e-06
Position 28: 4.863495080162142e-06
Position 158: 4.445817653321238e-06
Position 142: 3.0269486445050845e-06
Position 4: 2.2281410188728804e-06
Position 336: 1.276108095153436e-06
Position 250: 1.272247616121919e-06
Position 252: 4.698819549036178e-07
Position 343: 4.3578855822700136e-07
Position 357: 2.554427931098021e-07
Position 227: 2.153673917749877e-07
Position 460: 1.837954532384037e-07
Position 520: 1.338052992378742e-07
Position 229: 1.203199043600387e-07
Position 305: 3.7492601533603975e-08
Position 450: 1.692465109314882e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 469: 0.9837352370418174
Position 620: 0.6603724781244501
Position 213: 0.33995865957060684
Position 674: 0.2723091471079346
Position 237: 0.003667560594729291
Position 326: 0.0032604356460463617
Position 500: 0.0020897341754199986
Position 395: 0.000869524410823158
Position 401: 0.0006943849849112736
Position 248: 0.0006856571756004486
Position 504: 0.0003736292741835431
Position 331: 0.0001788881337990704
Position 127: 0.00014496094623594688
Position 171: 8.69643960152309e-05
Position 535: 3.81739578776398e-05
Position 124: 3.190999907513395e-05
Position 487: 2.5207410462527842e-05
Position 553: 9.924547508695426e-06
Position 380: 4.485304820318417e-06
Position 556: 3.365093082694794e-06
Position 417: 1.3577712384391044e-06
Position 305: 1.0285010108003066e-06
Position 511: 1.0063155942378435e-06
Position 348: 5.481812801445905e-08
Position 567: 4.302782806979267e-08
Position 357: 2.578098857843483e-08
Position 572: 1.953128955439864e-08
Position 575: 5.84670400817717e-09
Position 409: 3.621389684623372e-10
Position 142: 2.2996260690833323e-10
