Gene = TrissinR
index = 1566
Annotated 5SS: [ 1246 21949 24483 26256 27028 27823 28895 29255 32315]
Annotated 3SS: [21300 24337 26095 26826 27471 28879 28988 32094 32399]
SMsplice 5SS: [  149 21949 24483 26256 27028 27823 29255 32315]
SMsplice 3SS: [21300 24337 26095 26826 27471 28988 32094 32399]
top_k =  1000
Partition function (log Z): 6.8172237239184375

Sorted 5' Splice Sites (High to Low Probability):
Position 32315: 0.9875314953452912
Position 27028: 0.9867269701984887
Position 26256: 0.9802864018720954
Position 29255: 0.970291752176663
Position 24483: 0.9195746171799843
Position 28895: 0.7191652331100585
Position 21949: 0.6915119837789467
Position 27823: 0.6748104755408889
Position 10397: 0.5421279352302868
Position 149: 0.5349429215247448
Position 1246: 0.5186923529356793
Position 30028: 0.47739853353440675
Position 21372: 0.4122540065474167
Position 8793: 0.22328544295314312
Position 8028: 0.18905710882053456
Position 9531: 0.14804504156280235
Position 27590: 0.14300753402781996
Position 26660: 0.08305471962981728
Position 28650: 0.06461966634046719
Position 83: 0.05471111918296151
Position 30799: 0.052821026475628204
Position 29804: 0.04542085307698363
Position 7797: 0.0331167985226493
Position 32635: 0.031021141042593906
Position 27986: 0.029494095759705824
Position 28610: 0.029375096080634235
Position 31543: 0.028663097696308357
Position 12672: 0.02374132283092096
Position 10849: 0.019873193873928385
Position 1075: 0.017216627023945753
Position 406: 0.013404086129893205
Position 9098: 0.01174323031424452
Position 31464: 0.008522859536953482
Position 7945: 0.008147856314986726
Position 209: 0.00810358061697769
Position 9990: 0.007685779803453209
Position 27691: 0.006512934190033816
Position 27200: 0.005597670991082982
Position 30740: 0.005488664276586682
Position 25887: 0.005441047652509671
Position 29388: 0.004872023376882278
Position 2354: 0.004796975866722035
Position 219: 0.004722645663076514
Position 390: 0.004469099947779789
Position 413: 0.004461340043384343
Position 4150: 0.004333726281020996
Position 11140: 0.004261669850646097
Position 10368: 0.004222905564656384
Position 27175: 0.004156272605241428
Position 29371: 0.003526120616749468
Position 27260: 0.0032336089717702465
Position 28258: 0.0031938498712637976
Position 274: 0.0024837521491508337
Position 1440: 0.0024128281602388587
Position 862: 0.0023090848712108065
Position 12282: 0.0022461732528106593
Position 12074: 0.002161741376275665
Position 8199: 0.002100503589516252
Position 28529: 0.0019017330368249455
Position 27685: 0.0017533124042363177
Position 27309: 0.0016545121699737134
Position 29501: 0.0015133607561951296
Position 4014: 0.0014188303235654952
Position 31588: 0.0013140298981089127
Position 4027: 0.001108237981107407
Position 27710: 0.001028665141211871
Position 12322: 0.0009182432751283331
Position 570: 0.0008237659122120232
Position 28271: 0.0008195135495445573
Position 27782: 0.0007473390053346794
Position 12237: 0.000746674460114339
Position 26951: 0.0007371086625993936
Position 331: 0.0006820419992806396
Position 27862: 0.0006181588509206877
Position 32621: 0.0005532961577179533
Position 1127: 0.0005002722332726722
Position 27725: 0.0004715013102246339
Position 2466: 0.0004622333485431417
Position 26737: 0.0004267144484793868
Position 28500: 0.0004191122608675651
Position 8806: 0.00041098530025398817
Position 1047: 0.0004065815250272796
Position 27034: 0.00039772893684777874
Position 1020: 0.0003786348699604641
Position 28283: 0.0003684957736043711
Position 4637: 0.0003648064469989673
Position 27695: 0.00033205274536017196
Position 29577: 0.0002967025588329542
Position 936: 0.00029172679532368817
Position 1684: 0.0002536312851979144
Position 29225: 0.00022026241831010272
Position 230: 0.00021646714134025832
Position 10771: 0.0001689574437276944
