Gene = snsl
index = 1884
Annotated 5SS: [  64 1010 1870]
Annotated 3SS: [ 898 1782 1928]
SMsplice 5SS: [1010 1870]
SMsplice 3SS: [1782 1928]
top_k =  1000
Partition function (log Z): -6.83014665496393

Sorted 5' Splice Sites (High to Low Probability):
Position 1870: 0.9783775612078167
Position 1010: 0.5734635600940787
Position 2069: 0.5249278343159447
Position 49: 0.10722116333482672
Position 99: 0.07742803924032317
Position 64: 0.0652433153178656
Position 292: 0.033149728272321155
Position 496: 0.03226880982598325
Position 1449: 0.03172426951972217
Position 435: 0.02375167294800729
Position 1386: 0.021333268042016938
Position 1724: 0.0196148153477034
Position 1440: 0.017455662564930682
Position 1617: 0.01735331394759318
Position 378: 0.014167508582743531
Position 127: 0.011419168515286404
Position 613: 0.01120140491303612
Position 1594: 0.011123222658216095
Position 2540: 0.009383632389526867
Position 123: 0.00699146075559612
Position 178: 0.006629764213165707
Position 1014: 0.0055298356343519445
Position 1257: 0.005292821451865079
Position 2516: 0.00380965753484234
Position 850: 0.0037124970469179825
Position 300: 0.002991166466775457
Position 1658: 0.00163195332976088
Position 1235: 0.001376376815214317
Position 2612: 0.0011909771819634913
Position 766: 0.0010538063747477847
Position 548: 0.0009907876663245929
Position 2761: 0.0009382120311360161
Position 31: 0.0008243723984807073
Position 2556: 0.0008183188240073082
Position 502: 0.0007966452083123983
Position 606: 0.0005902728722075577
Position 875: 0.0005767818708605893
Position 1266: 0.0005530233414144874
Position 1243: 0.0005283865906932078
Position 337: 0.00051488293201608
Position 318: 0.00043977747936488007
Position 2543: 0.0003269663369576409
Position 2120: 0.00027417447538186036
Position 2753: 0.00019517947835744943
Position 2639: 0.0001745611972219547
Position 596: 0.00015732230314573846
Position 2616: 0.00014848600383554815
Position 617: 0.0001449035850224274
Position 2597: 0.00012235016492408415
Position 1381: 9.868733103996688e-05
Position 1880: 9.110310388306411e-05
Position 103: 8.836568026078538e-05
Position 601: 8.71995082796317e-05
Position 789: 8.580406036668202e-05
Position 889: 8.223607154631269e-05
Position 182: 7.757139981668289e-05
Position 518: 7.725440728383353e-05
Position 733: 6.452968103140048e-05
Position 817: 6.29620757105476e-05
Position 2734: 6.128586779678972e-05
Position 259: 5.247534727360417e-05
Position 885: 4.470737978299462e-05
Position 619: 4.444029331733525e-05
Position 474: 4.077081295072964e-05
Position 663: 4.032274972390435e-05
Position 621: 4.0123619401533036e-05
Position 623: 3.457452496356506e-05
Position 34: 2.9103980341616184e-05
Position 2253: 2.213828265017835e-05
Position 2589: 1.982347740020852e-05
Position 778: 1.489104116162879e-05
Position 538: 1.4419669303848867e-05
Position 526: 1.2881468257689768e-05
Position 2745: 1.2039122004301064e-05
Position 268: 9.75999683500361e-06
Position 1059: 5.8367003995560515e-06
Position 627: 5.593217075943171e-06
Position 746: 3.647796381072322e-06
Position 1492: 3.5099642120865363e-06
Position 524: 3.3796283833902683e-06
Position 988: 2.8842211146231274e-06
Position 1032: 2.086433242059313e-06
Position 1474: 1.800340877919795e-06
Position 535: 1.7499665343025165e-06
Position 298: 1.6639515216633046e-06
Position 1769: 1.187539226941829e-06
Position 1332: 1.0669627589055082e-06
Position 2340: 9.135338607009834e-07
Position 141: 7.145412252675485e-07
Position 1264: 5.983042584940259e-07
Position 2366: 5.177655100630029e-07
Position 2317: 4.270055779577856e-07
Position 131: 1.4282802912882674e-07
Position 1985: 1.4241984581497709e-07
Position 2412: 9.902923037341187e-08
Position 865: 7.64031699031217e-08
Position 136: 6.699444343251279e-08
Position 1066: 8.10630501196206e-09
Position 4: 6.041769680136611e-09
Position 2053: 4.0459971884918076e-10
Position 898: 1.157001663705741e-12
Position 625: 6.297352255097343e-13
Position 529: 1.3321573345099562e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1928: 0.9822724357009196
Position 1782: 0.47145096706162953
Position 2119: 0.2700737042536641
