Gene = mu2
index = 1806
Annotated 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
Annotated 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
SMsplice 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
SMsplice 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
top_k =  1000
Partition function (log Z): 30.16164933294272

Sorted 5' Splice Sites (High to Low Probability):
Position 2366: 0.9992207578286522
Position 3599: 0.990127154698586
Position 3696: 0.9898718920358649
Position 3861: 0.9873585970270866
Position 396: 0.9804957985829325
Position 2039: 0.9771730486044479
Position 1828: 0.9721137162851721
Position 137: 0.9597703064568246
Position 2212: 0.9593906521347184
Position 937: 0.9498116590191101
Position 4164: 0.0684933522078998
Position 2813: 0.04599401126531518
Position 1542: 0.03906021332803966
Position 3328: 0.038175010593778515
Position 910: 0.03473788674541509
Position 1967: 0.01859245331568035
Position 754: 0.015516481745900102
Position 336: 0.014654065964018923
Position 4125: 0.01352981454458208
Position 2216: 0.012869923388242941
Position 4107: 0.00971318138334884
Position 4496: 0.008649958493353335
Position 1770: 0.008423291208242659
Position 3226: 0.004262089618501412
Position 4346: 0.003567982621253091
Position 4407: 0.003550456468200319
Position 3277: 0.0031045954420990144
Position 4141: 0.0025645404393807637
Position 3865: 0.0024696406741604544
Position 729: 0.0023029340399807296
Position 858: 0.002276025650814994
Position 1287: 0.001940917319795421
Position 1227: 0.001827137227298936
Position 1333: 0.0016185536102035526
Position 4198: 0.0014509787342508248
Position 1275: 0.0011596632281487226
Position 2954: 0.0011526913017648377
Position 4003: 0.0011469112849978112
Position 609: 0.0010724782919369633
Position 35: 0.0010219789576915936
Position 1396: 0.0009769334424268787
Position 1137: 0.000929855526776128
Position 1223: 0.0009202326777900956
Position 738: 0.0008004480427938926
Position 2005: 0.0006691837074217578
Position 374: 0.0006557104474106573
Position 1133: 0.0005935098844575222
Position 3993: 0.0005871038990934737
Position 2944: 0.0005586066509361626
Position 4092: 0.0005452994361762037
Position 3803: 0.0004499777422588941
Position 3167: 0.0004378986969450146
Position 3964: 0.00043182966852964305
Position 3951: 0.0004218322074514204
Position 1066: 0.00035458381532036656
Position 2626: 0.0003319043561237411
Position 2579: 0.00032789219567804255
Position 3558: 0.0002847272068968282
Position 2124: 0.0002748860197088076
Position 2530: 0.0002706098463321295
Position 2623: 0.000246643831141805
Position 2761: 0.00021049177985923647
Position 941: 0.000205965069397726
Position 3379: 0.00019431377406224238
Position 4051: 0.00018570887768892664
Position 4265: 0.0001638597762465247
Position 1388: 0.00015963615982407558
Position 1034: 0.00014469006622996045
Position 3850: 0.00013558550928891158
Position 741: 0.00013127988588683783
Position 357: 0.0001267707821810877
Position 1462: 0.00012629226135818741
Position 1812: 0.0001231028982330877
Position 716: 0.00011672143367948792
Position 2552: 0.00011304604331895884
Position 2935: 0.00011262934589419562
Position 611: 0.00011149343048232088
Position 806: 0.00010067565333137288
Position 1818: 8.107119252305953e-05
Position 2611: 7.684209526458225e-05
Position 564: 6.993879231340248e-05
Position 3305: 6.832317399559536e-05
Position 1911: 6.471518518558103e-05
Position 2533: 6.041875417436887e-05
Position 3603: 5.323046080634342e-05
Position 1448: 5.314323247425602e-05
Position 4502: 5.280770107539329e-05
Position 3574: 5.07075091638686e-05
Position 714: 4.902601014665916e-05
Position 2318: 4.729100489208998e-05
Position 1265: 4.186548824724776e-05
Position 642: 4.173438604439553e-05
Position 2519: 3.5830493282195114e-05
Position 1755: 3.4285391299621457e-05
Position 1096: 3.330191292944417e-05
Position 466: 3.1943412578218553e-05
Position 3669: 3.0174878864522983e-05
Position 4305: 3.0002425509298456e-05
Position 4514: 2.9120893433474588e-05
Position 261: 2.8174362392471536e-05
Position 4387: 2.795861969023178e-05
Position 2009: 2.4489705221888403e-05
Position 3763: 2.3616918526416154e-05
Position 2007: 1.918722880800985e-05
Position 3463: 1.6202616464779667e-05
Position 2666: 1.4413709099887878e-05
Position 3887: 1.4009091890770325e-05
Position 54: 1.3436440523155207e-05
Position 4350: 1.3216464663753784e-05
Position 3767: 1.0856060962014605e-05
Position 3922: 1.0630791652952304e-05
Position 644: 9.193800982992867e-06
Position 238: 8.730592853693976e-06
Position 528: 8.142618750538742e-06
Position 1752: 7.933756318865258e-06
Position 1057: 7.606162391125286e-06
Position 3925: 6.9534033054012164e-06
Position 2347: 6.691098100161111e-06
Position 2170: 6.390241667580997e-06
Position 2181: 5.8977394046642395e-06
Position 974: 5.658222331940285e-06
Position 297: 4.68802368559413e-06
Position 4431: 4.635215661773056e-06
Position 2967: 4.011396164837249e-06
Position 243: 2.8263165830641785e-06
Position 3704: 2.673183182173753e-06
Position 2146: 2.431008331969652e-06
Position 4338: 2.4256792954576433e-06
Position 456: 2.3401891918706464e-06
Position 2276: 2.142306858151933e-06
Position 1971: 2.0265646764778155e-06
Position 4024: 1.5374161426696348e-06
Position 3137: 1.4470948079574505e-06
Position 1810: 1.3740295372879946e-06
Position 300: 1.3179730129222487e-06
Position 1021: 1.2976393265405343e-06
Position 870: 1.2014621767229903e-06
Position 4597: 1.132160563936523e-06
Position 1984: 1.0874944900090883e-06
Position 4446: 1.0772641467060155e-06
Position 3310: 9.545530687940486e-07
Position 2949: 9.178972195353612e-07
Position 3562: 8.924641751870755e-07
Position 4580: 8.595967946271167e-07
Position 4563: 8.502025861603571e-07
Position 4542: 7.631913186000975e-07
Position 2079: 7.037516536017016e-07
Position 3535: 6.085427728763425e-07
Position 2119: 3.820275002978951e-07
Position 2433: 3.505432748042626e-07
Position 3522: 3.0519668500217756e-07
Position 2128: 3.0014274030525254e-07
