Gene = tow
index = 1915
Annotated 5SS: [ 151 1914 3592 3703 5060 5254]
Annotated 3SS: [1575 3407 3644 4391 5114 5421]
SMsplice 5SS: [1914 3592 3703 5060 5254]
SMsplice 3SS: [3407 3644 4391 5129 5421]
top_k =  1000
Partition function (log Z): 4.755191059720643

Sorted 5' Splice Sites (High to Low Probability):
Position 5254: 0.9995017415777798
Position 5060: 0.9853319986242647
Position 3592: 0.9730997451912997
Position 3703: 0.8244413678930331
Position 1914: 0.3705157873745343
Position 246: 0.2429013262787365
Position 324: 0.15839184332650857
Position 151: 0.133989572951053
Position 3114: 0.13052184485719584
Position 4042: 0.10126119143642467
Position 6091: 0.06986985469600832
Position 6265: 0.028854062851914
Position 990: 0.02845797281490281
Position 688: 0.026704197927544783
Position 652: 0.021718430207875096
Position 3845: 0.020139222263248446
Position 2371: 0.01763329289437698
Position 4296: 0.012907060244766016
Position 969: 0.01177108184865463
Position 2519: 0.01064521216001489
Position 4998: 0.008360716270998447
Position 1187: 0.008281015649318286
Position 4213: 0.007670115528131035
Position 3880: 0.007109745394891129
Position 1985: 0.0069377447147696645
Position 218: 0.005520686406530237
Position 1299: 0.005144517913645847
Position 2393: 0.0048787381048976475
Position 4258: 0.004806713141120928
Position 1272: 0.004405300674458823
Position 949: 0.0044011009424538465
Position 6050: 0.004079218609382963
Position 2685: 0.004049929867616197
Position 633: 0.004040837644633263
Position 5805: 0.0034711585911688923
Position 2403: 0.002759395035293186
Position 5485: 0.0026810319237022388
Position 5064: 0.0022020456717736395
Position 2359: 0.0020796230084537755
Position 2395: 0.0020447974123330354
Position 5541: 0.0020205942939431425
Position 2397: 0.002001621403435966
Position 4: 0.001977956450659893
Position 2399: 0.0018642060402733643
Position 1884: 0.0018619985409179978
Position 1192: 0.0017340854214133714
Position 1315: 0.001599188526006089
Position 1918: 0.0015333649558766952
Position 5661: 0.0015021925920516912
Position 1413: 0.0013653322189004595
Position 128: 0.0013419990056785373
Position 3772: 0.0012914967708702407
Position 2017: 0.0012207964105067704
Position 106: 0.0012112679451457106
Position 3596: 0.001153716321358675
Position 4132: 0.0008649300225804199
Position 1135: 0.0007310217320613552
Position 1232: 0.000723627093124098
Position 216: 0.0006780855912732951
Position 645: 0.0006725955581578717
Position 342: 0.0006313216161931249
Position 1662: 0.0006262943350111375
Position 4542: 0.0005840239588948277
Position 5646: 0.0005619605032044998
Position 234: 0.000515407095017871
