Gene = Csl4
index = 1110
Annotated 5SS: [256]
Annotated 3SS: [309]
SMsplice 5SS: [256]
SMsplice 3SS: [309]
top_k =  1000
Partition function (log Z): -3.090883659193879

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9906977752732572
Position 767: 0.01803169932604332
Position 248: 0.007298987705164727
Position 23: 0.005120588718629545
Position 823: 0.0023756284232661997
Position 260: 0.0017853356941500338
Position 319: 0.00025076528155083263
Position 316: 0.00024164186899180176
Position 778: 0.00023869294322763075
Position 730: 0.00019684923544396117
Position 888: 0.00017677591488656465
Position 927: 0.00017197981239220773
Position 721: 0.00017040241713278908
Position 414: 0.00010763674587403881
Position 219: 7.687430087551616e-05
Position 556: 7.622958558565686e-05
Position 757: 5.832720615809814e-05
Position 743: 4.5762876076910994e-05
Position 919: 3.831625670198171e-05
Position 430: 3.029977863503958e-05
Position 59: 2.5527625057137947e-05
Position 37: 2.4712512177971645e-05
Position 894: 2.409148483057524e-05
Position 229: 1.4948603814698223e-05
Position 667: 1.1217724004672401e-05
Position 827: 7.613986149969358e-06
Position 508: 7.454472255755119e-06
Position 661: 6.361043605602096e-06
Position 522: 5.719096924344697e-06
Position 687: 5.056422151144552e-06
Position 25: 4.4620767170620445e-06
Position 817: 2.506870574993855e-06
Position 632: 2.3873349318359997e-06
Position 6: 2.299520456724582e-06
Position 652: 2.2797013718103005e-06
Position 941: 1.5643422344856644e-06
Position 439: 1.4746676398811852e-06
Position 803: 1.4730263292843928e-06
Position 27: 1.3782178989096534e-06
Position 385: 5.4875318533921e-07
Position 484: 4.872985129473137e-07
Position 616: 2.989274071337673e-07
Position 169: 2.185433595467674e-07
Position 613: 2.0825901050708384e-07
Position 370: 2.0505600573207816e-07
Position 121: 1.5697372476757042e-07
Position 276: 1.0972440091837376e-07
Position 576: 8.270302743468577e-08
Position 101: 2.030272139141683e-08
Position 323: 3.078357870267884e-09
Position 124: 1.9047586454834077e-09
Position 325: 1.2337402944271647e-09
Position 391: 1.1243582345258722e-09
Position 541: 9.948174628418695e-10
Position 82: 6.456665086502207e-10
Position 309: 2.801318360115499e-10
Position 373: 2.0435026778180622e-10
Position 852: 5.837348125087561e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.9599966984769794
Position 315: 0.030466122167363326
Position 823: 0.015219095802092832
Position 358: 0.009221205494425929
Position 111: 0.004166476045661843
Position 865: 0.002685728992235125
Position 981: 0.0012816139083976182
Position 108: 0.0008959424437873502
Position 837: 0.0007994915620969887
Position 914: 0.0007099480756690667
Position 887: 0.0006285793069357682
Position 990: 0.00031304280062290866
Position 414: 0.00016153871580047328
Position 941: 0.0001244895878891196
Position 477: 0.0001183084210039656
Position 827: 9.385432308653085e-05
Position 379: 8.08219697412159e-05
Position 576: 6.476920039304752e-05
Position 455: 6.406264904061357e-05
Position 632: 4.395473478440972e-05
Position 789: 4.181666624498071e-05
Position 152: 3.501289307712529e-05
Position 323: 2.4181084317907705e-05
Position 645: 1.9270298269806108e-05
Position 867: 1.6386077929371146e-05
Position 333: 1.6251604406002207e-05
Position 124: 6.659604771183348e-06
Position 101: 5.65335755052275e-06
Position 367: 5.4202047026770585e-06
Position 452: 4.95297574173623e-06
Position 786: 4.877712840332481e-06
Position 385: 4.680145377219356e-06
Position 898: 4.619282161129453e-06
Position 522: 3.68390957501066e-06
Position 573: 3.596911930507385e-06
Position 502: 2.351207031506849e-06
Position 766: 1.6741962155882505e-06
Position 164: 1.4522587456657052e-06
Position 117: 1.3280025093640723e-06
Position 383: 1.2822900790048794e-06
Position 930: 1.1973213337974796e-06
Position 59: 9.682753589582722e-07
Position 480: 9.336861668945879e-07
Position 181: 5.988073213587643e-07
Position 241: 2.321293439493261e-07
Position 219: 2.2321404931297835e-07
Position 195: 1.5778137430011077e-07
Position 696: 1.0079876936146824e-07
Position 927: 6.555806409297196e-08
Position 159: 3.642915967808081e-08
Position 169: 3.183469483833486e-08
Position 554: 1.5229710701672356e-09
Position 687: 8.481746551575346e-10
Position 708: 4.767625203264037e-10
Position 192: 3.1647338582753275e-11
Position 141: 2.4627741010110223e-11
Position 256: 5.003644160049591e-12
Position 492: 2.051265412830613e-13
Position 260: 3.2545903317383913e-14
