Gene = msb1l
index = 1799
Annotated 5SS: [274]
Annotated 3SS: [338]
SMsplice 5SS: [274]
SMsplice 3SS: [338]
top_k =  1000
Partition function (log Z): -4.841443565914748

Sorted 5' Splice Sites (High to Low Probability):
Position 274: 0.9911623632581618
Position 498: 0.09243576366373187
Position 552: 0.011666973866577928
Position 293: 0.008353440091191253
Position 756: 0.005449309395777742
Position 1361: 0.0006884661340451885
Position 1002: 0.0005176375230765218
Position 556: 0.0004737644359483073
Position 594: 0.00019325527255754758
Position 1317: 0.00016373164993920095
Position 59: 0.00015899080019846136
Position 424: 0.00014866273367624837
Position 1165: 7.999438850722394e-05
Position 125: 7.219854412439054e-05
Position 278: 6.748598251397828e-05
Position 1095: 5.898578315563497e-05
Position 1129: 5.447909782445796e-05
Position 486: 5.281944724239131e-05
Position 635: 3.696185654419992e-05
Position 502: 3.2707981355942164e-05
Position 725: 3.088193192249501e-05
Position 1088: 2.120038108157954e-05
Position 394: 1.5294689175674956e-05
Position 1299: 1.0829391378627192e-05
Position 78: 1.0471836751740115e-05
Position 669: 7.830554297775576e-06
Position 1139: 7.4655708174816615e-06
Position 796: 5.924233074906532e-06
Position 1012: 5.65510289545457e-06
Position 1170: 3.1631503983365464e-06
Position 975: 2.8156740171432973e-06
Position 573: 1.769439235385838e-06
Position 384: 1.47340933864143e-06
Position 1336: 1.2415777813983357e-06
Position 1021: 9.045635841198325e-07
Position 1024: 7.643158837721535e-07
Position 66: 5.844845553904791e-07
Position 980: 2.5849753082337175e-07
Position 822: 2.4174200045276536e-07
Position 1006: 5.979483250408425e-08
Position 318: 3.1576284341268875e-08
Position 332: 1.2009913311810827e-09
Position 350: 1.0832663656834255e-09
Position 540: 9.176035785803212e-10
Position 335: 5.189036259952274e-10
Position 363: 3.2888647571627053e-10
Position 338: 2.5000918266322813e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 338: 0.6230597267985108
Position 347: 0.35710620305686513
Position 550: 0.06839912673634489
Position 318: 0.014149988581568957
Position 1417: 0.011097220450655677
Position 716: 0.00894018456841008
Position 814: 0.005421980717194694
Position 1244: 0.0053587745661560935
Position 689: 0.003564552716874967
Position 780: 0.0022932897756386336
Position 1165: 0.0018994107607307365
Position 467: 0.0018929926483990558
Position 731: 0.00176713486547773
Position 603: 0.00125874617588363
Position 566: 0.0009128421366713162
Position 922: 0.000862333084652152
Position 665: 0.0005653554437245881
Position 1211: 0.0004745405408050883
Position 594: 0.0004289320747477637
Position 1151: 0.00027119238486283996
Position 371: 0.00017126795059041217
Position 561: 0.00012000798985327272
Position 785: 0.00011898081502329643
Position 1223: 0.0001170158086259861
Position 1220: 0.00010503440000649994
Position 1129: 9.714768949425605e-05
Position 374: 9.649747878163307e-05
Position 931: 9.626384979004901e-05
Position 1281: 9.456025150409786e-05
Position 108: 9.072282303601903e-05
Position 368: 8.70812553692066e-05
Position 1361: 8.594540241349615e-05
Position 1175: 8.574757719141934e-05
Position 1312: 8.365484309277445e-05
Position 377: 8.298275687272718e-05
Position 1229: 6.453778139779996e-05
Position 124: 5.6339973330901504e-05
Position 860: 5.515296776134732e-05
Position 693: 4.206891886166619e-05
Position 755: 4.092059131369294e-05
Position 962: 3.7923877133245365e-05
Position 394: 3.7000089761127586e-05
Position 1080: 3.3331672514861294e-05
Position 573: 3.319138890094631e-05
Position 749: 3.259660754819699e-05
Position 173: 2.9845614543637583e-05
Position 1048: 2.815748106584443e-05
Position 857: 2.7264778856166063e-05
Position 1019: 2.6367168679276764e-05
Position 434: 2.5931144196037793e-05
Position 788: 2.212486306430203e-05
Position 1064: 2.1492547933723683e-05
Position 734: 1.5574226355118196e-05
Position 1181: 1.296040821087471e-05
Position 965: 1.2429013618538193e-05
Position 1121: 1.179824921199216e-05
Position 619: 1.1588854790206104e-05
Position 497: 1.1079211685337274e-05
Position 934: 1.081652785201792e-05
Position 959: 7.26934243651651e-06
Position 180: 7.207613162635835e-06
Position 1040: 5.858097992750233e-06
Position 605: 4.225049263650655e-06
Position 1082: 3.5119906476235052e-06
Position 1317: 2.4541978431682627e-06
Position 380: 2.3244843627842875e-06
Position 1002: 1.7766868229367652e-06
Position 184: 1.198587811733798e-06
Position 1291: 9.861863718078265e-07
Position 1320: 8.751400899285621e-07
Position 863: 4.643977412898636e-07
Position 998: 4.1957058344773155e-07
Position 568: 3.2948787056217076e-07
Position 285: 1.9237308110667992e-08
Position 214: 3.222813122002191e-09
Position 103: 1.13005841173936e-09
Position 746: 2.776029363153731e-10
Position 710: 1.9654321735105516e-10
Position 292: 6.426971991575253e-11
Position 278: 1.5005130793752834e-12
Position 216: 1.370663509693603e-13
