Gene = ninaC
index = 1818
Annotated 5SS: [ 164  987 1946 2942 3303 3634 3988 4204 4357 4474 5244 5725 6054]
Annotated 3SS: [ 682 1081 2003 3009 3361 3700 4053 4258 4419 5055 5308 5776 6104]
SMsplice 5SS: [ 164  987 1946 2942 3303 3634 3988 4204 4357 4596 5244 5725 6054]
SMsplice 3SS: [ 228 1081 2003 3144 3361 3700 4053 4258 4419 5055 5308 5776 6104]
top_k =  1000
Partition function (log Z): 53.06589088528578

Sorted 5' Splice Sites (High to Low Probability):
Position 5244: 0.9999075892743815
Position 1946: 0.9996806235307822
Position 987: 0.9971672985731032
Position 4204: 0.9960769292402883
Position 3634: 0.994942080709571
Position 4357: 0.9916444055290358
Position 5725: 0.9913918603371668
Position 6054: 0.9841353536855777
Position 164: 0.9066149912846229
Position 2942: 0.8796154506699906
Position 3988: 0.8792110760688235
Position 4596: 0.7683870417377623
Position 3303: 0.753215615354499
Position 1206: 0.3331256923534045
Position 4960: 0.1296314686474497
Position 2570: 0.11063686044122528
Position 3992: 0.11011046939545142
Position 2268: 0.10854757651478798
Position 59: 0.04185821670250001
Position 4474: 0.015220493654878807
Position 2250: 0.011991068873937893
Position 2946: 0.01014491680297606
Position 6060: 0.00991566842738257
Position 297: 0.009083963282999225
Position 466: 0.008619526195279007
Position 4694: 0.00840135492665232
Position 335: 0.007270133161729175
Position 1249: 0.006452764190858036
Position 456: 0.0049862811574212604
Position 3638: 0.004819112372089322
Position 6310: 0.004603922599381045
Position 5745: 0.0038255657379364085
Position 3072: 0.003676865990244783
Position 6049: 0.0030037491272583874
Position 786: 0.002790207931323637
Position 974: 0.0025640450921567237
Position 352: 0.0023938629852914613
Position 2246: 0.0021371270604609977
Position 4166: 0.0019263536033037529
Position 79: 0.0017446457895317282
Position 5479: 0.0016880276090564235
Position 337: 0.0015433289987951463
Position 4332: 0.0014794586221570085
Position 2631: 0.001467478997291926
Position 4488: 0.0014380124601209104
Position 1403: 0.0013465856227123424
Position 4505: 0.0012504855820450315
Position 6266: 0.0011609786119942298
Position 4389: 0.0010013245777397116
Position 6501: 0.0009648307257147117
Position 2693: 0.0008383812668646755
Position 4347: 0.0007805186389047358
Position 4865: 0.0007152843933725202
Position 101: 0.0006993367191843058
Position 2579: 0.0006628644433178498
Position 5486: 0.0006350930156142564
Position 185: 0.0005698478685746288
Position 6491: 0.0005537052172255092
Position 4927: 0.000491523142393115
Position 202: 0.0004900824425512981
Position 4716: 0.00048770747570040434
Position 6259: 0.0004867826452262323
Position 245: 0.00048538047233260385
Position 3132: 0.0004555804444520111
Position 2640: 0.0004178241984718519
Position 1301: 0.00040215561766313165
Position 2534: 0.00036197386096894227
Position 5393: 0.0003241029285962542
Position 6015: 0.00032219840116909566
Position 2188: 0.00031786728561280695
Position 83: 0.00030934598671267303
Position 2335: 0.0002891137555173046
Position 4825: 0.00028245932764824267
Position 2462: 0.00026938692705882894
Position 400: 0.00026490857846789295
Position 1465: 0.0002627839546488822
Position 183: 0.00021813231884961856
Position 2200: 0.00021668671624098542
Position 4793: 0.00019684203452227994
Position 140: 0.00017069478797079144
Position 1185: 0.00016916719450093217
Position 314: 0.00016673636318230033
Position 6372: 0.00014685371823095516
Position 2354: 0.00014636467145213658
Position 502: 0.0001394929863808143
Position 3627: 0.00013916868266221455
Position 4920: 0.00013792523362852221
Position 1709: 0.00013116695054211588
Position 2762: 0.00011821247393030106
Position 1137: 0.00011133572546847853
Position 1765: 0.00010922890354235413
Position 1004: 9.113261616837654e-05
Position 2886: 8.57529154580681e-05
Position 4747: 8.493065292880205e-05
Position 2562: 8.352839894499407e-05
Position 3279: 8.3521650442258e-05
Position 5756: 7.811878096251945e-05
Position 2963: 7.790262044118065e-05
Position 2939: 7.554243538545905e-05
Position 197: 7.306834826377298e-05
Position 553: 6.545501417777816e-05
Position 1622: 6.306256884010168e-05
Position 2822: 5.8738064812608235e-05
Position 3043: 5.647364591583407e-05
Position 1876: 5.4311175598770126e-05
Position 6058: 5.354132645502867e-05
Position 1613: 5.233370119101348e-05
Position 6522: 4.5844331578020205e-05
Position 1444: 4.5191575163780625e-05
Position 2539: 4.174051617184795e-05
Position 555: 4.142062340648189e-05
Position 4784: 4.013533852241358e-05
Position 74: 3.9657819431732677e-05
Position 1214: 3.841596047508719e-05
Position 5859: 3.746686098591361e-05
Position 2292: 3.7078160932275515e-05
