Gene = mbm
index = 1786
Annotated 5SS: [1161]
Annotated 3SS: [1208]
SMsplice 5SS: [1161]
SMsplice 3SS: [1208]
top_k =  1000
Partition function (log Z): -8.664858771697883

Sorted 5' Splice Sites (High to Low Probability):
Position 1161: 0.699470975731389
Position 1123: 0.18516188074608272
Position 253: 0.1770188524622538
Position 1137: 0.050466148004859386
Position 456: 0.0458226895662738
Position 1255: 0.01613750215661353
Position 704: 0.004582707635140833
Position 37: 0.003802197760966988
Position 424: 0.0036535342783946346
Position 472: 0.0034617230741185966
Position 759: 0.003434181057665905
Position 495: 0.003202815758641515
Position 822: 0.002640947933251092
Position 846: 0.001193081058512872
Position 281: 0.00101321351965454
Position 1139: 0.0007628259094652604
Position 843: 0.0005529517678259275
Position 988: 0.0005461995575853126
Position 55: 0.0004773589695301448
Position 364: 0.00045139899260956024
Position 612: 0.00042507029879316295
Position 415: 0.00036450156156848777
Position 1659: 0.00032521260815936826
Position 1243: 0.00025352068214707686
Position 851: 0.00024470785113315125
Position 482: 0.00023692354848765294
Position 367: 0.00020595161236460256
Position 1131: 0.0001598518946901473
Position 370: 0.00015970648661300626
Position 1401: 0.00013996297356111783
Position 840: 8.985632742994904e-05
Position 909: 8.51991019822651e-05
Position 418: 6.317608526020786e-05
Position 576: 6.224027533399309e-05
Position 1228: 5.5633829262792374e-05
Position 660: 4.8982845674076596e-05
Position 272: 4.221535978220752e-05
Position 1629: 4.203384297395699e-05
Position 639: 3.192692736571685e-05
Position 773: 2.3401201754478577e-05
Position 797: 1.672812170822269e-05
Position 376: 1.5678790073322766e-05
Position 723: 1.403535359474495e-05
Position 882: 9.729147257271494e-06
Position 825: 8.970628286408941e-06
Position 1141: 7.874117942773747e-06
Position 1258: 6.364822800848282e-06
Position 1279: 5.826957568042302e-06
Position 178: 5.4692823310321126e-06
Position 1316: 4.9064565478099214e-06
Position 91: 4.117771442090074e-06
Position 970: 3.611312283549675e-06
Position 633: 3.2574319038371135e-06
Position 1476: 3.0148842896382256e-06
Position 1661: 2.8451286258657973e-06
Position 434: 2.7652420412694557e-06
Position 1712: 1.467930714522055e-06
Position 352: 1.184469751093659e-06
Position 618: 5.490951999086771e-07
Position 460: 3.073638429064353e-07
Position 137: 1.1155916894664106e-07
Position 1023: 7.865311206643597e-09
Position 918: 7.655963561658575e-09
Position 1020: 7.614859383008693e-09
Position 1049: 4.605624530990904e-09
Position 1389: 2.18958784428785e-09
Position 1325: 1.6286593601726149e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1208: 0.871425593788321
Position 772: 0.07391324559952886
Position 556: 0.048005669607563674
Position 905: 0.04473806335262715
Position 1313: 0.04246273444896039
Position 1258: 0.023030148516625604
Position 560: 0.01756717727294741
Position 1226: 0.015096947526424738
Position 1337: 0.014952147937379211
Position 1232: 0.010980386388636292
Position 1463: 0.010189967949351971
Position 949: 0.004760963388709053
Position 91: 0.003389346050989913
Position 513: 0.0028486955496392573
Position 755: 0.002382087907705982
Position 299: 0.0022576159028512635
Position 885: 0.0019476709742422937
Position 1421: 0.0015937701517109459
Position 758: 0.0014368466237550533
Position 1040: 0.0012215105158490784
Position 813: 0.0011634984560811533
Position 340: 0.0010869999597610883
Position 968: 0.0010858050856102442
Position 918: 0.0009431339302697731
Position 1680: 0.0008218824806938496
Position 1723: 0.000780512936783862
Position 752: 0.0006472223950933923
Position 729: 0.000610326478835898
Position 1468: 0.0004950317403012096
Position 1389: 0.00043892221419565704
Position 120: 0.0004148136481532833
Position 317: 0.0003780419918906822
Position 1430: 0.00032748216027939325
Position 1454: 0.00031058736214656266
Position 1754: 0.0003019242179517594
Position 1748: 0.00027129782992807
Position 648: 0.0001974955625143656
Position 302: 0.00019485227271959463
Position 651: 0.00018623554163539065
Position 1067: 0.00018575791263426923
Position 1503: 0.00016293741511007038
Position 836: 0.00014881776870662188
Position 986: 0.00014016091989108896
Position 861: 0.0001305845900659496
Position 1176: 0.00011721679335439098
Position 1451: 0.00011162023706519807
Position 680: 0.00010222987893514022
Position 326: 9.527084995336794e-05
Position 866: 9.23962026350323e-05
Position 683: 8.963952091767152e-05
Position 1601: 8.135133382122697e-05
Position 797: 5.870924755587692e-05
Position 1445: 5.652782616984172e-05
Position 1395: 5.593762650256861e-05
Position 563: 5.341566091066504e-05
Position 825: 4.9461383492209254e-05
Position 1365: 4.730209782633814e-05
Position 1325: 4.103944742783995e-05
Position 1407: 3.9702223272178524e-05
Position 1043: 3.854010281617316e-05
Position 412: 3.784186215484915e-05
Position 716: 3.5412394169222706e-05
Position 382: 3.339064454748495e-05
Position 988: 1.9123766325543258e-05
Position 446: 1.5529706429483612e-05
Position 472: 1.4488055708568815e-05
Position 1604: 1.4408402121702742e-05
Position 1584: 1.1481118614357715e-05
Position 167: 1.1418996601858813e-05
Position 704: 1.1337124869894674e-05
Position 1049: 1.1200532714318483e-05
Position 164: 8.725269829732043e-06
Position 1004: 7.703487279405713e-06
Position 452: 7.32042083937386e-06
Position 1641: 6.961099874249145e-06
Position 346: 4.509484266482111e-06
Position 1500: 4.048980896450523e-06
Position 686: 3.821770505523156e-06
Position 792: 3.816813977716195e-06
Position 1089: 3.2790381464734062e-06
Position 96: 2.6072760279412048e-06
Position 1543: 2.302804810951015e-06
