Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  1000
Partition function (log Z): 4.8817126123232

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9918710775663638
Position 268: 0.9871401680052304
Position 747: 0.9850598338891953
Position 559: 0.0018197286665095802
Position 952: 0.0012233477847949095
Position 449: 0.00099446242792838
Position 415: 0.0009871312523596467
Position 1002: 0.0007974100555522911
Position 294: 0.0006518821047669911
Position 101: 0.000577217372067802
Position 610: 0.00032074140709574273
Position 109: 0.00018060798593465358
Position 974: 0.00016430156753713296
Position 424: 0.00012662417335218538
Position 90: 9.852743157375515e-05
Position 1004: 7.586815339826788e-05
Position 186: 7.426722786661387e-05
Position 990: 6.610481296416752e-05
Position 156: 5.65094384944023e-05
Position 257: 4.286366027116868e-05
Position 887: 2.0301677004105944e-05
Position 190: 1.2070377712110166e-05
Position 103: 1.0670209450460749e-05
Position 221: 9.683100133357642e-06
Position 20: 9.554777907176677e-06
Position 782: 8.779259873740545e-06
Position 116: 4.787760680500889e-06
Position 822: 4.317706188572109e-06
Position 461: 1.4087510885015077e-06
Position 503: 7.512750404175618e-07
Position 199: 3.6516523165141693e-07
Position 879: 3.398251181978393e-07
Position 482: 1.8187614400484527e-07
Position 436: 1.7655328800989048e-07
Position 143: 1.345316408717208e-07
Position 769: 6.216186294875127e-08
Position 240: 4.77489431540172e-08
Position 62: 2.927143255704326e-08
Position 985: 2.9236340799160333e-08
Position 470: 2.8147294604563776e-08
Position 836: 2.0061966243151713e-08
Position 826: 1.0784467217427825e-08
Position 206: 2.433917946498336e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.9979793343265195
Position 639: 0.9752406857840142
Position 338: 0.8768408538310859
Position 352: 0.09748351072640744
Position 415: 0.01088947051020223
Position 687: 0.0059883672695780175
Position 470: 0.0024659451190894356
Position 517: 0.0013776868322435826
Position 1061: 0.0011894810580878842
Position 179: 0.0007526482734473032
Position 1081: 0.0006849777483763165
Position 360: 0.0006547851195346326
Position 1064: 0.0003736721742078599
Position 400: 0.00018889777145226507
Position 1002: 9.80396537089061e-05
Position 143: 7.876458000510027e-05
Position 857: 5.07889857828596e-05
Position 620: 3.576239903822433e-05
Position 815: 1.0070687759280994e-05
Position 82: 9.48023654221474e-06
Position 978: 7.553862220721444e-06
Position 723: 5.11307086582523e-06
Position 424: 1.3801944148268007e-06
Position 221: 1.0757702397512647e-06
Position 895: 8.281961190040364e-07
Position 196: 4.157866129630075e-07
Position 249: 3.817602059236206e-07
Position 606: 3.418792472307209e-07
Position 887: 2.88241126014365e-07
Position 769: 2.578167072781152e-07
Position 741: 2.5736087152670674e-07
Position 160: 2.514875456781257e-07
Position 368: 2.1011308035241528e-07
Position 430: 1.9074567991982077e-07
Position 229: 1.721770239200731e-07
Position 726: 1.1497735678002546e-07
Position 822: 7.28144771260319e-08
Position 736: 5.8206298366263605e-08
Position 535: 5.084464058368814e-08
Position 833: 3.754461208126102e-08
Position 944: 3.5867509238875804e-08
Position 842: 2.9758197019855108e-08
Position 550: 2.1246434946038092e-08
Position 101: 1.2816273294195973e-08
Position 587: 1.2178369953560139e-08
Position 559: 9.388209781843947e-09
Position 526: 7.733430783618765e-09
Position 565: 7.478395844007047e-09
Position 699: 6.485910584246084e-09
Position 568: 3.5222740621124517e-09
Position 906: 1.8900317778388153e-09
Position 544: 6.093274398460312e-10
Position 908: 3.7577537857280037e-10
Position 251: 1.9889262788967268e-10
Position 272: 1.2749589827302844e-18
