Gene = DIP2
index = 1125
Annotated 5SS: [ 402  825 1306 1741 2141 2792 3258 4641 5120 5261 5416 5843 6565 7078
 7284]
Annotated 3SS: [ 752  897 1360 2049 2238 2916 3317 4958 5178 5310 5472 5903 6628 7134
 7340]
SMsplice 5SS: [ 402  825 1306 1741 2141 2792 3258 3468 4641 5261 5416 5843 6565 7078
 7284]
SMsplice 3SS: [ 752  897 1360 2049 2238 2842 3317 3910 4958 5310 5490 5903 6628 7134
 7340]
top_k =  1000
Partition function (log Z): 13.750537635848186

Sorted 5' Splice Sites (High to Low Probability):
Position 3258: 0.9921471714658057
Position 7284: 0.9918979067824832
Position 5416: 0.9804132281990526
Position 402: 0.9307358183736728
Position 2792: 0.9155591263093621
Position 4641: 0.8980411910509242
Position 2141: 0.866474492941596
Position 5261: 0.8662440718925305
Position 7078: 0.8430046143746432
Position 6565: 0.7660400159053434
Position 825: 0.7301190594296308
Position 1741: 0.6921360958033257
Position 1306: 0.5912641711489246
Position 5120: 0.5055221472438811
Position 5843: 0.4476634189141886
Position 3468: 0.37971127986748715
Position 1984: 0.29537781185004147
Position 3401: 0.1994612126997235
Position 6142: 0.13471147489202304
Position 2170: 0.08199603956299979
Position 6140: 0.07479292348793473
Position 3636: 0.0654022034089731
Position 7441: 0.041732938822902604
Position 7612: 0.036601517870796595
Position 6479: 0.031129556300245935
Position 6393: 0.026203180869080366
Position 5195: 0.017176055439021676
Position 3866: 0.016088800133943818
Position 3831: 0.015252443914623853
Position 6340: 0.015080988319784841
Position 2796: 0.01161769792643786
Position 1978: 0.010916753402508077
Position 623: 0.010417457326457104
Position 7046: 0.010370546375581517
Position 1745: 0.009356162543956853
Position 6970: 0.00923396550887028
Position 1275: 0.009203256602298615
Position 2932: 0.007300537829635758
Position 2145: 0.0068748586260166614
Position 6713: 0.006568707588305157
Position 3863: 0.0065335081212271415
Position 3407: 0.005478944923465082
Position 1683: 0.00541160774451202
Position 2800: 0.004936294562024992
Position 1187: 0.004829027762386068
Position 1542: 0.004715317849478397
Position 6067: 0.004682549855501618
Position 7561: 0.004427146349816911
Position 5124: 0.003961011700814173
Position 3011: 0.003894856044905957
Position 237: 0.0038166639159023896
Position 3423: 0.003806213275202744
Position 2940: 0.0031536983371056523
Position 4895: 0.003091514472563598
Position 2637: 0.003020814879463262
Position 5824: 0.002945639576015868
