Gene = comm
index = 1652
Annotated 5SS: [734]
Annotated 3SS: [5158]
SMsplice 5SS: [734]
SMsplice 3SS: [5158]
top_k =  1000
Partition function (log Z): -9.697928163269655

Sorted 5' Splice Sites (High to Low Probability):
Position 734: 0.9783369729624828
Position 1377: 0.11662260618445847
Position 1600: 0.08434007815254274
Position 5394: 0.04279032748623518
Position 2273: 0.03946410889878479
Position 5800: 0.03343664597361573
Position 5624: 0.03256657453381989
Position 161: 0.020234129388672664
Position 6518: 0.01078299193071266
Position 5785: 0.009846595116030225
Position 1910: 0.008904546583634397
Position 5851: 0.006235761733306182
Position 1047: 0.004686873580697222
Position 1393: 0.003964007460567602
Position 2277: 0.003789813336421594
Position 192: 0.003285246500894504
Position 1753: 0.0031626603801723336
Position 5890: 0.0024773476651379664
Position 1299: 0.0024403409587874024
Position 5644: 0.001903797017268073
Position 558: 0.0017518857174417047
Position 5778: 0.0013464104235880717
Position 649: 0.0013434479517560752
Position 2039: 0.0013427946428011992
Position 2658: 0.0013292164093582253
Position 522: 0.0012325562444168853
Position 5215: 0.0011833115340885015
Position 2225: 0.0008190550098455231
Position 2147: 0.0007183366541617174
Position 1158: 0.0005862021908589064
Position 1381: 0.0005000531621750945
Position 5811: 0.00048461186902228694
Position 4864: 0.0004179758149067536
Position 5: 0.00037548358885740584
Position 619: 0.0003538841088495994
Position 2229: 0.00033369393517137364
Position 526: 0.0002953456059011902
Position 2810: 0.0002745613174349183
Position 1019: 0.0002627314489014609
Position 3403: 0.000254572239018793
Position 1306: 0.00023067367686150655
Position 661: 0.00022044909229066123
Position 3807: 0.000197676774682765
Position 711: 0.00018355626355835833
Position 1030: 0.00016247776698994422
Position 744: 0.0001433359387933517
Position 165: 0.00013285242434933083
Position 291: 0.00011493485196108993
Position 738: 8.319715106416779e-05
Position 1420: 7.680815099809523e-05
Position 1409: 5.1063173388671465e-05
Position 145: 4.249724574467521e-05
Position 159: 3.509970729187275e-05
Position 156: 3.205723975740324e-05
Position 585: 3.197519196952372e-05
Position 582: 3.056893907999952e-05
Position 1065: 2.8634122247286635e-05
Position 919: 2.620389767854936e-05
Position 636: 2.1415488468302015e-05
Position 1525: 1.8266592061542114e-05
Position 1808: 1.4705592347248121e-05
Position 1356: 1.222870588783131e-05
Position 1660: 1.0771205221561691e-05
Position 646: 9.7408286027854e-06
Position 1258: 7.463524641421383e-06
Position 1502: 7.0337255421175815e-06
Position 1250: 6.575545405862456e-06
Position 1044: 6.175456453227135e-06
Position 835: 5.926303896192745e-06
Position 3938: 5.889146365191974e-06
Position 1863: 5.869377007939784e-06
Position 167: 4.687254028630436e-06
Position 147: 4.017283780949921e-06
Position 253: 3.6200778781651395e-06
Position 136: 3.4009963128481886e-06
Position 1186: 3.235978997354765e-06
Position 676: 3.044038551332474e-06
Position 453: 2.834749764792681e-06
Position 320: 2.785932269937393e-06
Position 814: 2.0548381149652095e-06
Position 1630: 1.4934436904259484e-06
Position 1088: 1.4340614383694112e-06
Position 529: 1.161353122688306e-06
Position 1232: 1.1272334277715814e-06
Position 377: 1.061966987068039e-06
Position 451: 1.008859289131951e-06
Position 1806: 8.205581081013097e-07
Position 938: 4.794217877955801e-07
Position 125: 3.73808385116342e-07
Position 9: 3.32638259290453e-07
Position 1347: 2.3594476852588469e-07
Position 131: 2.0163170699932193e-07
Position 1538: 1.5074415226442578e-07
Position 483: 1.4195662742355883e-07
Position 1039: 6.374085521003865e-08
Position 133: 3.277262003597512e-08
Position 669: 2.246560072799924e-08
Position 1217: 1.0061444004864318e-11
Position 1368: 7.961001928716464e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5158: 0.8254775473704916
Position 6136: 0.11499306732770095
Position 894: 0.07586268163886781
Position 1483: 0.0748182545827125
Position 5677: 0.04643948196347812
Position 6144: 0.02617254838106942
Position 1665: 0.02442908406854578
Position 5105: 0.018472325257319372
Position 870: 0.018269945792063265
Position 1823: 0.015469875611146806
Position 6182: 0.014814531618130298
Position 1850: 0.013430321616835982
Position 1727: 0.011280447137007956
Position 1150: 0.009842024530951522
Position 5460: 0.009805176756057177
Position 900: 0.009737386452124828
Position 6577: 0.009563766925097476
Position 1056: 0.008666823208432229
Position 5454: 0.00853634700671015
Position 253: 0.007522615823408673
Position 6620: 0.007506936847533689
Position 5683: 0.007447405620109102
Position 216: 0.006015463136689761
Position 6239: 0.005059329113456251
Position 968: 0.005056103720556988
Position 5457: 0.004707671497922474
Position 233: 0.004181291301465496
Position 947: 0.004068109771117963
Position 1240: 0.00392356948586486
Position 846: 0.0038338106262170383
Position 6217: 0.003428288895923252
Position 1488: 0.0034059751353568844
Position 6258: 0.002075052088102141
Position 5957: 0.001825556918200264
Position 692: 0.0013644266369352955
Position 6745: 0.0011516958228042539
Position 2875: 0.0010142040048297084
Position 4512: 0.0008472554954180626
Position 6041: 0.0007735119465721777
Position 5178: 0.0006947979809849461
Position 3960: 0.0006869938386026577
Position 4997: 0.0006795743622833005
Position 3861: 0.000620036220195482
Position 6695: 0.000570375326936966
Position 2341: 0.0005565534024439404
Position 5253: 0.0005462719234377416
Position 1592: 0.0005403752608534983
Position 4648: 0.0004890071243083015
Position 3457: 0.0004775459775294326
Position 5988: 0.0004590145112082619
Position 5032: 0.0004542552588315306
Position 1568: 0.0004525429304285027
Position 5072: 0.00044894557773461554
Position 1425: 0.00044442212591020103
