Gene = dunk
index = 1680
Annotated 5SS: [5]
Annotated 3SS: [130]
SMsplice 5SS: [43]
SMsplice 3SS: [110]
top_k =  1000
Partition function (log Z): -9.876879837235485

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.9066592750078379
Position 201: 0.0517563881971245
Position 892: 0.01750156451360537
Position 508: 0.014677911150909566
Position 733: 0.014559759003763828
Position 694: 0.007321603337763779
Position 47: 0.004876370451990277
Position 272: 0.004840234519778984
Position 957: 0.002333055385640344
Position 499: 0.0013404642223472194
Position 64: 0.0008784987886662168
Position 586: 0.0008521440072470187
Position 226: 0.0006902891588808103
Position 467: 0.0004881242458433849
Position 515: 0.00043539878726460695
Position 698: 0.00023347601683444672
Position 441: 0.00020769123295188746
Position 100: 0.0001794740849362094
Position 630: 0.0001216769876797252
Position 828: 0.0001068319875050619
Position 205: 9.477178252585758e-05
Position 906: 6.360957261277299e-05
Position 256: 5.446249275794187e-05
Position 594: 2.0022693822838577e-05
Position 571: 1.9544752676164913e-05
Position 327: 1.9261761257091538e-05
Position 601: 1.7737666361298836e-05
Position 262: 1.70769483703724e-05
Position 955: 9.269544809330866e-06
Position 35: 8.950543121429518e-06
Position 136: 6.194662116751446e-06
Position 5: 4.842036730638433e-06
Position 91: 4.692019095812021e-06
Position 19: 4.1828558750551295e-06
Position 769: 3.207145294971284e-06
Position 855: 7.626671354126626e-07
Position 835: 6.924864506128452e-07
Position 862: 6.67047057656662e-07
Position 418: 1.6717563855298916e-07
Position 620: 7.309394459290341e-08
Position 251: 3.98071800650571e-08
Position 83: 2.6791246963548074e-08
Position 37: 2.0566485280425043e-08
Position 573: 1.639989410706177e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 110: 0.2973615375050045
Position 201: 0.12400650315690381
Position 180: 0.11224656418496098
Position 332: 0.08242728987797006
Position 247: 0.0801461175724528
Position 226: 0.057200945181906396
Position 775: 0.04205935707334831
Position 814: 0.03832107165274111
Position 1006: 0.031374288415672386
Position 287: 0.026818515416897247
Position 538: 0.025669183570548468
Position 783: 0.018618914037820594
Position 130: 0.017866829136727876
Position 662: 0.015197206869437435
Position 974: 0.012920817753008776
Position 354: 0.010251977535399618
Position 163: 0.007488456833958933
Position 146: 0.00747845017426356
Position 777: 0.006568346925776376
Position 304: 0.004049189562800393
Position 136: 0.0020875812472562695
Position 584: 0.001895532621148458
Position 608: 0.0017333878117975973
Position 358: 0.0015516087211005078
Position 882: 0.000978550391118798
Position 820: 0.0006456888227974219
Position 666: 0.0005507381967221723
Position 843: 0.0004318257010969712
Position 615: 0.0004251243987945439
Position 633: 0.00036845071612183147
Position 732: 0.00029843675595900065
Position 790: 0.000283164569470632
Position 455: 0.000204204105211162
Position 618: 0.00014305497574963305
Position 393: 0.00010090790026454377
Position 376: 9.698680904023915e-05
Position 209: 9.662802461783587e-05
Position 947: 8.132804237619082e-05
Position 715: 7.003537367026834e-05
Position 325: 6.222487230965826e-05
Position 403: 5.4767779037121893e-05
Position 727: 4.32233673058172e-05
Position 891: 3.664762893403672e-05
Position 499: 3.010240425527721e-05
Position 805: 2.6357109049736436e-05
Position 855: 1.4938376810441356e-05
Position 847: 1.0473235994946456e-05
Position 165: 7.636837380037504e-06
Position 493: 5.984849456871878e-06
Position 441: 3.3478062830797985e-06
Position 327: 8.029079591572063e-09
Position 594: 6.301571985442572e-09
Position 198: 3.2988276348574542e-09
Position 470: 2.401679803471701e-09
Position 50: 9.013753557389672e-10
Position 367: 7.580057313593124e-10
Position 464: 1.7698570004799715e-11
Position 388: 3.446221971323711e-12
Position 71: 4.974955608194872e-13
Position 73: 1.1899315233991842e-13
Position 418: 1.4532470343893237e-22
