Gene = Nplp2
index = 1328
Annotated 5SS: [268 477]
Annotated 3SS: [350 631]
SMsplice 5SS: [268 477]
SMsplice 3SS: [350 631]
top_k =  1000
Partition function (log Z): -3.2029962450332015

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9644367039602587
Position 477: 0.86532211800365
Position 471: 0.026868931261683517
Position 519: 0.01294440813783389
Position 773: 0.012668801540357258
Position 576: 0.005492707705508598
Position 421: 0.0038592717876426443
Position 272: 0.0038317016542585725
Position 725: 0.003781441210309404
Position 791: 0.002076004832099347
Position 28: 0.0012919247651774137
Position 529: 0.0006253542319071185
Position 152: 0.0003834959344410851
Position 728: 0.00031066125270792024
Position 126: 0.0002951625587786203
Position 590: 0.0002822781133252046
Position 286: 0.0002152239305544985
Position 455: 0.00020598308546010386
Position 138: 0.00018867504898480896
Position 446: 0.00018754054957973432
Position 794: 0.00011533968618683121
Position 376: 0.00010734741617769471
Position 669: 7.085098125631518e-05
Position 512: 6.388184321990478e-05
Position 628: 5.5234046579452216e-05
Position 539: 3.847239008661947e-05
Position 633: 3.6520413598420414e-05
Position 369: 3.372000854464501e-05
Position 183: 2.7233516669078372e-05
Position 43: 1.2439065491602598e-05
Position 169: 1.1560071543331199e-05
Position 261: 9.73094311585763e-06
Position 201: 6.736684233746638e-06
Position 252: 6.557788463054939e-06
Position 141: 6.1923974427242894e-06
Position 190: 5.027280632674235e-06
Position 161: 4.410685794835509e-06
Position 128: 3.487531066668803e-06
Position 359: 3.1504217668673087e-06
Position 92: 2.743717220084269e-06
Position 250: 7.612145006941971e-07
Position 350: 4.408355316759391e-07
Position 175: 4.1544154765878757e-07
Position 78: 4.0899269248116785e-07
Position 52: 2.910802075181723e-07
Position 131: 2.6027759140608485e-07
Position 626: 2.245369703563399e-07
Position 333: 1.7689747957806046e-07
Position 659: 1.547912617533465e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.8884429328935102
Position 631: 0.8809448512570998
Position 844: 0.041020282041346084
Position 318: 0.03298015777554932
Position 700: 0.024230657279518873
Position 664: 0.019819445741371497
Position 643: 0.0064352830041609355
Position 590: 0.006246616028352453
Position 791: 0.001680123004724138
Position 78: 0.0011137324620814956
Position 399: 0.0009744493280883825
Position 529: 0.000809425769676451
Position 183: 0.0002839562111938137
Position 667: 0.0002631565180565531
Position 413: 0.00023342043647005872
Position 419: 0.0001582306847702792
Position 88: 4.979799220834207e-05
Position 201: 3.7093328601875804e-05
Position 320: 3.494549569774055e-05
Position 380: 2.8681298533708823e-05
Position 188: 2.815828157802695e-05
Position 190: 2.327305004061385e-05
Position 446: 1.5754291923784498e-05
Position 299: 1.099941018413226e-05
Position 544: 6.5294491000419835e-06
Position 508: 5.215994363474993e-06
Position 231: 4.102892915489638e-06
Position 198: 3.604945234503101e-06
Position 519: 1.5547084115250897e-06
Position 722: 1.260575261848861e-06
Position 452: 1.1541191918464018e-06
Position 305: 1.029593473089438e-06
Position 707: 5.51645619448251e-07
Position 488: 4.7535561367602384e-07
Position 149: 3.725907033044431e-07
Position 286: 3.517519711087082e-07
Position 161: 1.6351795687149785e-07
Position 272: 1.5134470163171297e-07
Position 141: 8.551733678636065e-08
Position 467: 6.509473940361352e-08
Position 470: 5.0074325305512744e-08
Position 169: 1.6731995197958097e-08
Position 125: 5.611571360996386e-10
Position 151: 3.3978573862001057e-10
Position 138: 1.327946053960302e-10
