Gene = Cp19
index = 1090
Annotated 5SS: [58]
Annotated 3SS: [146]
SMsplice 5SS: [58]
SMsplice 3SS: [146]
top_k =  1000
Partition function (log Z): -3.6757308883599134

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.9957566334236708
Position 611: 0.012378803161117264
Position 83: 0.0037675975837798783
Position 397: 0.002924662908614567
Position 615: 0.001335685681577693
Position 292: 0.0006952643940218434
Position 378: 0.0006261330027553921
Position 540: 0.0003429869973225029
Position 51: 0.00029930008391271153
Position 599: 0.00017865584410323786
Position 235: 5.238311297127271e-05
Position 62: 4.7571696176665424e-05
Position 530: 3.246837673517446e-05
Position 472: 2.2228557744187757e-05
Position 385: 2.0701492260683276e-05
Position 418: 1.3133169175564624e-05
Position 64: 7.979809403151227e-06
Position 623: 6.773573581465891e-06
Position 334: 5.9721436136009086e-06
Position 315: 5.207480410573224e-06
Position 301: 3.7618386542191706e-06
Position 18: 3.352843276938279e-06
Position 430: 3.0146446007144294e-06
Position 202: 2.359826975972454e-06
Position 485: 2.3581892342743733e-06
Position 451: 1.98865165889611e-06
Position 367: 1.8404113260178571e-06
Position 433: 1.4731525268880284e-06
Position 516: 1.3409120983193672e-06
Position 406: 3.4336239366788714e-07
Position 177: 3.3301548321502823e-07
Position 570: 1.2387514749283738e-07
Position 459: 3.289507832392243e-08
Position 585: 2.32285977775798e-08
Position 129: 2.306279721151153e-08
Position 156: 9.930934777192216e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 146: 0.9968614848916147
Position 675: 0.015347825636397736
Position 156: 0.0019439793026634147
Position 497: 0.0009296601773369419
Position 464: 0.0008449947131804602
Position 377: 0.0007402021093928115
Position 129: 0.0006517939475586311
Position 530: 0.00035030493301748306
Position 184: 0.00014497186641984882
Position 640: 0.00011563341575387506
Position 591: 0.00011416549377136256
Position 643: 9.878028821958763e-05
Position 570: 8.312727592396237e-05
Position 593: 8.057427797845532e-05
Position 212: 5.600758276290114e-05
Position 265: 4.2588477511834835e-05
Position 701: 2.550128125733579e-05
Position 535: 2.451765048644835e-05
Position 346: 2.1100207476648944e-05
Position 611: 1.517862198882592e-05
Position 239: 1.1715884277475016e-05
Position 729: 9.62524195528936e-06
Position 599: 8.57993015462059e-06
Position 209: 6.066465584002991e-06
Position 509: 4.138121969778011e-06
Position 619: 3.552882189226029e-06
Position 539: 1.3161004407800692e-06
Position 244: 1.1008225288170964e-06
Position 270: 7.664664829473713e-07
Position 382: 7.423351794790774e-07
Position 299: 6.901108494837696e-07
Position 623: 6.846067400220883e-07
Position 578: 5.37208158793988e-07
Position 273: 4.377629047731551e-07
Position 296: 5.9124571764405446e-08
Position 359: 4.129797303266386e-08
Position 224: 3.46739765553975e-08
Position 285: 2.9543785386506005e-08
Position 320: 1.1601873201081199e-08
Position 290: 9.682118709045165e-13
Position 214: 2.6785495799888115e-13
Position 72: 1.6133590964872886e-13
Position 62: 2.4632519295693866e-14
Position 308: 2.0376122348473187e-15
Position 401: 3.123225457145793e-20
