Gene = Nf-YA
index = 1316
Annotated 5SS: [144]
Annotated 3SS: [300]
SMsplice 5SS: [144]
SMsplice 3SS: [1977]
top_k =  1000
Partition function (log Z): -8.53839949930154

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.5419294337661246
Position 220: 0.24981215834693465
Position 300: 0.10208080694108289
Position 38: 0.05302412823632784
Position 186: 0.04873543229775541
Position 215: 0.029076356209122866
Position 759: 0.012579018486555637
Position 181: 0.010105446909059422
Position 1588: 0.00975807964830418
Position 600: 0.0030860118120005237
Position 543: 0.002433338803982845
Position 1900: 0.0023737845303923423
Position 304: 0.0023431021723937383
Position 17: 0.0018979837875650353
Position 990: 0.001492616472849383
Position 1251: 0.0012153394235325354
Position 306: 0.0010768185588002775
Position 326: 0.00104271383208161
Position 1017: 0.0010376582413066094
Position 308: 0.0007184213245133498
Position 1896: 0.0007127324645121099
Position 664: 0.0003942684337807023
Position 1792: 0.0003927229973663294
Position 900: 0.00038489447615290556
Position 1074: 0.00034741102689952606
Position 682: 0.00031484600034169545
Position 1273: 0.0003010657794046329
Position 2069: 0.0002563977234133085
Position 541: 0.0002438893379180072
Position 212: 0.00019651878311749386
Position 1265: 0.00019250882555342985
Position 1612: 0.00018941103138712023
Position 141: 0.00016740949197677958
Position 1122: 0.00014201107511059176
Position 1131: 0.00011330960019969243
Position 4: 0.00011056070939855555
Position 1180: 0.0001047975768131286
Position 1875: 9.691532535844174e-05
Position 966: 9.196312827572991e-05
Position 190: 8.55660279114604e-05
Position 1337: 7.86244023753242e-05
Position 1038: 4.378281920880158e-05
Position 1029: 4.287256624229973e-05
Position 1504: 4.0204424511162005e-05
Position 444: 3.876272846403806e-05
Position 90: 3.5004695761880244e-05
Position 1331: 3.491644683696045e-05
Position 237: 2.289300386518634e-05
Position 6: 2.2409955210260626e-05
Position 2108: 1.3948588432136524e-05
Position 312: 1.0095855911190746e-05
Position 75: 3.266639977176259e-06
Position 148: 4.2421836562889154e-07
Position 229: 2.2057017886487467e-07
Position 310: 1.8761167055236082e-07
Position 260: 1.5912038958276305e-07
Position 448: 1.5585994178577114e-08
Position 362: 6.056924217325548e-10
Position 107: 4.372434687752748e-11
Position 124: 3.7465936817026874e-11
Position 425: 2.9019575722412912e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1977: 0.5249952122210553
Position 300: 0.1682500836463873
Position 391: 0.1626102551606203
Position 97: 0.05418087754712986
Position 1782: 0.04741272780534154
Position 1986: 0.042970486418794515
Position 1879: 0.009604249190928067
Position 1935: 0.009433625723330152
Position 400: 0.006587568540284641
Position 1412: 0.006078865299396774
Position 1743: 0.004159762780478121
Position 656: 0.0039670841544867455
Position 831: 0.0035780976076978193
Position 710: 0.003242602682480792
Position 797: 0.002786098768344002
Position 974: 0.0027224475250016743
Position 325: 0.002606122895712489
Position 1914: 0.0023355342647583773
Position 371: 0.0020659281430736223
Position 206: 0.0020014654414892536
Position 2041: 0.00193946069175089
Position 304: 0.0016630307611087524
Position 349: 0.0015694276643233697
Position 1292: 0.0014828508102030461
Position 731: 0.0014483569272486533
Position 411: 0.0013773474811910541
Position 1061: 0.0010272235156803646
Position 345: 0.0008600732561497522
Position 421: 0.0008410752396810905
Position 1058: 0.0007866865297562357
Position 2101: 0.0007725070070089783
Position 2186: 0.0004929134003717252
Position 662: 0.0004316130694500356
Position 1721: 0.00036743446840513714
Position 945: 0.00031045228668933516
Position 237: 0.0003052845975551886
Position 896: 0.00030263511850225076
Position 212: 0.00024252773155343085
Position 190: 0.00024023326072503072
Position 1204: 0.00020460124612618568
Position 600: 0.00018041063209463652
Position 1265: 0.00017446358446774585
Position 2024: 0.00017116873673384477
Position 978: 0.0001686592692999951
Position 1957: 0.00016832388140831855
Position 541: 0.00013406123044424785
Position 2057: 0.00012933900985293709
Position 956: 0.00011957904534811863
Position 2148: 0.00011426845516286548
Position 1085: 0.00011391355739640507
Position 2189: 9.8931138506003e-05
Position 1883: 9.262936633320002e-05
Position 1174: 9.138430489462949e-05
Position 224: 8.127312930584149e-05
Position 653: 7.755454660744172e-05
Position 1097: 6.960010984278364e-05
Position 496: 6.834779356093523e-05
Position 219: 5.7276852912214724e-05
Position 1678: 5.4659916044227424e-05
Position 245: 5.096199484344193e-05
Position 858: 4.969674708978884e-05
Position 555: 4.9060611203006224e-05
Position 2116: 4.711545477899493e-05
Position 200: 3.9953341890294594e-05
Position 1100: 3.9906288333712246e-05
Position 782: 3.1199280837603055e-05
Position 2012: 3.0522259588490186e-05
Position 117: 2.8622950137735042e-05
Position 2067: 2.606389044826574e-05
Position 1418: 2.1903583259639862e-05
Position 502: 2.1396001856553986e-05
Position 547: 2.0233862654231144e-05
Position 1064: 2.010780240748368e-05
Position 719: 1.857763099942788e-05
Position 1446: 1.6750517692558513e-05
Position 2081: 1.4562944794401921e-05
Position 1325: 1.4549936132234077e-05
Position 740: 1.410345272971618e-05
Position 579: 1.3615469609869228e-05
Position 846: 1.1369043106180291e-05
Position 137: 1.0429070109814936e-05
Position 1103: 7.843925646140908e-06
Position 932: 7.209222725398067e-06
Position 689: 6.257840734109313e-06
Position 56: 4.718326024325942e-06
Position 460: 4.427953447576493e-06
Position 505: 3.3529384390663196e-06
Position 47: 3.9003026164348887e-07
Position 561: 4.0274034765243954e-08
Position 141: 7.355772520925797e-09
Position 161: 6.9561150242150406e-09
Position 158: 5.600334956348933e-09
Position 170: 1.208219564577382e-09
