Gene = hid
index = 1727
Annotated 5SS: [  850 12595 13582]
Annotated 3SS: [12086 13268 15549]
SMsplice 5SS: [  850 12595 13582]
SMsplice 3SS: [12086 13268 15549]
top_k =  1000
Partition function (log Z): -3.4137375842366855

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9911019330693677
Position 12595: 0.9723430621522703
Position 13582: 0.9650682399950309
Position 12016: 0.17280069522365057
Position 15884: 0.12806638260529782
Position 4574: 0.09320014712826719
Position 17033: 0.05787131583804613
Position 11959: 0.05770385191788197
Position 1036: 0.05298862941903995
Position 3427: 0.047490931921934536
Position 4469: 0.04466003831955112
Position 1653: 0.02874455461938529
Position 1133: 0.02721273568947856
Position 10405: 0.026981522938321782
Position 2727: 0.026395636171922816
Position 14713: 0.022530596952006147
Position 14654: 0.019677947412046582
Position 28: 0.019584862762158112
Position 16284: 0.01879348850018549
Position 15388: 0.01869210848584305
Position 2226: 0.01808864927689626
Position 14060: 0.0169510091376058
Position 1504: 0.01693221092482971
Position 15646: 0.012274780203473185
Position 15206: 0.011754457892315984
Position 8756: 0.011376452264535396
Position 10696: 0.007170734441282949
Position 1458: 0.006941637443907737
Position 5357: 0.006152373709897117
Position 14782: 0.005580558639230287
Position 13645: 0.005189045710563992
Position 1175: 0.004682922369607554
Position 818: 0.004570606892316517
Position 8712: 0.004465106951327849
Position 9136: 0.004445924335083427
Position 14926: 0.004271897667562954
Position 15844: 0.004269261311472999
Position 1127: 0.0039894954522561015
Position 14666: 0.003633659520781316
Position 15941: 0.0031952532285983277
Position 2902: 0.002933785805716953
Position 13631: 0.002852639412919007
Position 14002: 0.002839549487319595
Position 15204: 0.0026238660861927655
Position 322: 0.002373163536066426
Position 13919: 0.0022620200285375855
Position 4019: 0.0021288531194351384
Position 4462: 0.001956013872042609
Position 2463: 0.0018599107056990994
Position 15664: 0.001795394173546308
Position 1032: 0.0017842831189350476
Position 17279: 0.0017294216441539145
Position 4090: 0.0017264716819949673
Position 15108: 0.0016591238466069122
Position 1810: 0.0013499235686091817
Position 6797: 0.001342762927872339
Position 14066: 0.0012412107518773505
Position 5721: 0.001207296047600947
Position 5695: 0.0010927859871131345
Position 13904: 0.0010767714980066357
Position 3778: 0.0009049261113135845
Position 1704: 0.0008662184621717633
Position 7147: 0.0008641371476246688
Position 8765: 0.0007659970659012749
Position 14072: 0.0007426919434083564
Position 369: 0.0006249678653341693
Position 14869: 0.0005580736637924412
Position 14099: 0.000551071999043273
Position 3385: 0.000549590414421684
Position 12212: 0.00048051278680318163
Position 9957: 0.0004622886442333886
Position 900: 0.00041012102057037103
Position 14484: 0.00040919227892020736
Position 12847: 0.00038065980460803617
Position 15896: 0.0003692476923459394
Position 14699: 0.0003119604834340779
Position 13543: 0.0002972197038026356
Position 256: 0.000266220489434571
Position 12405: 0.00024734944433303223
Position 2656: 0.00023577392280006165
Position 14125: 0.00022884790572201352
Position 15707: 0.00021520427046818827
Position 13672: 0.0002052141769877081
Position 3985: 0.00019475557106388437
Position 12616: 0.00018507911058052103
Position 13966: 0.000177997326140359
Position 13487: 0.00017139740579251607
Position 1146: 0.00013395533786622586
Position 1481: 0.00012849132207528685
Position 194: 0.00010891687801187435
Position 15791: 0.00010575997597636762
Position 4004: 0.0001020959357716214
Position 15824: 9.673739845659086e-05
Position 977: 8.285094140754203e-05
Position 13861: 8.201352636916301e-05
Position 15710: 7.394834753401726e-05
Position 15721: 6.404076667765339e-05
Position 70: 5.50935158224609e-05
Position 59: 5.5011893466439355e-05
Position 16381: 4.943409480060394e-05
Position 2253: 4.4589230953530764e-05
Position 259: 4.249891341873048e-05
Position 16218: 4.199268130450721e-05
Position 150: 3.864587921496398e-05
Position 15644: 3.501210957145615e-05
Position 4860: 3.043507389834979e-05
Position 3491: 2.801053867671991e-05
Position 847: 2.7597135851845022e-05
Position 157: 2.552706959809777e-05
Position 1893: 2.3760692284106166e-05
Position 35: 2.226123476648771e-05
Position 13714: 2.143019610858057e-05
Position 254: 1.979237636914841e-05
Position 904: 1.5955359907356307e-05
Position 77: 1.4456143491680654e-05
Position 1884: 1.4321675826105542e-05
Position 3471: 1.1906907249977948e-05
Position 1781: 1.156217628581682e-05
Position 1292: 1.1294063963093896e-05
Position 822: 8.283838937657071e-06
