Gene = Gr22d
index = 1195
Annotated 5SS: [1010]
Annotated 3SS: [1067]
SMsplice 5SS: [1010]
SMsplice 3SS: [1067]
top_k =  1000
Partition function (log Z): -6.236099211001114

Sorted 5' Splice Sites (High to Low Probability):
Position 1010: 0.9944570507181623
Position 185: 0.09512636163402467
Position 98: 0.03812839881992222
Position 290: 0.02780208398710281
Position 509: 0.02730564981664185
Position 812: 0.017207162356972977
Position 32: 0.016708970998447894
Position 848: 0.01399409640030033
Position 541: 0.01323601299990004
Position 710: 0.012943758552877835
Position 635: 0.01174931888816361
Position 379: 0.007325965956236379
Position 584: 0.006794116636719903
Position 581: 0.004121053340285661
Position 536: 0.004099480372236736
Position 425: 0.0040106362976162335
Position 420: 0.0016907577913353358
Position 300: 0.001662353551735044
Position 476: 0.0014658173012950047
Position 794: 0.0010437700143864613
Position 755: 0.0008095647745598117
Position 914: 0.0006298839407221442
Position 305: 0.0005837808396075116
Position 42: 0.0005836699872219326
Position 53: 0.0005519845993779148
Position 195: 0.00040194744054408645
Position 452: 0.0003197947674239702
Position 443: 0.0003055341985431052
Position 278: 0.00027296216635592005
Position 1008: 0.00020041006632679224
Position 223: 0.00018787798835527602
Position 19: 0.00017670292880533244
Position 398: 0.0001648781226476102
Position 677: 0.00012977124152391173
Position 287: 0.00011620053396598405
Position 524: 8.189372892000069e-05
Position 264: 6.512394796143185e-05
Position 602: 6.09682524594229e-05
Position 16: 5.797538385848783e-05
Position 518: 5.5284311528146224e-05
Position 1014: 4.2476536282753575e-05
Position 403: 4.206945564867821e-05
Position 838: 3.5836683767238285e-05
Position 162: 2.967037202480055e-05
Position 862: 2.5371434932969195e-05
Position 230: 2.5236644034346222e-05
Position 124: 2.4948991023440227e-05
Position 127: 2.4865701291026413e-05
Position 36: 1.3377474437173278e-05
Position 281: 1.2556757277491106e-05
Position 134: 1.1728655908416414e-05
Position 639: 1.133467355719566e-05
Position 527: 9.267968667671777e-06
Position 440: 7.790506297870902e-06
Position 152: 6.421279975862176e-06
Position 1134: 6.175915535536404e-06
Position 604: 5.783041697210458e-06
Position 155: 5.198149536226168e-06
Position 405: 3.8107160959685752e-06
Position 449: 3.618505723111211e-06
Position 1099: 1.71471350062563e-06
Position 1085: 1.7016526900330242e-06
Position 1056: 1.3473411809713504e-06
Position 967: 5.610882850119364e-07
Position 1109: 6.767192513552225e-08
Position 168: 2.2160441710965743e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1067: 0.9249417928720026
Position 878: 0.1677980290897479
Position 931: 0.0883413038827639
Position 1093: 0.03659502166199909
Position 1055: 0.021128249265169978
Position 240: 0.015268958531408278
Position 1074: 0.011522063160292188
Position 618: 0.010606935476312402
Position 779: 0.008214352760143213
Position 264: 0.004538909886047541
Position 98: 0.0033084822005824016
Position 819: 0.003202686193811343
Position 433: 0.0015263111534286756
Position 1102: 0.0014304057595981496
Position 751: 0.0013088737435085437
Position 398: 0.001203232610911961
Position 193: 0.000980271249028149
Position 706: 0.0008909703428922978
Position 723: 0.0007253939106454695
Position 675: 0.0007167924006626935
Position 964: 0.0006774857853788601
Position 152: 0.00036919431733391635
Position 464: 0.000284354675140415
Position 162: 0.00021792685245906163
Position 494: 0.00019752462735465423
Position 113: 0.00016933110309666672
Position 437: 0.00015205768931096474
Position 1143: 0.00010527851417946992
Position 913: 7.156322130658294e-05
Position 168: 7.053361597860673e-05
Position 661: 6.621280133795962e-05
Position 327: 6.44108856751061e-05
Position 630: 6.0091733525461256e-05
Position 666: 3.976308330340444e-05
Position 825: 2.9222099220263356e-05
Position 1171: 2.4077067360706748e-05
Position 67: 2.402665949495128e-05
Position 440: 2.0067854242525823e-05
Position 281: 1.8879544559122137e-05
Position 648: 1.6530945753737355e-05
Position 1199: 1.2956932717643354e-05
Position 1109: 1.069316172281891e-05
Position 403: 9.815809834249527e-06
Position 278: 8.509847108006277e-06
Position 202: 2.8547320183101215e-06
Position 379: 2.0317484950140987e-06
Position 118: 1.3268797783170303e-06
Position 942: 1.2933053936332532e-06
Position 200: 1.1964954283318021e-06
Position 374: 1.0397407856074624e-06
Position 541: 1.0101254149852803e-06
Position 677: 6.96537965087337e-07
Position 115: 5.65194841081873e-07
Position 343: 4.120428080255247e-07
Position 207: 7.81701400714786e-09
Position 195: 1.1109677520586106e-10
Position 287: 3.130041927218087e-11
Position 209: 5.6826214400598735e-12
Position 346: 4.3686280281482173e-13
Position 211: 6.8344545434648584e-18
