Gene = Ggamma30A
index = 1187
Annotated 5SS: [  252   644 16045]
Annotated 3SS: [  329 15902 34492]
SMsplice 5SS: [  644 35124]
SMsplice 3SS: [34492 45680]
top_k =  1000
Partition function (log Z): -27.92739153626686

Sorted 5' Splice Sites (High to Low Probability):
Position 644: 0.6571834046000009
Position 16045: 0.537631743268522
Position 35124: 0.23979093350542863
Position 134: 0.1780421213594286
Position 560: 0.12011569018417582
Position 554: 0.08794542032285191
Position 17090: 0.03357996238910079
Position 16690: 0.030621199629946663
Position 2170: 0.015841897192946677
Position 89: 0.011073037521259136
Position 252: 0.005063669664539975
Position 150: 0.005057987227272798
Position 280: 0.0037470332622303345
Position 454: 0.0009829245247680908
Position 969: 0.000524290117965506
Position 410: 0.0004592678370199109
Position 977: 0.0002544650261967256
Position 274: 0.00023646076602763948
Position 144: 0.00022331874586540673
Position 138: 0.00022083394317977991
Position 752: 0.00014482934521407796
Position 1220: 0.0001202776524274218
Position 1225: 0.00011566101870019135
Position 220: 0.00010743509378926184
Position 954: 8.719277200455065e-05
Position 756: 6.274119524384475e-05
Position 735: 5.4593880272122525e-05
Position 414: 3.8110148191360786e-05
Position 851: 3.617522682531622e-05
Position 329: 3.4335186704500895e-05
Position 893: 3.123879721958137e-05
Position 503: 2.476499626085702e-05
Position 1420: 2.3749891908340863e-05
Position 1462: 2.204628675187034e-05
Position 12: 1.3105545215927179e-05
Position 1468: 1.3101405193147093e-05
Position 766: 1.240875251868661e-05
Position 228: 1.1063237407089234e-05
Position 244: 7.570208747915364e-06
Position 574: 6.688815382854799e-06
Position 809: 6.508341416591764e-06
Position 1200: 5.9373607060633205e-06
Position 205: 5.856771150669605e-06
Position 1587: 5.106330436260438e-06
Position 952: 4.824741622809012e-06
Position 1578: 4.440433480601963e-06
Position 256: 4.418333752782675e-06
Position 179: 4.009577065483118e-06
Position 1266: 3.2710877308649825e-06
Position 1400: 2.7749313415061e-06
Position 258: 2.669030903051825e-06
Position 823: 2.4418631436402444e-06
Position 873: 2.2073770306850567e-06
Position 1454: 1.941939488330599e-06
Position 1257: 1.827040040476681e-06
Position 578: 1.4744606388058775e-06
Position 888: 1.427885038686541e-06
Position 741: 1.279148317390611e-06
Position 758: 1.1897808184600495e-06
Position 779: 1.0752258087594524e-06
Position 1115: 9.408768310892865e-07
Position 1122: 8.964716286833373e-07
Position 722: 7.990034547532706e-07
Position 564: 5.565105116467129e-07
Position 558: 4.98370552073221e-07
Position 5: 1.606916760901834e-07
Position 22: 1.0990139994770558e-07
Position 17728: 2.2472801816132704e-10
Position 16933: 1.99217887246254e-10
Position 16198: 1.1332989516274077e-11
Position 16473: 9.838481183544792e-12
Position 11483: 5.664603165647921e-13
Position 13447: 2.108311634969569e-13
Position 10199: 2.0038427308718042e-13
Position 12993: 1.7613157067848552e-13
Position 10671: 1.3140845723170575e-13
Position 10263: 7.976710432161181e-14
Position 5071: 3.826551787709647e-14
Position 3640: 2.954028180046703e-14
