Gene = Su(z)12
index = 1531
Annotated 5SS: [ 664  778 1496 2411 3309]
Annotated 3SS: [ 730 1005 1557 2475 4171]
SMsplice 5SS: [ 664  778 1496 2411 3309]
SMsplice 3SS: [ 730 1005 1557 2475 4171]
top_k =  1000
Partition function (log Z): 11.10827632183905

Sorted 5' Splice Sites (High to Low Probability):
Position 2411: 0.9997159615709448
Position 1496: 0.9894515425974376
Position 664: 0.9747564789189654
Position 3309: 0.9583210026472222
Position 778: 0.9517158144552592
Position 4104: 0.134809094430181
Position 1249: 0.11243098482959003
Position 1084: 0.0888541854845623
Position 4749: 0.03195554027556339
Position 91: 0.029983378946361668
Position 4101: 0.028184653136079957
Position 4446: 0.02625511193976354
Position 1948: 0.016400132862185706
Position 1971: 0.012749604875020163
Position 4005: 0.009305160546910666
Position 4780: 0.008539568777097948
Position 860: 0.00686746708985354
Position 1655: 0.006374508132352153
Position 1126: 0.005357903135254722
Position 1619: 0.005158997147534467
Position 2613: 0.0030054847899393727
Position 1472: 0.002966697473018094
Position 4962: 0.002963472280428273
Position 799: 0.002566194605788351
Position 308: 0.00253953986463483
Position 87: 0.002495782659970154
Position 3640: 0.002362608899618846
Position 4579: 0.002311279431890316
Position 2905: 0.001819828373207418
Position 939: 0.0016055032958144063
Position 4085: 0.0012852820857584303
Position 3564: 0.0012467960986745723
Position 4001: 0.0011626151756426299
Position 1418: 0.0011131845142813867
Position 5019: 0.000792414351758587
Position 3486: 0.0007596988737296446
Position 2899: 0.0006510919962773463
Position 1185: 0.0006382583852206462
Position 2912: 0.000604590675258103
Position 2648: 0.0005888163736369264
Position 4083: 0.0005558155708293924
Position 3848: 0.0005290376886802372
Position 1347: 0.0004014915354686913
Position 3931: 0.0003987965461362262
Position 2848: 0.00033568849168949
Position 300: 0.0003355274541783074
Position 668: 0.0003310075625591814
Position 4916: 0.000314664962747892
Position 807: 0.0002943001797181498
Position 130: 0.0002827018313809351
Position 4040: 0.00028000419872766365
Position 962: 0.00027584613211935094
Position 159: 0.00022463149649193433
Position 908: 0.00019058834966217297
Position 1245: 0.00018138681216078715
Position 1881: 0.00016287370838614337
Position 609: 0.0001545938207781742
Position 104: 0.0001443884929243759
Position 23: 0.00013885198330977887
Position 4905: 0.00013598092515421144
Position 916: 0.00013066418695205622
Position 2666: 0.00012985235075082735
Position 2428: 0.00011549409967816889
Position 1332: 0.00011130466318254977
Position 181: 0.0001050948975493431
Position 4763: 0.0001021792857594926
Position 4035: 9.99202038035716e-05
Position 1116: 9.74652795594674e-05
Position 4148: 9.233037495045079e-05
Position 1345: 8.966080027105246e-05
Position 2729: 8.577968868778283e-05
Position 4046: 8.529913486502226e-05
Position 3018: 8.37548636925752e-05
Position 3357: 8.307057729523968e-05
Position 831: 7.569531644250855e-05
Position 4058: 7.387670971101788e-05
Position 1459: 7.248166992200231e-05
Position 2390: 7.210051606266293e-05
Position 412: 5.859041941831696e-05
Position 604: 5.552112198914395e-05
Position 1796: 5.480363291482577e-05
Position 3411: 5.343091098104061e-05
Position 2623: 5.105695180824948e-05
Position 3021: 5.025708666580172e-05
Position 1598: 4.921083313011915e-05
Position 1253: 4.863187392758698e-05
Position 3759: 4.3280752992475175e-05
Position 1628: 3.889686518685352e-05
Position 2075: 3.5094034026119555e-05
Position 2603: 3.4169749105425807e-05
Position 4021: 3.389522350465906e-05
Position 4435: 3.3829937948837824e-05
Position 4307: 3.316004226708825e-05
Position 4632: 3.274178815994845e-05
Position 505: 2.989759967470351e-05
Position 4583: 2.6168276596588675e-05
Position 2213: 2.5312720981919336e-05
Position 1697: 2.5099171358208555e-05
Position 174: 2.492343704124719e-05
Position 351: 2.3888572473972495e-05
Position 1269: 2.0431845603165815e-05
Position 782: 2.0309450519260876e-05
Position 1770: 2.0156969838182617e-05
Position 3343: 1.9821475245197253e-05
Position 704: 1.6767846858511102e-05
Position 3971: 1.5815405904150637e-05
Position 2401: 1.5792964348935762e-05
Position 1858: 1.4559059569599329e-05
Position 2095: 1.380349294425762e-05
Position 2701: 1.3588168733687508e-05
Position 214: 1.3265169137949009e-05
Position 2655: 1.1638995794427784e-05
Position 2835: 1.1489499484128193e-05
