Gene = Sgs3
index = 1497
Annotated 5SS: [42]
Annotated 3SS: [114]
SMsplice 5SS: [42]
SMsplice 3SS: [114]
top_k =  1000
Partition function (log Z): -7.206701700752436

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9954209295252124
Position 46: 0.002764535565374216
Position 71: 0.0016520601353703515
Position 250: 0.0003080338875323649
Position 5: 0.00013891115001629154
Position 190: 1.0361640626209729e-05
Position 199: 5.680247521930795e-06
Position 1001: 8.773803773412449e-07
Position 154: 7.82501309938296e-07
Position 163: 6.459282168891074e-07
Position 338: 5.952764098801091e-07
Position 64: 4.590945685935381e-07
Position 1080: 2.949082182019619e-07
Position 458: 2.760935303963436e-07
Position 988: 2.419424484768321e-07
Position 1025: 2.323283005141309e-07
Position 1014: 1.563174329335391e-07
Position 1052: 1.1894391040590695e-07
Position 215: 1.1669784244837266e-07
Position 98: 9.791954301072987e-08
Position 945: 6.39221188802586e-08
Position 503: 5.244121966214348e-08
Position 907: 4.869700624981709e-08
Position 860: 4.6334806778687495e-08
Position 865: 3.5640859499561265e-08
Position 1007: 2.924162058328986e-08
Position 1040: 2.4881986481557043e-08
Position 1115: 2.1135812136150307e-08
Position 981: 4.568193102728348e-09
Position 926: 4.1010108142405155e-09
Position 144: 7.209740001346477e-16
Position 880: 2.2744961530960946e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.9991584745240998
Position 317: 0.00039762116701645516
Position 857: 0.0001319417232460145
Position 542: 8.741600707287838e-05
Position 437: 6.313827309177026e-05
Position 482: 6.096319441959313e-05
Position 527: 5.328788341932234e-05
Position 407: 3.589804269994639e-05
Position 362: 3.2954879063583546e-05
Position 812: 3.0230811954754283e-05
Position 587: 2.8639740892393438e-05
Position 752: 2.3963869178055183e-05
Position 393: 2.0926661720891765e-05
Position 302: 1.9153435716459716e-05
Position 872: 1.9091877487388406e-05
Position 647: 1.9003789070380343e-05
Position 782: 1.6449347844072808e-05
Position 722: 1.3126854941272045e-05
Position 572: 1.144850244663549e-05
Position 677: 1.1445117698685899e-05
Position 557: 7.3892966598915365e-06
Position 797: 5.83469736530882e-06
Position 617: 5.445962716082433e-06
Position 422: 5.236544061672397e-06
Position 602: 4.643524814264943e-06
Position 827: 4.234866140397036e-06
Position 377: 4.0121488627696934e-06
Position 842: 3.7599826670346486e-06
Position 662: 3.6753502973012032e-06
Position 1163: 3.5548585448216076e-06
Position 737: 3.5203586951090093e-06
Position 707: 2.8525459975238815e-06
Position 767: 2.7846639295358463e-06
Position 1012: 2.332481877798585e-06
Position 632: 2.2179816389216035e-06
Position 932: 1.8195635553977133e-06
Position 692: 1.5179493692789669e-06
Position 914: 1.2510187684325576e-06
Position 1148: 1.1566670382631987e-06
Position 874: 9.147780987571645e-07
Position 1167: 7.991075778761843e-07
Position 118: 7.012503273520666e-07
Position 888: 4.912983659348896e-07
Position 968: 3.066111560643424e-07
Position 962: 7.162979439572933e-08
Position 1020: 3.299315948603788e-08
Position 79: 4.613838121006015e-09
