Gene = Adi1
index = 14
Annotated 5SS: [193 352 542 793]
Annotated 3SS: [273 413 698 851]
SMsplice 5SS: [193 352 542 793]
SMsplice 3SS: [273 413 698 851]
top_k =  1000
Partition function (log Z): 6.952882202340511

Sorted 5' Splice Sites (High to Low Probability):
Position 793: 0.9996578242150979
Position 542: 0.9941346450517405
Position 197: 0.8622099348708687
Position 393: 0.10823450461008217
Position 162: 0.005132990513900787
Position 363: 0.003564917260249149
Position 178: 0.002041998847659968
Position 329: 0.0017090385774993478
Position 231: 0.0012726144750002382
Position 956: 0.001121741242769445
Position 523: 0.0010773672172147558
Position 79: 0.0004282847088830312
Position 941: 0.0003618227550859036
Position 16: 0.0002209174662562771
Position 574: 0.00020679441978972766
Position 84: 0.00019298272824165376
Position 546: 0.00012697502726609537
Position 797: 0.00011049137050661437
Position 534: 6.617331294779656e-05
Position 969: 6.28216835659636e-05
Position 633: 3.667859600892872e-05
Position 288: 2.9209709237803924e-05
Position 604: 2.7929204047581623e-05
Position 73: 1.9113372376263442e-05
Position 551: 1.5977475950611723e-05
Position 431: 8.573673447085137e-06
Position 727: 6.747261162973948e-06
Position 455: 6.354636085508944e-06
Position 43: 3.4596968642818533e-06
Position 36: 3.097121016789601e-06
Position 29: 2.2905729085981786e-06
Position 63: 3.9409149122648815e-07
Position 53: 3.8329619606107506e-07
Position 666: 5.0763836102889884e-08
Position 931: 4.2192295443208835e-08
Position 714: 2.9750893042744232e-08
Position 879: 3.688175281813245e-09
Position 910: 3.257689446942994e-09
Position 730: 2.7815868806042214e-09
Position 891: 1.453885926045748e-09
Position 835: 5.826717898426605e-11
Position 868: 1.0897389976426903e-11
Position 840: 1.7278552219438035e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 851: 0.9864905316198928
Position 698: 0.9381141006958038
Position 273: 0.8176870940711033
Position 441: 0.09935071677052398
Position 604: 0.058519151191545625
Position 413: 0.057846937251718404
Position 862: 0.013380786587620035
Position 455: 0.005891154445007547
Position 1019: 0.0015492020871399014
Position 462: 0.0012763204575826513
Position 726: 0.0012045490260439798
Position 610: 0.00047846750006807316
Position 63: 0.00016551539125242906
Position 705: 4.465611341515771e-05
Position 78: 4.3345023075942625e-05
Position 294: 1.115520559819936e-05
Position 431: 1.0060080881092582e-05
Position 757: 7.860695700876891e-06
Position 574: 7.848342032122034e-06
Position 735: 7.848247390117488e-06
Position 231: 4.603075738645362e-06
Position 111: 1.0778287646433116e-06
Position 983: 9.264545524685797e-07
Position 515: 3.0098180225597125e-07
Position 320: 2.6676193793185787e-07
Position 739: 2.111366714534336e-07
Position 99: 1.7930855130572436e-07
Position 582: 7.931256723460933e-08
Position 950: 6.602929221016284e-08
Position 356: 5.552017025947905e-08
Position 351: 2.5872992692784188e-08
Position 494: 2.558926994937674e-08
Position 171: 1.4911295396775175e-08
Position 168: 1.4367316162165816e-08
Position 288: 1.3370191379129561e-08
Position 956: 5.79102434130294e-09
Position 192: 5.18280211266777e-09
Position 296: 3.920970934906258e-09
Position 542: 3.39639243712235e-09
Position 204: 1.2799732019034413e-09
Position 247: 7.824020458374733e-10
Position 546: 7.785553854749419e-10
Position 120: 3.8686654182795937e-10
Position 797: 1.6282301819930923e-10
Position 197: 1.435292792825013e-11
