Gene = RFeSP
index = 1400
Annotated 5SS: [ 178 1117]
Annotated 3SS: [ 736 1171]
SMsplice 5SS: [ 178 1117]
SMsplice 3SS: [ 736 1171]
top_k =  1000
Partition function (log Z): -4.958654915402298

Sorted 5' Splice Sites (High to Low Probability):
Position 1117: 0.9029422126893538
Position 178: 0.8767908290469043
Position 1121: 0.06923654734888884
Position 1343: 0.014613430926796095
Position 1382: 0.01117580216657019
Position 520: 0.010014013568799315
Position 341: 0.005441782797215966
Position 1404: 0.0042848507363169724
Position 297: 0.003710106298415595
Position 597: 0.0036210828785586302
Position 1371: 0.0032604969021034136
Position 1612: 0.003023248817871224
Position 530: 0.00268605038153126
Position 1439: 0.0021604425677953804
Position 446: 0.001793154242686926
Position 999: 0.0012255059285712208
Position 1379: 0.0009682527991164262
Position 415: 0.0009343524957184518
Position 265: 0.0007746868320348418
Position 39: 0.000721567763347034
Position 489: 0.0006000155660941332
Position 1425: 0.0004518311269060185
Position 1554: 0.00027214915308912396
Position 550: 0.00024037402676874956
Position 1398: 0.0002373269336267851
Position 1514: 0.00022804874487708716
Position 1562: 0.00017505812021872765
Position 1131: 0.0001399419063915655
Position 1580: 0.0001328994344462927
Position 1003: 0.00010649425915057681
Position 129: 9.779058177900794e-05
Position 884: 9.346736138873327e-05
Position 502: 8.125010424641834e-05
Position 907: 7.366278414732142e-05
Position 51: 6.483615581298036e-05
Position 360: 5.5311806477553074e-05
Position 862: 4.26289029745698e-05
Position 1618: 4.201578820233892e-05
Position 548: 4.156416217542442e-05
Position 1629: 3.0321886692923224e-05
Position 16: 2.659693831716055e-05
Position 1260: 2.647301217987469e-05
Position 111: 2.6323817910355165e-05
Position 600: 2.1283022184965944e-05
Position 1357: 2.0639485884317518e-05
Position 326: 1.7514186116765024e-05
Position 165: 1.5015354521417827e-05
Position 978: 1.429688798824652e-05
Position 7: 1.2375241909760608e-05
Position 1126: 1.2285662331017765e-05
Position 1014: 1.1458999419038346e-05
Position 877: 8.443303443240262e-06
Position 946: 8.24003321280053e-06
Position 159: 8.112492993106971e-06
Position 1078: 5.2392900258631915e-06
Position 1211: 3.270529062729087e-06
Position 766: 1.941465465688828e-06
Position 103: 1.5804564289354855e-06
