Gene = D
index = 1118
Annotated 5SS: [52]
Annotated 3SS: [127]
SMsplice 5SS: [52]
SMsplice 3SS: [127]
top_k =  1000
Partition function (log Z): -10.553281938582384

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.8369228572057114
Position 934: 0.29919446795276916
Position 2444: 0.07185110488301166
Position 984: 0.025378751812182375
Position 1153: 0.02506252130147416
Position 2589: 0.015830675902968737
Position 2375: 0.010585956438408572
Position 156: 0.009823391609858779
Position 896: 0.008389319845280926
Position 2522: 0.008378848283435861
Position 81: 0.007857355281377137
Position 215: 0.004399973546358845
Position 432: 0.0029432546531901736
Position 2457: 0.0025630541034863882
Position 2450: 0.0019700733891898094
Position 489: 0.0016757580916033543
Position 990: 0.0008107549434731493
Position 532: 0.00066381198222399
Position 350: 0.0006139777143770861
Position 624: 0.0004012630752047258
Position 1225: 0.0003846278412616554
Position 978: 0.0003543412691520942
Position 1469: 0.0003512358351197819
Position 900: 0.00027763598823027055
Position 638: 0.00020938631711043244
Position 2093: 0.00017950074674240408
Position 1254: 0.0001764409618759593
Position 8: 0.00012669145221812895
Position 381: 0.00010796347479361994
Position 2487: 0.00010081958030988612
Position 228: 7.65734531054327e-05
Position 998: 5.0660768151265326e-05
Position 1057: 3.4644927503489264e-05
Position 613: 3.253564362738826e-05
Position 189: 2.9224590111025075e-05
Position 402: 1.9689835624080033e-05
Position 416: 1.3861583969681237e-05
Position 2462: 6.244374091947656e-06
Position 352: 4.1470849586930715e-06
Position 1264: 3.7682031991318056e-06
Position 360: 3.263323764490341e-06
Position 1493: 2.6012939966456206e-06
Position 579: 2.3368513272735605e-06
Position 1361: 2.3052455172300247e-06
Position 1194: 1.472785968692533e-06
Position 681: 1.3823061828021418e-06
Position 139: 9.586565923294656e-07
Position 56: 8.144442396737373e-07
Position 615: 4.6357156648132687e-07
Position 715: 2.7349848172873056e-07
Position 537: 2.237619134009031e-07
Position 29: 1.5429097752591724e-07
Position 553: 9.478816282838992e-08
Position 259: 6.84346697661304e-08
Position 535: 4.982635383542272e-08
Position 894: 1.055634553475555e-08
Position 592: 6.809771917303429e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 127: 0.6090680253082288
Position 1329: 0.1278627853795523
Position 2558: 0.11697905183862338
Position 228: 0.08673364875241264
Position 2515: 0.06168707192979867
Position 132: 0.06088811316068388
Position 1221: 0.05372180993645899
Position 2157: 0.046820814426040844
Position 2579: 0.03898923956575434
Position 2717: 0.022561856655692804
Position 2652: 0.016066587380085203
Position 1571: 0.01390413386385816
Position 707: 0.011170700567110186
Position 1276: 0.010013998289138378
Position 567: 0.007522050281050829
Position 983: 0.007097382114064897
Position 1592: 0.006675445368846155
Position 1749: 0.004657870998566996
Position 2161: 0.0039444035024882385
Position 98: 0.003529815099905419
Position 414: 0.002635105998285423
Position 1052: 0.0025423218869260887
Position 2847: 0.00169738079572913
Position 1554: 0.00168319172514702
Position 442: 0.0014885551623301098
Position 832: 0.0013161470032946707
Position 402: 0.0012870641583489224
Position 1424: 0.0012695101123076093
Position 1959: 0.0012258925783266857
Position 1205: 0.0011569491974714149
Position 1508: 0.0007773546279445142
Position 2618: 0.0007474281278949476
Position 2240: 0.0007384192520000877
Position 2487: 0.000660804625690174
Position 1536: 0.0005490402137061293
Position 2767: 0.0005338681792385503
Position 1101: 0.0005229177643236499
Position 2724: 0.0005210067450451677
Position 2091: 0.0005116851727640742
Position 1432: 0.0004553131641787379
Position 1087: 0.00045421427869902895
Position 738: 0.00044607764114326626
Position 481: 0.00034937106116511975
Position 215: 0.0003416892251571069
Position 1248: 0.00028949645842287673
Position 439: 0.0002770801088711233
Position 2785: 0.0002696919574461923
Position 161: 0.0002474687433076708
Position 1060: 0.00024404657855635106
Position 1365: 0.00022658501475675546
Position 743: 0.00022330146069403278
Position 1893: 0.00021441400810001706
Position 2921: 0.00018745483130521687
Position 134: 0.00017211862768298103
Position 1467: 0.00012414079507995553
Position 1098: 0.00011750408827827472
Position 245: 0.00011184919896769576
Position 1114: 0.00010978305584260832
Position 2853: 0.0001041130475784428
Position 1245: 8.085124775424029e-05
Position 2980: 7.680674528523302e-05
Position 3004: 7.432303245566303e-05
Position 2792: 7.344953853140906e-05
Position 1336: 7.331761589249886e-05
Position 1361: 7.235566746667611e-05
Position 1194: 7.124498994228218e-05
Position 425: 6.74299974568139e-05
Position 1401: 5.35392027724834e-05
Position 252: 5.198794412742511e-05
Position 1264: 5.020603078249442e-05
Position 1371: 4.898558447942396e-05
Position 2196: 4.312992174394708e-05
Position 1971: 3.7780018045058524e-05
Position 1803: 3.020234224974825e-05
Position 381: 2.725075290191783e-05
Position 1643: 2.5729054439665904e-05
Position 1779: 2.5709017442505875e-05
Position 1673: 2.2535721333338635e-05
Position 1254: 1.981622011400853e-05
Position 93: 1.9467814904200507e-05
Position 996: 1.8762679706257046e-05
Position 281: 1.5221074867443832e-05
Position 1225: 1.2987122388074745e-05
