Gene = borr
index = 1633
Annotated 5SS: [ 484 1177]
Annotated 3SS: [ 767 1241]
SMsplice 5SS: [ 484 1177]
SMsplice 3SS: [ 779 1241]
top_k =  1000
Partition function (log Z): -3.5358438588258223

Sorted 5' Splice Sites (High to Low Probability):
Position 1177: 0.9832620974460994
Position 484: 0.915127502821918
Position 1437: 0.06608129739823908
Position 198: 0.04745425773056676
Position 1408: 0.017895734011568906
Position 206: 0.008561083245588873
Position 502: 0.006958515174959988
Position 285: 0.0035444977329655973
Position 602: 0.0034472486692927774
Position 1429: 0.002592834922932718
Position 593: 0.0014417248118928916
Position 1181: 0.00142185066646022
Position 306: 0.0012188620448064106
Position 1166: 0.001129468955471749
Position 1327: 0.0005861679450434784
Position 1175: 0.00047915168060554375
Position 177: 0.0003933321723186336
Position 1431: 0.000291839041530012
Position 82: 0.00018585591568080382
Position 1443: 0.00017446553429355797
Position 563: 0.00015302848423335324
Position 103: 0.00014546325126460943
Position 110: 0.0001184418449772117
Position 1136: 9.591896481920139e-05
Position 1505: 7.525310964139836e-05
Position 469: 7.241857114571682e-05
Position 1536: 6.52773598033335e-05
Position 260: 3.8621767880218234e-05
Position 488: 3.274953682359778e-05
Position 804: 1.5825128155984226e-05
Position 894: 1.4807226286020889e-05
Position 667: 1.2308055810935771e-05
Position 1332: 1.1162285931939407e-05
Position 1341: 8.828882665866236e-06
Position 509: 8.731353144551508e-06
Position 1499: 4.807442396958392e-06
Position 342: 4.597424245014494e-06
Position 108: 4.334116790323631e-06
Position 427: 4.2669071253451414e-06
Position 8: 3.492375503183187e-06
Position 760: 2.632364790889356e-06
Position 1264: 2.574022950536154e-06
Position 1026: 2.2444620501320093e-06
Position 1158: 2.126324817080231e-06
Position 1215: 1.6996248929557442e-06
Position 909: 1.5715663214335987e-06
Position 1530: 1.4477139291079342e-06
Position 419: 1.0732460976365188e-06
Position 655: 9.251893253527977e-07
Position 534: 8.308206644817092e-07
Position 657: 6.719646334074078e-07
Position 1254: 5.758713806700157e-07
Position 1510: 5.516232218113074e-07
Position 844: 3.217183742133729e-07
Position 754: 2.331988997064272e-07
Position 912: 2.2650933926762474e-07
Position 1494: 2.1022594759037933e-07
Position 273: 1.906313463581682e-07
Position 795: 1.8856422116976078e-07
Position 1543: 1.6190658223332149e-07
Position 958: 1.0270455001817562e-07
Position 621: 5.54420856623869e-08
Position 1288: 4.9347488821262746e-08
Position 1041: 3.2389212419709095e-08
Position 1199: 5.4155674816199175e-09
Position 1201: 4.2909838684178745e-09
Position 748: 7.513038571970527e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1241: 0.9324878982858193
Position 779: 0.8230496220142458
Position 767: 0.09859925700098918
Position 1530: 0.09017386199909416
Position 1295: 0.04019534431556008
Position 284: 0.027614779365630573
Position 830: 0.019594085236412807
Position 1066: 0.008101999032931899
Position 1505: 0.004480830337753204
Position 260: 0.004397671669693202
Position 1464: 0.002530896893939184
Position 1578: 0.0019005546870768783
Position 305: 0.0016147945204901784
Position 1249: 0.0013024761979762499
Position 1602: 0.0011171307702616238
Position 1069: 0.0009306373769040672
Position 972: 0.0006686918581637033
Position 1510: 0.0005781816490147457
Position 789: 0.0005634873823244014
Position 1536: 0.00047083736632972387
Position 238: 0.00044471329558439123
Position 311: 0.00031709563723078174
Position 530: 0.00030048103437752986
Position 254: 0.00023399038870372828
Position 969: 0.0001744462517940727
Position 342: 0.00017100103499924528
Position 1126: 0.0001531432621709793
Position 386: 0.00012753404863383673
Position 1254: 0.00011361010849084014
Position 1374: 8.64993024005367e-05
Position 999: 8.585317329863391e-05
Position 978: 8.403870931454431e-05
Position 314: 7.37104862672314e-05
Position 781: 5.7571624976390316e-05
Position 975: 4.771050000268755e-05
Position 853: 4.6684325513761435e-05
Position 359: 3.625020141699111e-05
Position 317: 2.9294491251784986e-05
Position 176: 2.4138288006079894e-05
Position 1347: 2.1547786410236067e-05
Position 290: 2.004406484372998e-05
Position 376: 1.9980802615956764e-05
Position 398: 1.9795845944653373e-05
Position 1041: 1.5093427743851077e-05
Position 1401: 1.4974440779729145e-05
Position 146: 1.0041830617076228e-05
Position 1158: 8.546305630672865e-06
Position 786: 7.340468706169037e-06
Position 404: 6.91336498038296e-06
Position 1033: 6.9085462410390825e-06
Position 801: 5.993231554825904e-06
Position 332: 5.0001816970094885e-06
Position 1288: 3.8370335248514535e-06
Position 155: 1.7428941694436343e-06
Position 197: 1.4480675773732565e-06
Position 909: 1.385129661407077e-06
Position 433: 1.259868147076479e-06
Position 981: 1.2119091194271508e-06
Position 82: 1.063709287537591e-06
Position 1416: 9.517324495113504e-07
Position 391: 6.93549124760383e-07
Position 1135: 6.172102634336765e-07
Position 1421: 5.50759699931421e-07
Position 119: 4.040829072118355e-07
Position 1326: 3.0663315196915274e-07
Position 469: 9.261223310355769e-08
Position 427: 7.685426720636795e-08
Position 192: 7.478720313053891e-08
Position 53: 6.68211574051152e-08
Position 1175: 2.84148908098052e-08
Position 483: 1.6856373859090486e-08
Position 212: 1.4031735984340346e-08
Position 60: 1.0247067120626002e-09
Position 194: 5.619084656090243e-10
Position 443: 1.9169781884028294e-10
