Gene = Kebab
index = 1244
Annotated 5SS: [148 518 725]
Annotated 3SS: [205 571 933]
SMsplice 5SS: [518 725]
SMsplice 3SS: [571 933]
top_k =  1000
Partition function (log Z): -6.057137490720523

Sorted 5' Splice Sites (High to Low Probability):
Position 725: 0.9528110533769862
Position 518: 0.8486659301085299
Position 2146: 0.446502370018674
Position 148: 0.17937616592977518
Position 1820: 0.09267178486153652
Position 1854: 0.029367005795617577
Position 1293: 0.026457749604997177
Position 265: 0.023812125388671394
Position 1998: 0.019168618950297055
Position 523: 0.018667344365942154
Position 1278: 0.018263548471654577
Position 1273: 0.012481069823648378
Position 1584: 0.012070215986621492
Position 1598: 0.011141437753740933
Position 1298: 0.009329675092771113
Position 67: 0.006368400178603025
Position 2397: 0.005619277303291497
Position 1415: 0.0055566656062839845
Position 512: 0.002802391763795791
Position 269: 0.002357974347354609
Position 152: 0.0014965234043285889
Position 729: 0.001013987889730422
Position 2339: 0.0009719964269961391
Position 441: 0.0004706872928357049
Position 1310: 0.0004637956416184845
Position 1618: 0.0003806287167467737
Position 65: 0.0003701586765000019
Position 753: 0.00035277094202394244
Position 461: 0.0003167316924382481
Position 2020: 0.00023779296795724083
Position 1183: 0.00020648587959586084
Position 260: 0.0001532269403179889
Position 1006: 0.0001435926566990822
Position 1919: 0.00014079959247335653
Position 647: 8.115303088192207e-05
Position 1068: 7.689222168660251e-05
Position 1114: 7.680638347842345e-05
Position 41: 5.938874621696285e-05
Position 1527: 5.739572253717743e-05
Position 543: 5.504948288713257e-05
Position 215: 5.489124188619965e-05
Position 120: 4.1337849823676966e-05
Position 2452: 3.372994026748285e-05
Position 44: 3.3290612375854704e-05
Position 783: 3.176343633819619e-05
Position 727: 3.066418425339632e-05
Position 123: 2.226790602050468e-05
Position 1525: 1.0971660320437562e-05
Position 683: 5.580755184470051e-06
Position 27: 5.3088661025626266e-06
Position 232: 4.810150904318194e-06
Position 351: 3.722292938424559e-06
Position 1379: 2.6761777124439176e-06
Position 619: 2.1991890533799443e-06
Position 164: 1.8104364728258574e-06
Position 6: 1.758392685844902e-06
Position 1094: 1.5078145323200478e-06
Position 577: 1.1986223309864177e-06
Position 571: 9.12553217654195e-07
Position 2117: 4.051885632429043e-07
Position 170: 3.533761684345555e-07
Position 1402: 2.654645023373498e-07
Position 30: 1.8028652662522144e-07
Position 829: 1.647861344305413e-07
Position 796: 7.030217338078793e-08
Position 899: 4.9225499609379314e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 933: 0.6763911604370644
Position 571: 0.4925420245862062
Position 2209: 0.45990178299764184
Position 574: 0.36519154167620904
Position 205: 0.1690211925617063
Position 1353: 0.14226067229390238
Position 2050: 0.08864216522536139
Position 808: 0.04389448988709557
Position 783: 0.04106954390399189
Position 1932: 0.039172685395464354
Position 829: 0.034931589672484394
Position 1356: 0.030659682099521874
Position 1978: 0.029238571913146837
Position 1664: 0.017243394540139356
Position 875: 0.015287000016225575
Position 1926: 0.010463353457200904
Position 441: 0.009259214171773758
Position 2457: 0.007987867255824252
Position 327: 0.007663523774490824
Position 213: 0.003840976692861948
Position 140: 0.0033604160253223507
Position 311: 0.003320726352053918
Position 1880: 0.0032484044926295833
Position 1637: 0.0029657772647104174
Position 1901: 0.0027681736255377254
Position 1696: 0.0024508806129260106
Position 899: 0.002339899462039072
Position 465: 0.002338396933072299
Position 964: 0.0020999591587493056
Position 2117: 0.001696610100281033
Position 1375: 0.0016528007673553766
Position 473: 0.0016384905565367328
Position 239: 0.0014638336313950943
Position 2239: 0.0013949785896637
Position 398: 0.0012817032119364882
Position 1123: 0.0012646416590566297
Position 1981: 0.0011409108616878875
Position 616: 0.001102124984529738
Position 2429: 0.001015739201742513
Position 2510: 0.0008235426644104633
Position 1446: 0.0007710116670783609
Position 2014: 0.0006274479015253294
Position 1154: 0.0005557273756565622
Position 1555: 0.0005492051191514449
Position 123: 0.0005059870981650714
Position 2191: 0.0005012585447288728
Position 1639: 0.00046821690060265607
Position 2303: 0.00024442439179423055
Position 1643: 0.00023293066900141477
Position 2548: 0.00022863045978921867
Position 478: 0.00021345790447796522
Position 1372: 0.0002082990087558948
Position 646: 0.00016610105599883907
Position 1310: 0.00015816618612536529
Position 626: 0.00015346843824951017
Position 1057: 0.0001454501621215657
Position 1003: 0.0001143691464389747
Position 285: 0.0001111842160633291
Position 1514: 8.765720920947275e-05
Position 2268: 8.734915200282219e-05
Position 2127: 8.610459789443547e-05
Position 329: 7.959218623271946e-05
Position 1086: 7.66383020360409e-05
Position 543: 6.935094062954166e-05
Position 1987: 6.379958127122294e-05
Position 2470: 6.0782913460029603e-05
Position 1552: 5.98078109048524e-05
Position 259: 4.5236063872925394e-05
Position 1102: 3.6076429274200494e-05
Position 2176: 3.0442769280171812e-05
Position 689: 3.002568787630724e-05
Position 523: 2.2878863565901263e-05
Position 1618: 2.071001824450924e-05
Position 2557: 1.390910321500709e-05
Position 377: 9.605154144561119e-06
Position 1071: 7.83888595633769e-06
Position 691: 5.336409353618416e-06
Position 1615: 4.563369015879794e-06
Position 638: 4.549661269726063e-06
Position 510: 4.0500378582518696e-06
Position 482: 2.9821680337994737e-06
Position 164: 2.6205832707612946e-06
Position 660: 2.1842745282977515e-06
Position 1732: 2.0899589204560463e-06
Position 1763: 1.997561137850505e-06
Position 268: 1.7226909299573184e-06
Position 512: 7.689440027248167e-07
Position 313: 5.508126233046693e-07
Position 653: 3.666682224459967e-07
Position 701: 3.136375215373634e-07
Position 265: 2.6765920667247034e-07
Position 1717: 1.9212609879218944e-07
Position 65: 1.441782843294605e-07
Position 722: 1.2974362297952754e-07
Position 711: 1.1018258030114812e-07
Position 120: 1.4157516518886788e-08
Position 251: 7.4606055470974e-09
Position 407: 6.186494943619652e-09
Position 80: 4.148761334744737e-09
Position 495: 2.5001256436407835e-09
Position 253: 2.742796430728913e-15
