Gene = crim
index = 1658
Annotated 5SS: [166 379]
Annotated 3SS: [237 434]
SMsplice 5SS: [166 379]
SMsplice 3SS: [237 434]
top_k =  1000
Partition function (log Z): 0.48355185104827164

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.9905628314047481
Position 379: 0.9901324379962508
Position 173: 0.004866490696433329
Position 668: 0.003602748995672717
Position 360: 0.002429373206169215
Position 30: 0.001316751277489911
Position 675: 0.000904899171932568
Position 53: 0.0005461739011215235
Position 661: 0.00023747790048410654
Position 48: 6.629231148206527e-05
Position 59: 5.284007233228382e-05
Position 551: 3.974547909677909e-05
Position 578: 2.9264026588293727e-05
Position 10: 2.8907254943300008e-05
Position 68: 2.76193170585281e-05
Position 51: 1.9983504285252196e-05
Position 61: 1.4491698987938037e-05
Position 585: 7.611006952112986e-06
Position 731: 7.204784404161684e-06
Position 612: 1.951797541238651e-06
Position 207: 1.9210857533207417e-06
Position 726: 1.5179286276543343e-06
Position 453: 1.4897636416569014e-06
Position 739: 1.1354975786224264e-06
Position 354: 7.258709501618776e-07
Position 607: 8.285867103634193e-08
Position 293: 8.275778011549603e-08
Position 396: 7.236565107173176e-08
Position 513: 4.978420811701039e-08
Position 516: 4.943828671197132e-08
Position 251: 2.8335409494861605e-08
Position 211: 1.3205900722029324e-08
Position 198: 1.050657345868808e-08
Position 774: 9.161673937980317e-09
Position 283: 7.537412334245392e-09
Position 230: 4.6263885401243696e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 237: 0.995342889672243
Position 434: 0.9776319254993546
Position 438: 0.010947655176847409
Position 731: 0.00510569467256209
Position 135: 0.0015338365916840457
Position 509: 0.0014846435781778167
Position 465: 0.0010167849237812502
Position 485: 0.0005293943898789508
Position 83: 0.0005188734114093268
Position 568: 0.00028778806598501235
Position 712: 0.0002018192536880485
Position 819: 0.0001619274255028306
Position 293: 4.2110009062897576e-05
Position 542: 2.724643366733006e-05
Position 312: 2.0231935164281055e-05
Position 538: 1.872473932890693e-05
Position 571: 1.8262289832981934e-05
Position 739: 6.278978661893036e-06
Position 726: 3.1673798735501527e-06
Position 648: 1.39606959369756e-06
Position 826: 1.2627340517462072e-06
Position 290: 1.0071490406207017e-07
Position 150: 9.965511167662914e-08
Position 198: 7.763599077375161e-08
Position 359: 6.836495240530678e-08
Position 474: 2.3736381373212504e-08
Position 828: 3.8942642809273185e-09
Position 170: 1.8465685869597749e-09
Position 405: 1.7754634563014365e-09
Position 173: 7.978546845980667e-10
Position 368: 1.622142797732846e-10
Position 164: 1.3408678968083838e-10
Position 326: 2.0916766323795443e-13
Position 383: 2.08012833795481e-15
