Gene = Bdp1
index = 46
Annotated 5SS: [1196 1583]
Annotated 3SS: [1253 1636]
SMsplice 5SS: [1196 1583]
SMsplice 3SS: [1253 1636]
top_k =  1000
Partition function (log Z): -4.063452587411423

Sorted 5' Splice Sites (High to Low Probability):
Position 1583: 0.9932371193321701
Position 1196: 0.854437436233541
Position 1408: 0.15346741431606378
Position 1153: 0.05937718008858441
Position 816: 0.05604091701046696
Position 424: 0.040689955930458675
Position 1803: 0.03180503323487085
Position 1012: 0.021890299633236725
Position 682: 0.021054592835006013
Position 541: 0.014840357296015497
Position 788: 0.013648319846700972
Position 1208: 0.009623577553211306
Position 1056: 0.004961047776235865
Position 1389: 0.0037424176823528978
Position 1170: 0.003522253517979981
Position 824: 0.003099403146390182
Position 840: 0.0028800338809017306
Position 59: 0.002581850432024699
Position 960: 0.0021098057262385326
Position 881: 0.001832886649573005
Position 1138: 0.0016321766991082111
Position 2000: 0.0015698791830447588
Position 2043: 0.0010773566576404035
Position 964: 0.0010497315205945446
Position 43: 0.0009609128906890062
Position 2013: 0.0008113814840700671
Position 2366: 0.0007267252782207004
Position 1835: 0.0005738893154880209
Position 1383: 0.00047662351409559316
Position 307: 0.00043599150438959405
Position 949: 0.0004340234937652072
Position 1994: 0.0003779877152598409
Position 989: 0.000368458530022327
Position 526: 0.0003235127456434568
Position 869: 0.00031620264928569516
Position 650: 0.0002898637492811347
Position 1788: 0.00028300863289388857
Position 524: 0.0002681962575884758
Position 301: 0.000258813445735299
Position 304: 0.0002578923958856896
Position 2066: 0.00025342631819575377
Position 2311: 0.0002447597186969471
Position 1363: 0.00023316173835659
Position 587: 0.00023001421856025473
Position 1540: 0.00018810334714786166
Position 518: 0.00018800504504958005
Position 324: 0.00015807392447150957
Position 894: 0.00015665261033914044
Position 2348: 0.00013766347871502565
Position 883: 0.00013548207074267515
Position 900: 0.00011877983982767491
Position 87: 0.00010508790582902563
Position 1372: 9.857857146626036e-05
Position 2314: 8.507012969121761e-05
Position 150: 7.259575007509744e-05
Position 12: 6.782102550729621e-05
Position 568: 6.544865454056849e-05
Position 334: 5.6008240693132495e-05
Position 984: 5.050823067454908e-05
Position 90: 4.060891434640742e-05
Position 451: 4.0574616898333924e-05
Position 174: 3.9121966289937436e-05
Position 137: 3.6337391302160394e-05
Position 1041: 3.5965547696069086e-05
Position 2057: 3.008627922917668e-05
Position 1313: 2.9685742138221917e-05
Position 104: 2.7752917677610836e-05
Position 110: 2.5418528131548595e-05
Position 731: 2.3049738094709323e-05
Position 1016: 2.1760664337243998e-05
Position 1864: 1.7779722629738915e-05
Position 1982: 1.6999247652219896e-05
Position 702: 1.4336747961968672e-05
Position 1222: 1.3332737532860719e-05
Position 2268: 1.2432992121913553e-05
Position 1604: 7.121243947106183e-06
Position 609: 4.931825284981893e-06
Position 1917: 4.305171142173989e-06
Position 1060: 3.7508796969019673e-06
Position 1712: 3.322396415882524e-06
Position 139: 3.0899681881530134e-06
Position 1594: 2.8325648325554534e-06
