Gene = Cnb
index = 1082
Annotated 5SS: [ 221 1459 1679 2079]
Annotated 3SS: [ 281 1516 1740 2142]
SMsplice 5SS: [ 221 1459 1679 2079]
SMsplice 3SS: [ 281 1516 1740 2142]
top_k =  1000
Partition function (log Z): 2.8974880384039485

Sorted 5' Splice Sites (High to Low Probability):
Position 2079: 0.9984080086662606
Position 221: 0.9596430943191343
Position 1679: 0.8279148456100774
Position 1459: 0.729682016353733
Position 1438: 0.09079444816739765
Position 1918: 0.08780814226927422
Position 1635: 0.07124092920583158
Position 620: 0.03183289454162169
Position 2523: 0.01896574340904679
Position 5: 0.014458358856911059
Position 218: 0.01140055961990211
Position 559: 0.00973779875783558
Position 581: 0.005920922207047024
Position 55: 0.0033087609405501447
Position 431: 0.003088351212105079
Position 624: 0.0019931687063077953
Position 1218: 0.0012622504437678744
Position 2171: 0.0011967787148494612
Position 1892: 0.0010127837755594478
Position 1090: 0.000715578246326006
Position 902: 0.0006390893635138515
Position 1269: 0.0005447545578292055
Position 225: 0.0004885048449685225
Position 10: 0.00032189227869961184
Position 438: 0.0003092467975097257
Position 1156: 0.00021196012425212958
Position 2360: 0.0002051974555439888
Position 2571: 0.00020066678060192105
Position 2259: 0.0001780210206446491
Position 1428: 0.00012318517114531466
Position 943: 9.521813290583843e-05
Position 2586: 9.441134528226915e-05
Position 393: 8.303211980203948e-05
Position 86: 7.504701114650135e-05
Position 601: 7.222725405101762e-05
Position 1030: 6.664230503896286e-05
Position 865: 6.368607939802098e-05
Position 1252: 6.30451031671819e-05
Position 2244: 4.9386188381139455e-05
Position 2436: 3.505872579179455e-05
Position 785: 3.321200496114518e-05
Position 2484: 3.0378923001233867e-05
Position 79: 2.6586481394616118e-05
Position 1813: 2.5597611875601e-05
Position 2220: 2.4148220815509066e-05
Position 1993: 1.9485615905954046e-05
Position 2428: 1.889234575721405e-05
Position 444: 1.605487718667703e-05
Position 8: 1.3401513873871675e-05
Position 256: 8.769153397539534e-06
Position 844: 6.9841864519720805e-06
Position 2063: 5.564228354236216e-06
Position 628: 5.2133668710231915e-06
Position 2357: 5.153815670357233e-06
Position 2595: 4.474094349321855e-06
Position 2542: 4.3617314203364035e-06
Position 975: 3.977419757835755e-06
Position 1135: 2.671307592760556e-06
Position 710: 2.319542750610842e-06
Position 1729: 2.019751615155117e-06
Position 236: 1.985332063334683e-06
Position 1097: 1.9253769154418e-06
Position 1836: 1.4732718318198918e-06
Position 198: 9.036269884660271e-07
Position 2001: 8.856986032091063e-07
Position 2185: 8.161375796690063e-07
Position 1142: 7.984030487939783e-07
Position 2514: 7.743390052144592e-07
Position 1059: 7.009961318054612e-07
Position 181: 6.778527276957899e-07
Position 1239: 5.510749758328439e-07
Position 1302: 4.2940488198465255e-07
Position 2290: 3.098279259756606e-07
Position 850: 1.1121651529797936e-07
Position 2646: 4.3669204011611833e-08
Position 135: 2.758897625056313e-08
Position 1078: 1.7185991948633378e-08
Position 281: 2.6410412632191115e-09
Position 111: 2.2722191594103586e-09
Position 149: 1.8532969309844158e-09
Position 299: 1.5746400614271549e-09
Position 117: 1.235456765897855e-09
Position 156: 9.870842478923767e-10
Position 2109: 8.668317604888969e-10
Position 801: 2.819721121857698e-11
Position 2124: 4.465092726787963e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2142: 0.9975611487935623
Position 1740: 0.9892068594638926
Position 281: 0.9123887700385824
Position 1516: 0.6698409819768008
Position 1974: 0.08737036652151618
Position 1523: 0.06609644658425541
Position 717: 0.015983527450212393
Position 1573: 0.013592637049339492
Position 2586: 0.012740706840560315
Position 691: 0.012500801466680546
Position 980: 0.01242333218073243
Position 292: 0.011017470859636383
Position 79: 0.009580411926653248
Position 1316: 0.007070121422095683
Position 498: 0.005959285448874423
Position 135: 0.005347557783607277
Position 1800: 0.00496470957766048
Position 2598: 0.0048488375288761425
Position 1233: 0.0045525169807105505
Position 265: 0.003274184140560401
Position 1044: 0.0027434162910477105
Position 746: 0.0023735608933334656
Position 1980: 0.0018752532497233179
Position 1532: 0.0016847489129738445
Position 2244: 0.0016435990458890392
Position 149: 0.0014903223932749572
Position 299: 0.0014603723106972996
Position 1068: 0.0013395059603382848
Position 1600: 0.0011479691026322811
Position 2607: 0.0009815038583919102
Position 859: 0.0008877029810488607
Position 1376: 0.0008350572536704777
Position 1373: 0.0008184063602927175
Position 812: 0.0006398769006483533
Position 1268: 0.0006332678450498876
Position 1603: 0.0006016248397677357
Position 2649: 0.0005563685156397957
Position 111: 0.0005507156637300694
Position 91: 0.0004880387194009346
Position 1065: 0.00048452101437478903
Position 2297: 0.00043916635734935036
