Gene = Spn28Dc
index = 1515
Annotated 5SS: [779]
Annotated 3SS: [1649]
SMsplice 5SS: [779]
SMsplice 3SS: [1649]
top_k =  1000
Partition function (log Z): -10.008594539677706

Sorted 5' Splice Sites (High to Low Probability):
Position 779: 0.7701000743328607
Position 454: 0.10210512616824766
Position 720: 0.03910933595414327
Position 947: 0.030651259876680943
Position 108: 0.02201845959659045
Position 1580: 0.02142124608074684
Position 1346: 0.01573349757206086
Position 1177: 0.012375012203433811
Position 1039: 0.01138058256093484
Position 1181: 0.010292145603684069
Position 884: 0.010107223048453278
Position 1350: 0.009275116306376506
Position 1173: 0.0088280432108622
Position 1231: 0.006782477310015733
Position 960: 0.004158707353514752
Position 409: 0.002907149711926953
Position 333: 0.00220561545498546
Position 252: 0.0018294769737300948
Position 923: 0.0015705881313066035
Position 835: 0.0014854928987662191
Position 1021: 0.0014219672772557987
Position 30: 0.0011705705106554328
Position 1114: 0.0009417411430498148
Position 709: 0.0005314727481315654
Position 276: 0.0004471776084865767
Position 587: 0.0003761658585933449
Position 411: 0.000328235656739998
Position 1502: 0.0002444481253281246
Position 967: 0.00023833775008351738
Position 2053: 0.00021808368018769102
Position 1192: 0.0002155311746107474
Position 846: 0.0002117483466286213
Position 1338: 0.0001908539798437325
Position 1024: 0.00018885758830859825
Position 1946: 0.00018669358539416937
Position 549: 0.0001265703946075515
Position 2173: 0.00012278454632512953
Position 39: 0.00010049326733075049
Position 1260: 9.805152581072867e-05
Position 117: 9.531995967571639e-05
Position 486: 8.616921424878642e-05
Position 124: 6.231718506815879e-05
Position 529: 6.160937105185105e-05
Position 1185: 6.117969467736963e-05
Position 375: 6.033300729867577e-05
Position 894: 3.5743669735242335e-05
Position 2169: 3.307209207979333e-05
Position 2025: 2.6286908473304422e-05
Position 1943: 2.5410012030555113e-05
Position 308: 2.2678399158951083e-05
Position 740: 2.2575142215340497e-05
Position 1308: 2.1980260714031174e-05
Position 1244: 1.2952191488933982e-05
Position 2559: 8.165366408246592e-06
Position 523: 7.530533799860367e-06
Position 539: 2.4339220498515044e-06
Position 1010: 1.236478683872239e-06
Position 142: 1.1264960835013355e-06
Position 112: 8.072359700310936e-07
Position 569: 4.3583847338933794e-07
Position 542: 4.210818532653666e-07
Position 1003: 4.032290379776745e-07
Position 48: 3.823209004102279e-07
Position 119: 3.31938723597484e-07
Position 1008: 1.8223161532750504e-07
Position 1100: 7.341543105444075e-08
Position 41: 3.74611414244221e-08
Position 43: 3.274474259093488e-08
Position 80: 1.4245079393333612e-08
Position 1098: 1.373657640983447e-08
Position 34: 4.087163391090919e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1649: 0.7010933326860047
Position 1456: 0.1281046283463781
Position 1513: 0.06968241346549994
Position 778: 0.03443552159859112
Position 1103: 0.02886516724332241
Position 1547: 0.024895621034765638
Position 521: 0.02253346323538304
Position 1686: 0.013772849098170059
Position 574: 0.009798935166264813
Position 1598: 0.0076764242516321095
Position 1145: 0.007097638579185195
Position 1502: 0.0067430988278943055
Position 1337: 0.004363702296084303
Position 1836: 0.003219958624212754
Position 1328: 0.003131323485832124
Position 1479: 0.0026813489343791267
Position 959: 0.0021096086920984747
Position 605: 0.002027187397503838
Position 1059: 0.0019989637700333633
Position 1263: 0.0019525628874830492
Position 529: 0.001474028939016091
