Gene = Papss
index = 1359
Annotated 5SS: [ 2311  3106 13200 15048]
Annotated 3SS: [ 2876 13084 13521 15111]
SMsplice 5SS: [  338 13200 15048]
SMsplice 3SS: [13084 13521 15111]
top_k =  1000
Partition function (log Z): 3.547008605482749

Sorted 5' Splice Sites (High to Low Probability):
Position 15048: 0.9909702964832156
Position 13200: 0.9809580188992234
Position 338: 0.9781308336794587
Position 2311: 0.6951502595713439
Position 3106: 0.5865255250447202
Position 10030: 0.5420996949820637
Position 2984: 0.14152685797318576
Position 2502: 0.12731743827635073
Position 994: 0.1273143307068048
Position 8426: 0.12277915845600312
Position 7661: 0.10541345342704607
Position 9164: 0.07446014250445077
Position 3655: 0.07298570631465687
Position 2353: 0.07291311596132935
Position 1654: 0.05972876312370458
Position 136: 0.05777737642376442
Position 2735: 0.0554752823167356
Position 14407: 0.04879882906319534
Position 14464: 0.04297629200969055
Position 2064: 0.028603719415415122
Position 14855: 0.02484456211265541
Position 14874: 0.021606112805201402
Position 10380: 0.0207580612143693
Position 2658: 0.0171270725223489
Position 151: 0.017086298010304857
Position 2979: 0.01582569100449353
Position 13971: 0.01492271637064458
Position 1348: 0.01439922209074121
Position 7430: 0.0119606701901358
Position 3519: 0.011575536299576436
Position 2757: 0.011464694549849072
Position 12: 0.010727991936997703
Position 14573: 0.010327504761007692
Position 3305: 0.009959894772521705
Position 1237: 0.009850703118778597
Position 14150: 0.009678846898217235
Position 3532: 0.008941163712452663
Position 13762: 0.00866839258642176
Position 602: 0.007621808926492625
Position 1904: 0.005631911736214105
Position 14552: 0.0046563128541202365
Position 1593: 0.00463897556185587
Position 20: 0.004364402724915571
Position 8731: 0.004235808653973106
Position 2478: 0.004123480400719521
Position 2344: 0.003827739161276807
Position 259: 0.0034903488935183573
Position 15054: 0.0027639417169114597
Position 1723: 0.0027581926746714615
Position 14496: 0.002589842349449077
Position 13275: 0.002518955537196635
Position 2488: 0.0024294011451108364
Position 569: 0.002154296471445808
Position 15315: 0.002023614127427096
Position 3265: 0.0017876317465040535
Position 13228: 0.0017209182109429082
Position 4153: 0.0015524569406187337
Position 11760: 0.0015378775298528881
Position 6290: 0.0014244438410601925
Position 1197: 0.0012050597842918687
Position 13795: 0.0011764469704731056
Position 1431: 0.0011409477748039944
Position 15498: 0.000856447651326318
Position 455: 0.0007166869786857687
Position 15360: 0.000664208061392116
Position 1567: 0.000661387017678321
Position 13601: 0.0006544138121795599
Position 10482: 0.0006301139940716618
Position 353: 0.0006174588904901852
Position 13187: 0.0004897289488243121
