Gene = sala
index = 1863
Annotated 5SS: [ 325 1048 1515]
Annotated 3SS: [ 473 1374 1584]
SMsplice 5SS: [ 325 1048 1515]
SMsplice 3SS: [ 473 1374 1584]
top_k =  1000
Partition function (log Z): -2.8941282171079763

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9869216380919998
Position 325: 0.8203895891439748
Position 1048: 0.671305163957334
Position 2040: 0.12583108032458218
Position 1756: 0.07247863901205139
Position 2061: 0.04151421044453703
Position 375: 0.039851020820512714
Position 1811: 0.02885644990416915
Position 245: 0.021870323070831876
Position 890: 0.020179018390083386
Position 1135: 0.011102090780074554
Position 1406: 0.007087120496695765
Position 1027: 0.006682503351946951
Position 2001: 0.005859121328388797
Position 1309: 0.005477035594418171
Position 677: 0.005043021661524853
Position 235: 0.004832308669814824
Position 744: 0.0045676570991114145
Position 390: 0.004082131341062527
Position 967: 0.0038272493940996384
Position 1234: 0.003263586504157641
Position 599: 0.003193766617919531
Position 878: 0.0030217349949149147
Position 67: 0.002822696499351327
Position 1079: 0.0022194650782239333
Position 2134: 0.0019009153478501753
Position 75: 0.0018507581690514372
Position 97: 0.0017891476828556022
Position 1706: 0.001595437741958723
Position 1328: 0.0011778229138726662
Position 1375: 0.0010916684414222172
Position 605: 0.0009557437128434539
Position 1140: 0.0008591974635447951
Position 379: 0.0007613456095426819
Position 288: 0.0006635888224825165
Position 959: 0.000595334905762828
Position 2128: 0.000546609048464663
Position 1519: 0.0004555326560167681
Position 698: 0.00044757097419328615
Position 1849: 0.00043644491100674993
Position 749: 0.0004150371834802174
Position 1835: 0.00040818182537931326
Position 1245: 0.00036781205575818097
Position 1744: 0.0002849464703239792
Position 1449: 0.00026447027372368255
Position 1071: 0.00019774183287692265
Position 554: 0.00018989776072425815
Position 1036: 0.00016934175333332778
Position 839: 0.0001647699785080937
Position 1053: 0.0001637713730129446
Position 1882: 0.00015753571685658013
Position 866: 0.00013826892360070783
Position 837: 0.0001382532287486844
Position 329: 0.00011441914982971927
Position 2051: 8.814713811235728e-05
Position 1739: 6.798061730027216e-05
Position 587: 4.707502207606205e-05
Position 203: 4.595134952718213e-05
Position 851: 3.468483363211078e-05
Position 614: 3.350330503094153e-05
Position 1358: 3.039738736628734e-05
Position 1748: 2.884525294852083e-05
Position 1712: 2.7444021451151555e-05
Position 35: 2.6421932301491172e-05
Position 180: 2.3875892762359032e-05
Position 1946: 2.1454509681467663e-05
Position 1251: 2.1070779101054033e-05
Position 1766: 1.9363016908088313e-05
Position 1061: 1.7528737036149545e-05
Position 1145: 1.7388956616086757e-05
Position 2104: 1.73730714583944e-05
Position 1892: 1.4166781136282095e-05
Position 1787: 1.1134694307164974e-05
Position 1446: 1.0538193141970892e-05
Position 1084: 9.833319994038202e-06
Position 1483: 7.63149673505044e-06
Position 1844: 7.563888749296315e-06
Position 1278: 7.160256021846405e-06
Position 263: 6.700655400239453e-06
Position 295: 5.568136808808545e-06
Position 2095: 3.701857780604567e-06
Position 33: 2.7589703447792205e-06
Position 457: 8.553617967819825e-07
Position 1777: 7.619425165121433e-07
Position 441: 6.685189482944815e-07
Position 569: 5.2723529325889906e-08
Position 1220: 3.977879758603362e-09
Position 515: 3.20632327314843e-09
Position 477: 1.2872201312546675e-09
Position 1887: 9.258437430334293e-10
Position 1393: 5.3171186940563224e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1584: 0.9061055548123885
Position 1374: 0.828343570565512
Position 473: 0.675633049201894
Position 2118: 0.09637141510813224
Position 2095: 0.09452231183027793
Position 1623: 0.08970131206848783
Position 507: 0.05045500974124804
Position 1882: 0.04222024123756139
Position 1335: 0.032833984187114335
Position 1830: 0.03038289365503657
Position 457: 0.018262692320479418
Position 2194: 0.01517871690335497
Position 1378: 0.007250876224420052
Position 733: 0.006148411251360796
Position 1472: 0.005305902026648979
Position 425: 0.004056929674933832
Position 306: 0.003404398119626038
Position 310: 0.002618448060377076
Position 832: 0.0024901264359500678
Position 1421: 0.001892769845323459
Position 132: 0.001400356249861872
Position 2161: 0.0006978539103472795
Position 829: 0.000695087786842066
Position 1401: 0.0006853084382021682
Position 765: 0.00047442322021085874
Position 209: 0.0004167917346294913
Position 859: 0.0004080701629014049
Position 1405: 0.00040546157329373765
Position 593: 0.00036778007046442776
Position 2035: 0.00033093338791950625
Position 2134: 0.00032102393968120343
Position 148: 0.00031615650388864495
Position 2073: 0.000305042046136161
Position 930: 0.00021781178091398728
Position 1245: 0.0001761115156570284
Position 1020: 0.00010477473043318484
Position 1887: 7.984792540896144e-05
Position 553: 7.209566223376207e-05
Position 899: 6.857245799317441e-05
Position 364: 5.851761628733562e-05
Position 835: 5.116333082153162e-05
Position 2051: 5.047157141300092e-05
Position 532: 4.9122231219469686e-05
Position 1251: 4.790630067550694e-05
Position 1639: 4.122908271661559e-05
Position 862: 2.9209691839741313e-05
Position 1810: 2.8485575966319895e-05
Position 316: 2.1532156331526168e-05
Position 103: 1.4218742766211357e-05
Position 2234: 1.3707361853432398e-05
Position 1047: 1.329155961604747e-05
Position 1393: 1.3109044815473562e-05
Position 1483: 1.18333995011185e-05
Position 1994: 1.0401314396455975e-05
Position 1497: 7.511675764454197e-06
Position 1844: 7.301239863121893e-06
Position 1737: 6.446807431628963e-06
Position 967: 5.740764796373629e-06
Position 1755: 5.272508016668543e-06
Position 1474: 4.431063711291504e-06
Position 348: 4.295885401346961e-06
Position 1135: 3.934031167505408e-06
Position 1792: 2.999211750472888e-06
Position 1550: 2.377297520886236e-06
Position 1409: 2.233588117825716e-06
Position 938: 1.8812832466508344e-06
Position 630: 1.6656148095235295e-06
Position 134: 7.025826216573958e-07
Position 219: 5.903217612474887e-07
Position 636: 5.889747977497945e-07
Position 1027: 5.729623035342344e-07
Position 497: 5.276154846045576e-07
Position 1795: 5.190025921230064e-07
Position 677: 4.841462537903978e-07
Position 878: 4.104443484085622e-07
Position 535: 3.7208776838585013e-07
Position 245: 3.618415212094831e-07
Position 263: 1.8338838379586783e-07
Position 1648: 3.2292684275568314e-08
Position 329: 2.1118960435905147e-08
Position 1651: 1.1929778220309692e-08
Position 1532: 9.170787405540047e-09
Position 1723: 6.323795183952076e-09
Position 1030: 4.695791075916551e-11
