Gene = Prp3
index = 1389
Annotated 5SS: [1220]
Annotated 3SS: [1273]
SMsplice 5SS: [1220]
SMsplice 3SS: [1273]
top_k =  1000
Partition function (log Z): -6.592476312359187

Sorted 5' Splice Sites (High to Low Probability):
Position 1220: 0.7383982731059346
Position 1151: 0.26123047066955335
Position 1135: 0.02998202401843497
Position 133: 0.025178286779843878
Position 329: 0.022425745716784032
Position 75: 0.0037477103358314707
Position 745: 0.001954349387466956
Position 437: 0.0017612560139999268
Position 468: 0.0013628375473049058
Position 895: 0.0012594653445194657
Position 725: 0.0010991288785260128
Position 815: 0.0007076325246044759
Position 1098: 0.0006353409110322675
Position 35: 0.0004817745817502821
Position 809: 0.0004811669903958433
Position 824: 0.00032402695290692084
Position 80: 0.00028926225116892657
Position 1391: 0.00024532316093913196
Position 257: 0.00015923862888265648
Position 129: 0.0001505499600573058
Position 790: 0.00014362387468251474
Position 861: 0.0001367280474001951
Position 1751: 0.00013284174183864005
Position 936: 0.00010539539471049079
Position 1880: 9.533303292863974e-05
Position 2025: 8.966346892363814e-05
Position 1940: 7.648654674503302e-05
Position 326: 7.427207618117328e-05
Position 37: 6.399630880163757e-05
Position 1908: 6.039591682819934e-05
Position 346: 5.4541608090068464e-05
Position 1672: 5.1174306473088486e-05
Position 73: 4.19373080973452e-05
Position 263: 3.8701687677129976e-05
Position 260: 2.9880492464195744e-05
Position 631: 2.8567951067287932e-05
Position 1396: 2.3270946879791344e-05
Position 611: 2.0605751944119824e-05
Position 10: 1.61678409442712e-05
Position 119: 1.3634819790599581e-05
Position 1095: 1.3114373689649845e-05
Position 2096: 1.235105526085351e-05
Position 1612: 1.1331437608263712e-05
Position 1803: 9.859160470062548e-06
Position 567: 8.7614526199792e-06
Position 1489: 8.374927708584208e-06
Position 709: 7.945112624138064e-06
Position 1711: 6.905418740036235e-06
Position 1858: 6.513838931418855e-06
Position 1439: 5.751002385826054e-06
Position 1610: 5.149656473880952e-06
Position 368: 5.029342926577553e-06
Position 27: 4.114508607438522e-06
Position 1293: 3.890709829121267e-06
Position 1108: 3.803137553067723e-06
Position 1773: 3.6299874679882028e-06
Position 1624: 3.4163244940525854e-06
Position 1618: 2.7785359811145524e-06
Position 1224: 2.5281499414237322e-06
Position 352: 2.0017588151953777e-06
Position 1843: 1.5949251348080358e-06
Position 1441: 1.3680828351002338e-06
Position 1735: 1.2821722259322876e-06
Position 1963: 1.1898863134649917e-06
Position 1081: 1.1266371194357593e-06
Position 1714: 6.684019310448186e-07
Position 154: 6.670019970390975e-07
Position 1029: 6.081780887576126e-07
Position 1738: 5.611825624219956e-07
Position 2065: 3.875500730746556e-07
Position 1864: 3.6597520015760764e-07
Position 2134: 1.8102597186591712e-07
Position 472: 1.4481327385258819e-07
Position 183: 9.200015656765898e-08
Position 2108: 6.812776145241924e-08
Position 222: 1.9979142060642343e-08
Position 304: 1.98025506448896e-08
Position 180: 2.491529838306492e-09
Position 1349: 7.576604869011465e-11
Position 1716: 6.953329626981217e-11
Position 493: 5.966362690574708e-11
Position 1291: 4.536429452395049e-11
Position 792: 2.1793441070835834e-11
Position 912: 4.6738517740714326e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1273: 0.9918152190783999
Position 1192: 0.027237482871603536
Position 378: 0.013819667755090784
Position 1065: 0.013804681601097
Position 1009: 0.00959990261696803
Position 201: 0.00871057097928174
Position 1212: 0.006830328270064454
Position 154: 0.004455770580116961
Position 1317: 0.003753324218573641
Position 247: 0.0019405237843341083
Position 231: 0.0016426621325429526
Position 1062: 0.0011754075052567
Position 1344: 0.0011174574205238934
Position 1291: 0.0008642207829839292
Position 880: 0.0007365572620410447
Position 493: 0.0006326847855790206
Position 1953: 0.0004497897557544027
Position 502: 0.0003976159049231705
Position 621: 0.000382861952730913
Position 1485: 0.0003735405416363639
Position 2149: 0.00031299155879355736
Position 780: 0.00028314244132997236
Position 405: 0.0002629366737498523
Position 1956: 0.00024013926049351036
Position 611: 0.00022029574059174103
Position 945: 0.00019873944055151334
Position 384: 0.00018120236283159134
Position 899: 0.00013592409186024223
Position 1174: 0.00013507842086258405
Position 1455: 0.00012442630833495107
Position 846: 0.00011059319487704205
Position 315: 9.423760002251599e-05
Position 975: 9.402043010917622e-05
Position 1321: 8.853985705480579e-05
Position 1122: 8.363672637951491e-05
Position 216: 7.172603425788659e-05
Position 1803: 6.280236045453166e-05
Position 1235: 6.107412140430358e-05
Position 257: 5.8370995313903804e-05
Position 634: 5.257085815017171e-05
Position 579: 4.3198147185631645e-05
Position 525: 4.3094408172746664e-05
Position 1250: 4.228561935269388e-05
Position 971: 4.1803545750811736e-05
Position 763: 3.970821549856065e-05
Position 2089: 3.73451571303399e-05
Position 1647: 3.7058424558640926e-05
Position 1500: 3.3699943357935154e-05
Position 1809: 3.235538047062163e-05
Position 511: 2.962475411438255e-05
Position 108: 2.8068201095509178e-05
Position 649: 2.7147478088390053e-05
Position 2108: 2.371574948473633e-05
Position 942: 1.701421272512224e-05
Position 789: 1.5428207426345494e-05
Position 573: 1.542712900963688e-05
Position 1408: 1.2841307958515425e-05
Position 888: 1.1697965262034977e-05
Position 2189: 1.1041570268777782e-05
Position 666: 1.0383479042382997e-05
Position 1698: 8.743992483892109e-06
Position 1962: 8.572366577044182e-06
Position 936: 7.451481998262562e-06
Position 1692: 7.229435087256247e-06
Position 1332: 7.1583328239054866e-06
Position 1220: 6.931596921635842e-06
Position 1131: 6.662435008457892e-06
Position 700: 6.486165854119524e-06
Position 2116: 6.34506609725447e-06
Position 1548: 5.7210058367312795e-06
Position 129: 5.604241597801301e-06
Position 280: 5.559296027891985e-06
Position 522: 5.262807974250593e-06
Position 917: 4.494736184079578e-06
Position 1671: 4.061923503799006e-06
Position 1482: 4.016032709033555e-06
Position 288: 3.858974072815841e-06
Position 1872: 3.741151024308455e-06
Position 446: 2.914540551869177e-06
Position 661: 2.669576832528555e-06
Position 2065: 2.5794702024131888e-06
Position 2096: 2.4307206785177435e-06
Position 1194: 2.130354656197715e-06
Position 1761: 2.0324177240346976e-06
Position 537: 1.8510355743902165e-06
Position 2054: 1.8425280021427194e-06
Position 1465: 1.6704877329782971e-06
Position 368: 1.3702522300530952e-06
Position 990: 1.3218094237963727e-06
Position 2007: 1.2488963985706913e-06
Position 453: 1.1872375080066763e-06
Position 1622: 1.0239061797480526e-06
Position 417: 9.940481409721034e-07
Position 336: 7.93435174385834e-07
Position 2045: 7.4608423554932e-07
Position 549: 6.857072302485095e-07
Position 1781: 6.176105508200074e-07
Position 411: 5.312471920245813e-07
Position 1880: 5.312373036639473e-07
Position 1224: 5.169078496928856e-07
Position 1231: 4.7052182603836134e-07
Position 1908: 4.549292149442803e-07
Position 1656: 3.691889904496195e-07
Position 1374: 3.5188169870669983e-07
Position 472: 3.34396796402443e-07
Position 1581: 3.283305177900403e-07
Position 906: 2.587735921721144e-07
Position 1365: 2.540305940290863e-07
Position 2168: 1.8959766889098966e-07
Position 850: 1.4059145501293128e-07
Position 1108: 1.2748974823369184e-07
Position 546: 7.586027841893303e-08
Position 269: 3.599529618419867e-08
Position 426: 2.3163450672129744e-08
Position 343: 1.5091353648931945e-08
Position 114: 1.5886388322266161e-09
Position 126: 1.2981712553109835e-09
Position 60: 7.921462143126465e-10
Position 333: 2.577599539193725e-11
Position 340: 7.270270361124509e-12
Position 437: 2.5158850540297848e-14
Position 448: 1.98805271945998e-14
Position 345: 5.827133792211674e-15
